ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786383234.632,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786383234.632,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786383234.632,S1,search,0,prior,0.0,,,,6.899,,6.899
1786383234.632,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786383234.632,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786383234.632,S2,search,0,prior,0.0,,,,4.287,,4.287
1786383234.632,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786383234.632,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786383234.632,S3,search,0,prior,0.0,,,,4.019,,4.019
1786383235.633,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786383235.633,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786383235.633,S1,search,0,prior,0.0,,,,6.899,,6.899
1786383235.633,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786383235.633,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786383235.633,S2,search,0,prior,0.0,,,,4.287,,4.287
1786383235.633,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786383235.633,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786383235.633,S3,search,0,prior,0.0,,,,4.019,,4.019
1786383236.633,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786383236.633,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786383236.633,S1,search,0,prior,0.0,,,,6.899,,6.899
1786383236.633,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786383236.633,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786383236.633,S2,search,0,prior,0.0,,,,4.287,,4.287
1786383236.633,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786383236.633,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786383236.633,S3,search,0,prior,0.0,,,,4.019,,4.019
1786383237.633,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786383237.633,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786383237.633,S1,search,0,prior,0.0,,,,6.899,,6.899
1786383237.633,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786383237.633,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786383237.633,S2,search,0,prior,0.0,,,,4.287,,4.287
1786383237.633,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786383237.633,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786383237.633,S3,search,0,prior,0.0,,,,4.019,,4.019
1786383238.636,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786383238.636,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786383238.636,S1,search,0,prior,0.0,,,,6.899,,6.899
1786383238.636,S2,recommend,75,prior,0.1697,1.0213,2.274,109.7,0.975,,0.975
1786383238.636,S2,reserve,33,prior,0.1742,3.8618,4.035,102.6,1.332,,1.332
1786383238.636,S2,search,54,prior,0.172,5.2306,8.236,104.7,4.287,,4.287
1786383238.636,S3,recommend,49,prior,0.1672,0.6495,1.103,112.2,1.0,,1.0
1786383238.636,S3,reserve,29,prior,0.1621,18.6756,97.845,129.7,1.348,,1.348
1786383238.636,S3,search,39,prior,0.1644,3.61,5.126,122.6,4.019,,4.019
1786383239.640,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786383239.640,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786383239.640,S1,search,0,prior,0.0,,,,6.899,,6.899
1786383239.640,S2,recommend,283,prior_fill,0.6722,1.2432,2.279,104.7,0.975,,0.975
1786383239.640,S2,reserve,127,prior_fill,0.6744,2.2516,4.035,102.2,1.332,,1.332
1786383239.640,S2,search,217,prior_fill,0.6695,5.1345,8.236,109.7,4.287,,4.287
1786383239.640,S3,recommend,196,prior_fill,0.6657,0.5966,1.007,115.1,1.0,,1.0
1786383239.640,S3,reserve,111,prior_fill,0.6683,5.5435,1.964,117.2,1.348,,1.348
1786383239.640,S3,search,145,prior_fill,0.6632,3.318,4.437,125.0,4.019,,4.019
1786383240.641,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786383240.641,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786383240.641,S1,search,0,prior,0.0,,,,6.899,,6.899
1786383240.641,S2,recommend,398,obs,0.9452,1.1607,2.187,102.2,0.975,2.187,2.187
1786383240.641,S2,reserve,195,obs,0.9374,1.5622,2.937,122.7,1.332,2.937,2.937
1786383240.641,S2,search,290,obs,0.9451,4.8934,7.916,104.8,4.287,7.916,7.916
1786383240.641,S3,recommend,278,obs,0.9447,0.5664,0.837,110.2,1.0,0.837,0.837
1786383240.641,S3,reserve,141,obs,0.9412,0.8981,1.205,112.3,1.348,1.205,1.205
