t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,465,337,0,0.000000
1,0,466,334,0,0.000000
2,0,472,328,0,0.000000
3,0,462,337,0,0.000000
4,0,468,332,0,0.000000
5,0,471,330,0,0.000000
6,0,462,339,0,0.000000
7,0,467,332,0,0.000000
8,0,465,335,0,0.000000
9,0,464,337,0,0.000000
10,0,467,331,0,0.000000
11,0,469,334,0,0.000000
12,0,466,331,0,0.000000
13,0,470,330,0,0.000000
14,0,467,336,0,0.000000
15,0,456,342,0,0.000000
16,0,466,334,0,0.000000
17,0,473,325,0,0.000000
18,0,468,334,0,0.000000
19,0,469,331,0,0.000000
20,0,466,335,0,0.000000
21,0,469,330,0,0.000000
22,0,466,333,0,0.000000
23,0,466,336,0,0.000000
24,0,467,334,0,0.000000
25,0,468,330,0,0.000000
26,0,461,337,0,0.000000
27,0,463,340,0,0.000000
28,0,465,334,0,0.000000
29,0,457,345,0,0.000000
30,0,460,338,0,0.000000
31,0,468,331,0,0.000000
32,0,470,332,0,0.000000
33,0,459,339,0,0.000000
34,0,462,339,0,0.000000
35,0,463,337,0,0.000000
36,0,469,331,0,0.000000
37,0,468,332,0,0.000000
38,0,471,328,0,0.000000
39,0,468,335,0,0.000000
40,0,464,331,0,0.000000
41,0,471,332,0,0.000000
42,0,466,334,0,0.000000
43,0,462,338,0,0.000000
44,0,469,329,0,0.000000
45,0,464,338,0,0.000000
46,0,471,328,0,0.000000
47,0,466,336,0,0.000000
48,0,469,329,0,0.000000
49,0,467,332,0,0.000000
50,0,466,336,0,0.000000
51,0,473,326,0,0.000000
52,0,470,330,0,0.000000
53,0,461,339,0,0.000000
54,0,469,332,0,0.000000
55,0,466,335,0,0.000000
56,0,470,331,0,0.000000
57,0,468,330,0,0.000000
58,0,462,339,0,0.000000
59,0,469,332,0,0.000000
60,0,467,330,0,0.000000
61,0,462,339,0,0.000000
62,0,472,327,0,0.000000
63,0,469,332,0,0.000000
64,0,460,339,0,0.000000
65,0,469,332,0,0.000000
66,0,469,330,0,0.000000
67,0,466,334,0,0.000000
68,0,466,337,0,0.000000
69,0,468,328,0,0.000000
70,0,469,334,0,0.000000
71,0,464,333,0,0.000000
72,0,468,335,0,0.000000
73,0,472,326,0,0.000000
74,0,474,328,0,0.000000
75,0,464,335,0,0.000000
76,0,465,334,0,0.000000
77,0,468,335,0,0.000000
78,0,471,326,0,0.000000
79,0,473,328,0,0.000000
80,0,458,340,0,0.000000
81,0,475,327,0,0.000000
82,0,474,326,0,0.000000
83,0,460,339,0,0.000000
84,0,468,332,0,0.000000
85,0,468,331,0,0.000000
86,0,472,331,0,0.000000
87,0,474,323,0,0.000000
88,0,468,335,0,0.000000
89,0,468,329,0,0.000000
90,0,467,335,0,0.000000
91,0,463,338,0,0.000000
92,0,463,338,0,0.000000
93,0,467,329,0,0.000000
94,0,464,338,0,0.000000
95,0,469,331,0,0.000000
96,0,470,330,0,0.000000
97,0,472,329,0,0.000000
98,0,470,329,0,0.000000
99,0,470,331,0,0.000000
100,0,474,325,0,0.000000
101,0,467,332,0,0.000000
102,0,476,325,0,0.000000
103,0,470,331,0,0.000000
104,0,465,334,0,0.000000
105,0,468,332,0,0.000000
106,0,464,334,0,0.000000
107,0,463,337,0,0.000000
108,0,473,329,0,0.000000
109,0,469,331,0,0.000000
110,0,469,332,0,0.000000
111,0,469,330,0,0.000000
112,0,462,337,0,0.000000
113,0,471,331,0,0.000000
114,0,470,329,0,0.000000
115,0,470,331,0,0.000000
116,0,466,333,0,0.000000
117,0,462,338,0,0.000000
118,0,471,329,0,0.000000
119,0,468,332,0,0.000000
120,0,260,127,0,0.000000
121,0,67,24,0,0.000000
122,0,53,23,0,0.000000
123,0,54,17,0,0.000000
124,0,65,26,0,0.000000
125,0,105,108,0,0.000000
126,0,129,388,0,0.000000
127,0,135,333,0,0.000000
128,0,135,368,0,0.000000
129,0,152,374,0,0.000000
130,0,135,358,0,0.000000
131,0,153,385,0,0.000000
132,0,144,384,0,0.000000
133,0,119,350,0,0.000000
134,0,126,315,0,0.000000
135,0,114,335,0,0.000000
136,0,111,331,0,0.000000
137,0,99,343,0,0.000000
138,0,149,341,0,0.000000
139,0,103,296,0,0.000000
140,0,115,372,0,0.000000
141,0,107,329,0,0.000000
142,0,140,353,0,0.000000
143,0,127,359,0,0.000000
144,0,141,371,0,0.000000
145,0,138,388,0,0.000000
146,0,139,383,0,0.000000
147,0,122,391,0,0.000000
148,0,141,365,0,0.000000
149,0,131,373,0,0.000000
150,0,130,330,0,0.000000
151,0,120,360,0,0.000000
152,0,128,361,0,0.000000
153,0,128,405,0,0.000000
154,0,126,381,0,0.000000
155,0,125,381,0,0.000000
156,0,133,371,0,0.000000
157,0,113,401,0,0.000000
158,0,135,341,0,0.000000
159,0,129,391,0,0.000000
160,0,128,383,0,0.000000
161,0,112,354,0,0.000000
162,0,152,351,0,0.000000
163,0,151,389,0,0.000000
164,0,126,364,0,0.000000
165,0,121,403,0,0.000000
166,0,146,386,0,0.000000
167,0,174,373,0,0.000000
168,0,145,388,0,0.000000
169,0,130,373,0,0.000000
170,0,160,380,0,0.000000
171,0,116,351,0,0.000000
172,0,128,360,0,0.000000
173,0,145,387,0,0.000000
174,0,108,352,0,0.000000
175,0,133,402,0,0.000000
176,0,146,407,0,0.000000
177,0,135,395,0,0.000000
178,0,151,404,0,0.000000
179,0,132,395,0,0.000000
180,0,117,383,0,0.000000
181,0,162,429,0,0.000000
182,0,157,416,0,0.000000
183,0,163,424,0,0.000000
184,0,129,394,0,0.000000
185,0,162,363,0,0.000000
186,0,123,394,0,0.000000
187,0,154,429,0,0.000000
188,0,151,366,0,0.000000
189,0,137,357,0,0.000000
190,0,123,388,0,0.000000
191,0,129,306,0,0.000000
192,0,105,361,0,0.000000
193,0,140,329,0,0.000000
194,0,138,357,0,0.000000
195,0,107,361,0,0.000000
196,0,122,325,0,0.000000
197,0,125,366,0,0.000000
198,0,131,330,0,0.000000
199,0,137,375,0,0.000000
200,0,131,322,0,0.000000
201,0,125,367,0,0.000000
202,0,128,368,0,0.000000
203,0,129,351,0,0.000000
204,0,134,353,0,0.000000
205,0,173,396,0,0.000000
206,0,134,377,0,0.000000
207,0,145,389,0,0.000000
208,0,137,420,0,0.000000
209,0,113,413,0,0.000000
210,0,153,414,0,0.000000
211,0,149,378,0,0.000000
212,0,149,449,0,0.000000
213,0,134,385,0,0.000000
214,0,143,378,0,0.000000
215,0,144,428,0,0.000000
216,0,148,393,0,0.000000
217,0,143,422,0,0.000000
218,0,139,400,0,0.000000
219,0,135,408,0,0.000000
220,0,157,387,0,0.000000
221,0,173,414,0,0.000000
222,0,157,415,0,0.000000
223,0,141,379,0,0.000000
224,0,137,340,0,0.000000
225,0,145,378,0,0.000000
226,0,143,381,0,0.000000
227,0,152,425,0,0.000000
228,0,120,348,0,0.000000
229,0,147,378,0,0.000000
230,0,135,431,0,0.000000
231,0,118,340,0,0.000000
232,0,133,403,0,0.000000
233,0,153,398,0,0.000000
234,0,132,394,0,0.000000
235,0,129,372,0,0.000000
236,0,97,331,0,0.000000
237,0,129,341,0,0.000000
238,0,167,432,0,0.000000
239,0,166,396,0,0.000000
240,0,233,415,0,0.000000
241,0,734,587,0,0.000000
242,0,756,603,0,0.000000
243,0,764,596,0,0.000000
244,0,766,596,0,0.000000
245,0,759,594,0,0.000000
246,0,752,598,0,0.000000
247,0,750,601,0,0.000000
248,0,767,597,0,0.000000
249,0,745,601,0,0.000000
250,0,753,601,0,0.000000
251,0,747,605,0,0.000000
252,0,750,604,0,0.000000
253,0,751,607,0,0.000000
254,0,768,600,0,0.000000
255,0,754,604,0,0.000000
256,0,732,605,0,0.000000
257,0,768,599,0,0.000000
258,0,747,597,0,0.000000
259,0,761,596,0,0.000000
260,0,752,603,0,0.000000
261,0,756,597,0,0.000000
262,0,758,598,0,0.000000
263,0,766,600,0,0.000000
264,0,759,603,0,0.000000
265,0,754,593,0,0.000000
266,0,763,598,0,0.000000
267,0,739,601,0,0.000000
268,0,754,596,0,0.000000
269,0,755,601,0,0.000000
270,0,745,593,0,0.000000
271,0,752,599,0,0.000000
272,0,740,602,0,0.000000
273,0,748,603,0,0.000000
274,0,757,605,0,0.000000
275,0,739,596,0,0.000000
