ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786114649.737,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114649.737,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114649.737,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114649.737,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114649.737,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114649.737,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114649.737,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786114649.737,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786114649.737,S3,search,0,prior,0.0,,,,4.019,,4.019
1786114650.738,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114650.738,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114650.738,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114650.738,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114650.738,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114650.738,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114650.738,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786114650.738,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786114650.738,S3,search,0,prior,0.0,,,,4.019,,4.019
1786114651.738,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114651.738,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114651.738,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114651.738,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114651.738,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114651.738,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114651.738,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786114651.738,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786114651.738,S3,search,0,prior,0.0,,,,4.019,,4.019
1786114652.739,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114652.739,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114652.739,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114652.739,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114652.739,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114652.739,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114652.739,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786114652.739,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786114652.739,S3,search,0,prior,0.0,,,,4.019,,4.019
1786114653.739,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114653.739,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114653.739,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114653.739,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114653.739,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114653.739,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114653.739,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786114653.739,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786114653.739,S3,search,0,prior,0.0,,,,4.019,,4.019
1786114654.740,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114654.740,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114654.740,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114654.740,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114654.740,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114654.740,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114654.740,S3,recommend,113,prior_fill,0.1835,0.9736,1.846,125.6,1.0,,1.0
1786114654.740,S3,reserve,59,prior,0.1788,29.9367,192.68,137.8,1.348,,1.348
1786114654.740,S3,search,92,prior,0.1833,4.3184,6.346,127.8,4.019,,4.019
1786114655.744,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114655.744,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114655.744,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114655.744,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114655.744,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114655.744,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114655.744,S3,recommend,490,prior_fill,0.6824,0.8939,1.747,127.8,1.0,,1.0
1786114655.744,S3,reserve,244,prior_fill,0.6851,8.0156,2.456,125.3,1.348,,1.348
1786114655.744,S3,search,366,prior_fill,0.6821,3.9457,5.605,130.3,4.019,,4.019
1786114656.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114656.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114656.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114656.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114656.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114656.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114656.743,S3,recommend,678,obs,0.9376,0.8418,1.554,122.8,1.0,1.554,1.554
1786114656.743,S3,reserve,336,obs,0.9332,1.0035,1.625,127.8,1.348,1.625,1.625
1786114656.743,S3,search,510,obs,0.9337,3.7082,4.912,125.3,4.019,4.912,4.912
1786114657.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114657.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114657.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114657.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114657.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114657.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114657.743,S3,recommend,668,obs,0.9337,0.8695,1.554,125.3,1.0,1.554,1.554
1786114657.743,S3,reserve,334,obs,0.9376,1.0305,1.427,122.8,1.348,1.427,1.427
1786114657.743,S3,search,500,obs,0.9326,3.684,4.68,130.3,4.019,4.68,4.68
1786114658.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114658.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114658.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114658.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114658.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114658.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114658.743,S3,recommend,668,obs,0.9388,0.8628,1.446,120.4,1.0,1.446,1.446
1786114658.743,S3,reserve,334,obs,0.93,0.9922,1.302,132.9,1.348,1.302,1.302
1786114658.743,S3,search,502,obs,0.9324,3.7057,4.828,125.3,4.019,4.828,4.828
1786114659.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114659.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114659.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114659.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114659.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114659.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114659.743,S3,recommend,669,obs,0.9399,0.7757,1.376,118.1,1.0,1.376,1.376
1786114659.743,S3,reserve,336,obs,0.9301,0.9127,1.169,127.8,1.348,1.169,1.169
1786114659.743,S3,search,499,obs,0.9374,3.6192,4.702,120.6,4.019,4.702,4.702
1786114660.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114660.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114660.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114660.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114660.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114660.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114660.743,S3,recommend,670,obs,0.9375,0.7697,1.405,117.8,1.0,1.405,1.405
1786114660.743,S3,reserve,334,obs,0.9376,0.9417,1.371,122.9,1.348,1.371,1.371
1786114660.743,S3,search,502,obs,0.9375,3.5926,4.609,120.3,4.019,4.609,4.609
1786114661.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114661.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114661.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114661.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114661.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114661.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114661.743,S3,recommend,670,obs,0.9375,0.7808,1.381,120.3,1.0,1.381,1.381
1786114661.743,S3,reserve,334,obs,0.9376,0.9424,1.655,117.9,1.348,1.655,1.655
1786114661.743,S3,search,502,obs,0.9374,3.584,4.571,122.9,4.019,4.571,4.571
1786114662.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114662.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114662.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114662.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114662.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114662.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114662.743,S3,recommend,670,obs,0.9414,0.792,1.412,115.3,1.0,1.412,1.412
1786114662.743,S3,reserve,334,obs,0.9375,0.9197,1.432,120.3,1.348,1.432,1.432
1786114662.743,S3,search,502,obs,0.9326,3.5947,4.561,127.9,4.019,4.561,4.561
1786114663.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114663.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114663.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114663.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114663.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114663.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114663.743,S3,recommend,668,obs,0.9389,0.8034,1.495,117.9,1.0,1.495,1.495
1786114663.743,S3,reserve,338,obs,0.9376,0.8888,1.103,115.3,1.348,1.103,1.103
1786114663.743,S3,search,502,obs,0.9376,3.6207,4.612,122.9,4.019,4.612,4.612
1786114664.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114664.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114664.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114664.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114664.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114664.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114664.743,S3,recommend,674,obs,0.9414,0.787,1.384,112.9,1.0,1.384,1.384
1786114664.743,S3,reserve,334,obs,0.93,0.8866,1.112,125.3,1.348,1.112,1.112
1786114664.743,S3,search,502,obs,0.9401,3.6201,4.549,117.8,4.019,4.549,4.549
1786114665.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114665.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114665.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114665.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114665.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114665.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114665.743,S3,recommend,672,obs,0.9414,0.7801,1.384,115.3,1.0,1.384,1.384
1786114665.743,S3,reserve,334,obs,0.9375,0.8894,1.112,120.4,1.348,1.112,1.112
1786114665.743,S3,search,502,obs,0.9375,3.5816,4.53,117.8,4.019,4.53,4.53
1786114666.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114666.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114666.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114666.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114666.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114666.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114666.743,S3,recommend,672,obs,0.9411,0.7817,1.386,110.4,1.0,1.386,1.386
1786114666.743,S3,reserve,336,obs,0.9414,0.8936,1.133,115.4,1.348,1.133,1.133
1786114666.743,S3,search,504,obs,0.9412,3.5533,4.406,112.9,4.019,4.406,4.406
1786114667.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114667.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114667.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114667.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114667.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114667.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114667.743,S3,recommend,670,obs,0.9425,0.802,1.408,112.9,1.0,1.408,1.408
1786114667.743,S3,reserve,338,obs,0.9414,0.9041,1.253,110.4,1.348,1.253,1.253
1786114667.743,S3,search,504,obs,0.9376,3.5955,4.442,115.4,4.019,4.442,4.442
1786114668.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114668.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114668.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114668.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114668.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114668.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114668.743,S3,recommend,674,obs,0.945,0.8268,1.514,107.9,1.0,1.514,1.514
1786114668.743,S3,reserve,338,obs,0.9375,0.9353,1.309,112.9,1.348,1.309,1.309
1786114668.743,S3,search,502,obs,0.9425,3.689,4.564,110.4,4.019,4.564,4.564
1786114669.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786114669.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786114669.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786114669.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786114669.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786114669.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786114669.743,S3,recommend,674,obs,0.9414,0.8284,1.559,110.4,1.0,1.559,1.559
1786114669.743,S3,reserve,336,obs,0.945,0.9194,1.143,107.9,1.348,1.143,1.143
