ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786116942.483,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116942.483,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116942.483,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116942.483,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116942.483,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116942.483,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116942.483,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786116942.483,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786116942.483,S3,search,0,prior,0.0,,,,4.019,,4.019
1786116943.484,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116943.484,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116943.484,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116943.484,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116943.484,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116943.484,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116943.484,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786116943.484,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786116943.484,S3,search,0,prior,0.0,,,,4.019,,4.019
1786116944.483,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116944.483,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116944.483,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116944.483,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116944.483,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116944.483,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116944.483,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786116944.483,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786116944.483,S3,search,0,prior,0.0,,,,4.019,,4.019
1786116945.484,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116945.484,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116945.484,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116945.484,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116945.484,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116945.484,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116945.484,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786116945.484,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786116945.484,S3,search,0,prior,0.0,,,,4.019,,4.019
1786116946.485,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116946.485,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116946.485,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116946.485,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116946.485,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116946.485,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116946.485,S3,recommend,98,prior,0.142,0.7781,1.989,68.2,1.0,,1.0
1786116946.485,S3,reserve,46,prior,0.1417,23.3672,151.572,72.4,1.348,,1.348
