ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786117461.260,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117461.260,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117461.260,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117461.260,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117461.260,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117461.260,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117461.260,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786117461.260,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786117461.260,S3,search,0,prior,0.0,,,,4.019,,4.019
1786117462.261,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117462.261,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117462.261,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117462.261,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117462.261,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117462.261,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117462.261,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786117462.261,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786117462.261,S3,search,0,prior,0.0,,,,4.019,,4.019
1786117463.260,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117463.260,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117463.260,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117463.260,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117463.260,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117463.260,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117463.260,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786117463.260,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786117463.260,S3,search,0,prior,0.0,,,,4.019,,4.019
1786117464.261,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117464.261,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117464.261,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117464.261,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117464.261,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117464.261,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117464.261,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786117464.261,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786117464.261,S3,search,0,prior,0.0,,,,4.019,,4.019
1786117465.262,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117465.262,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117465.262,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117465.262,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117465.262,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117465.262,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117465.262,S3,recommend,95,prior,0.1458,0.9742,1.963,52.9,1.0,,1.0
1786117465.262,S3,reserve,46,prior,0.1456,35.5167,198.433,56.7,1.348,,1.348
1786117465.262,S3,search,71,prior,0.1456,4.3012,6.641,55.6,4.019,,4.019
1786117466.265,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117466.265,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117466.265,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117466.265,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117466.265,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117466.265,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117466.265,S3,recommend,462,prior_fill,0.6445,0.8934,1.669,55.6,1.0,,1.0
1786117466.265,S3,reserve,230,prior_fill,0.6474,7.9525,3.908,53.1,1.348,,1.348
1786117466.265,S3,search,348,prior_fill,0.6443,3.899,5.359,58.2,4.019,,4.019
1786117467.266,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117467.266,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117467.266,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117467.266,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117467.266,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117467.266,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117467.266,S3,recommend,702,obs,0.9741,0.926,1.728,51.4,1.0,1.728,1.728
1786117467.266,S3,reserve,351,obs,0.9712,1.1076,1.561,56.3,1.348,1.561,1.561
1786117467.266,S3,search,529,obs,0.9712,3.7436,4.87,53.9,4.019,4.87,4.87
1786117468.266,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117468.266,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117468.266,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117468.266,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117468.266,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117468.266,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117468.266,S3,recommend,690,obs,0.9713,0.9261,1.728,53.8,1.0,1.728,1.728
1786117468.266,S3,reserve,350,obs,0.9711,1.036,1.159,51.4,1.348,1.159,1.159
1786117468.266,S3,search,520,obs,0.9699,3.6887,4.581,58.9,4.019,4.581,4.581
1786117469.265,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786117469.265,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786117469.265,S1,search,0,prior,0.0,,,,6.899,,6.899
1786117469.265,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786117469.265,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786117469.265,S2,search,0,prior,0.0,,,,4.287,,4.287
1786117469.265,S3,recommend,696,obs,0.975,0.8554,1.458,48.1,1.0,1.458,1.458
