ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786118009.190,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118009.190,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118009.190,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118009.190,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118009.190,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118009.190,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118009.190,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786118009.190,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786118009.190,S3,search,0,prior,0.0,,,,4.019,,4.019
1786118010.191,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118010.191,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118010.191,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118010.191,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118010.191,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118010.191,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118010.191,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786118010.191,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786118010.191,S3,search,0,prior,0.0,,,,4.019,,4.019
1786118011.191,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118011.191,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118011.191,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118011.191,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118011.191,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118011.191,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118011.191,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786118011.191,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786118011.191,S3,search,0,prior,0.0,,,,4.019,,4.019
1786118012.191,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118012.191,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118012.191,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118012.191,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118012.191,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118012.191,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118012.191,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786118012.191,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786118012.191,S3,search,0,prior,0.0,,,,4.019,,4.019
1786118013.192,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118013.192,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118013.192,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118013.192,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118013.192,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118013.192,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118013.192,S3,recommend,106,prior_fill,0.1488,0.8459,1.833,76.2,1.0,,1.0
1786118013.192,S3,reserve,51,prior,0.1478,8.5663,91.435,81.4,1.348,,1.348
1786118013.192,S3,search,79,prior,0.1485,3.6672,4.921,79.8,4.019,,4.019
1786118014.196,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118014.196,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118014.196,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118014.196,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118014.196,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118014.196,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118014.196,S3,recommend,462,prior_fill,0.6482,0.7385,1.306,78.1,1.0,,1.0
1786118014.196,S3,reserve,229,prior_fill,0.6504,2.6115,1.832,77.0,1.348,,1.348
1786118014.196,S3,search,348,prior_fill,0.6485,3.5222,4.776,80.6,4.019,,4.019
1786118015.196,S1,recommend,0,prior,0.0,,,,1.24,,1.24
