ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786118528.021,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118528.021,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118528.021,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118528.021,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118528.021,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118528.021,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118528.021,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786118528.021,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786118528.021,S3,search,0,prior,0.0,,,,4.019,,4.019
1786118529.022,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118529.022,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118529.022,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118529.022,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118529.022,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118529.022,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118529.022,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786118529.022,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786118529.022,S3,search,0,prior,0.0,,,,4.019,,4.019
1786118530.023,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118530.023,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118530.023,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118530.023,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118530.023,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118530.023,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118530.023,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786118530.023,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786118530.023,S3,search,0,prior,0.0,,,,4.019,,4.019
1786118531.022,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118531.022,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118531.022,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118531.022,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118531.022,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118531.022,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118531.022,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786118531.022,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786118531.022,S3,search,0,prior,0.0,,,,4.019,,4.019
1786118532.024,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118532.024,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118532.024,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118532.024,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118532.024,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118532.024,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118532.024,S3,recommend,84,prior,0.1344,0.8259,1.653,73.0,1.0,,1.0
1786118532.024,S3,reserve,40,prior,0.1324,41.5972,180.357,80.6,1.348,,1.348
1786118532.024,S3,search,63,prior,0.1344,4.3023,7.095,75.5,4.019,,4.019
1786118533.027,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118533.027,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118533.027,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118533.027,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118533.027,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118533.027,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118533.027,S3,recommend,454,prior_fill,0.6345,0.8002,1.507,72.9,1.0,,1.0
1786118533.027,S3,reserve,225,prior_fill,0.6362,8.3126,2.819,73.2,1.348,,1.348
1786118533.027,S3,search,342,prior_fill,0.6332,3.8975,6.44,78.0,4.019,,4.019
1786118534.026,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118534.026,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118534.026,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118534.026,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118534.026,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118534.026,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118534.026,S3,recommend,694,obs,0.9623,0.7629,1.298,69.6,1.0,1.298,1.298
1786118534.026,S3,reserve,349,obs,0.96,1.0743,1.704,79.6,1.348,1.704,1.704
1786118534.026,S3,search,526,obs,0.9625,3.6396,5.243,74.8,4.019,5.243,5.243
1786118535.027,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118535.027,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118535.027,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118535.027,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118535.027,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118535.027,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118535.027,S3,recommend,683,obs,0.9638,0.7434,1.227,70.2,1.0,1.227,1.227
1786118535.027,S3,reserve,348,obs,0.9614,1.0366,1.576,75.3,1.348,1.576,1.576
1786118535.027,S3,search,512,obs,0.9613,3.4861,4.44,72.7,4.019,4.44,4.44
1786118536.027,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118536.027,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118536.027,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118536.027,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118536.027,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118536.027,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118536.027,S3,recommend,689,obs,0.965,0.7373,1.18,68.0,1.0,1.18,1.18
1786118536.027,S3,reserve,344,obs,0.9614,1.0156,1.405,70.2,1.348,1.405,1.405
1786118536.027,S3,search,512,obs,0.9636,3.4894,4.437,70.5,4.019,4.437,4.437
1786118537.027,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786118537.027,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786118537.027,S1,search,0,prior,0.0,,,,6.899,,6.899
1786118537.027,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786118537.027,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786118537.027,S2,search,0,prior,0.0,,,,4.287,,4.287
1786118537.027,S3,recommend,690,obs,0.9651,0.7363,1.186,67.7,1.0,1.186,1.186
1786118537.027,S3,reserve,340,obs,0.9576,1.0362,1.476,72.7,1.348,1.476,1.476
1786118537.027,S3,search,515,obs,0.9638,3.4796,4.389,70.2,4.019,4.389,4.389
1786118538.027,S1,recommend,0,prior,0.0,,,,1.24,,1.24
