ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786116423.602,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116423.602,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116423.602,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116423.602,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116423.602,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116423.602,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116423.602,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786116423.602,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786116423.602,S3,search,0,prior,0.0,,,,4.019,,4.019
1786116424.603,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116424.603,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116424.603,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116424.603,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116424.603,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116424.603,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116424.603,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786116424.603,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786116424.603,S3,search,0,prior,0.0,,,,4.019,,4.019
1786116425.602,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116425.602,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116425.602,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116425.602,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116425.602,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116425.602,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116425.602,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786116425.602,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786116425.602,S3,search,0,prior,0.0,,,,4.019,,4.019
1786116426.603,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116426.603,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116426.603,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116426.603,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116426.603,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116426.603,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116426.603,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786116426.603,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786116426.603,S3,search,0,prior,0.0,,,,4.019,,4.019
1786116427.604,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116427.604,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116427.604,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116427.604,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116427.604,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116427.604,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116427.604,S3,recommend,83,prior,0.1312,0.772,1.568,91.2,1.0,,1.0
1786116427.604,S3,reserve,40,prior,0.1264,39.6731,182.033,103.7,1.348,,1.348
1786116427.604,S3,search,64,prior,0.1342,4.0886,6.584,88.0,4.019,,4.019
1786116428.607,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116428.607,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116428.607,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116428.607,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116428.607,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116428.607,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116428.607,S3,recommend,454,prior_fill,0.6337,0.764,1.51,86.2,1.0,,1.0
1786116428.607,S3,reserve,226,prior_fill,0.6364,7.7745,2.697,83.7,1.348,,1.348
1786116428.607,S3,search,342,prior_fill,0.6327,3.829,5.957,91.0,4.019,,4.019
1786116429.607,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116429.607,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116429.607,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116429.607,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116429.607,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116429.607,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116429.607,S3,recommend,689,obs,0.9556,0.7354,1.419,83.7,1.0,1.419,1.419
1786116429.607,S3,reserve,344,obs,0.9525,0.8792,1.46,93.7,1.348,1.46,1.46
1786116429.607,S3,search,522,obs,0.9554,3.6095,5.03,86.2,4.019,5.03,5.03
1786116430.607,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116430.607,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116430.607,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116430.607,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116430.607,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116430.607,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116430.607,S3,recommend,680,obs,0.9579,0.7026,1.378,83.7,1.0,1.378,1.378
1786116430.607,S3,reserve,344,obs,0.9529,0.8281,1.096,88.7,1.348,1.096,1.096
1786116430.607,S3,search,510,obs,0.9529,3.4877,4.521,86.2,4.019,4.521,4.521
1786116431.607,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116431.607,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116431.607,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116431.607,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116431.607,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116431.607,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116431.607,S3,recommend,684,obs,0.9566,0.7038,1.372,86.2,1.0,1.372,1.372
1786116431.607,S3,reserve,342,obs,0.9529,0.8098,1.059,83.7,1.348,1.059,1.059
1786116431.607,S3,search,508,obs,0.9541,3.4939,4.566,88.7,4.019,4.566,4.566
1786116432.607,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116432.607,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116432.607,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116432.607,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116432.607,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116432.607,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116432.607,S3,recommend,684,obs,0.9566,0.7018,1.281,81.2,1.0,1.281,1.281
1786116432.607,S3,reserve,340,obs,0.9567,0.8066,1.013,86.2,1.348,1.013,1.013
1786116432.607,S3,search,512,obs,0.9566,3.4812,4.447,83.7,4.019,4.447,4.447
1786116433.608,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116433.608,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116433.608,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116433.608,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116433.608,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116433.608,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116433.608,S3,recommend,684,obs,0.9566,0.708,1.358,84.0,1.0,1.358,1.358
1786116433.608,S3,reserve,340,obs,0.9566,0.8056,1.049,81.5,1.348,1.049,1.049
1786116433.608,S3,search,512,obs,0.9554,3.4978,4.495,89.0,4.019,4.495,4.495
1786116434.608,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116434.608,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116434.608,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116434.608,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116434.608,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116434.608,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116434.608,S3,recommend,682,obs,0.9604,0.7117,1.382,79.0,1.0,1.382,1.382
1786116434.608,S3,reserve,342,obs,0.9528,0.8112,1.052,91.5,1.348,1.052,1.052
1786116434.608,S3,search,514,obs,0.9554,3.5017,4.54,84.0,4.019,4.54,4.54
1786116435.608,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116435.608,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116435.608,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116435.608,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116435.608,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116435.608,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116435.608,S3,recommend,682,obs,0.9579,0.7053,1.354,81.5,1.0,1.354,1.354
1786116435.608,S3,reserve,346,obs,0.9566,0.8234,1.053,79.0,1.348,1.053,1.053
1786116435.608,S3,search,510,obs,0.9579,3.4973,4.522,84.0,4.019,4.522,4.522
1786116436.608,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116436.608,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116436.608,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116436.608,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116436.608,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116436.608,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116436.608,S3,recommend,687,obs,0.96,0.7346,1.455,77.2,1.0,1.455,1.455
1786116436.608,S3,reserve,340,obs,0.9529,0.8197,1.015,81.4,1.348,1.015,1.015
1786116436.608,S3,search,512,obs,0.9566,3.5425,4.598,86.5,4.019,4.598,4.598
1786116437.608,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116437.608,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116437.608,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116437.608,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116437.608,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116437.608,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116437.608,S3,recommend,686,obs,0.9604,0.7553,1.505,79.0,1.0,1.505,1.505
1786116437.608,S3,reserve,340,obs,0.9566,0.8391,1.075,84.1,1.348,1.075,1.075
1786116437.608,S3,search,512,obs,0.9566,3.6071,4.687,81.5,4.019,4.687,4.687
1786116438.608,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116438.608,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786116438.608,S1,search,0,prior,0.0,,,,6.899,,6.899
1786116438.608,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786116438.608,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786116438.608,S2,search,0,prior,0.0,,,,4.287,,4.287
1786116438.608,S3,recommend,682,obs,0.9566,0.7385,1.429,81.5,1.0,1.429,1.429
1786116438.608,S3,reserve,342,obs,0.9604,0.8551,1.08,79.0,1.348,1.08,1.08
1786116438.608,S3,search,514,obs,0.9553,3.5679,4.673,86.5,4.019,4.673,4.673
1786116439.608,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786116439.608,S1,reserve,0,prior,0.0,,,,1.658,,1.658
