t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,267,266,268,0,0.333333
1,266,266,266,0,0.333333
2,267,268,266,0,0.333333
3,267,265,268,0,0.333750
4,266,267,266,0,0.332916
5,267,268,267,0,0.332918
6,266,266,267,0,0.332916
7,267,266,266,0,0.334168
8,267,268,266,0,0.333333
9,267,266,268,0,0.333333
10,265,266,266,0,0.332497
11,268,268,266,0,0.334165
12,267,265,268,0,0.333750
13,266,267,266,0,0.332916
14,267,268,267,0,0.332918
15,266,266,267,0,0.332916
16,267,266,266,0,0.334168
17,267,268,266,0,0.333333
18,267,266,268,0,0.333333
19,265,266,266,0,0.332497
20,268,268,266,0,0.334165
21,267,265,268,0,0.333750
22,266,267,266,0,0.332916
23,267,268,267,0,0.332918
24,266,266,267,0,0.332916
25,267,265,266,0,0.334586
26,267,269,266,0,0.332918
27,267,266,268,0,0.333333
28,266,266,266,0,0.333333
29,267,268,266,0,0.333333
30,267,265,268,0,0.333750
31,266,267,266,0,0.332916
32,267,268,267,0,0.332918
33,266,266,267,0,0.332916
34,267,266,266,0,0.334168
35,267,268,266,0,0.333333
36,267,266,268,0,0.333333
37,266,266,266,0,0.333333
38,267,268,266,0,0.333333
39,267,265,268,0,0.333750
40,266,267,266,0,0.332916
41,267,268,267,0,0.332918
42,266,266,267,0,0.332916
43,267,266,266,0,0.334168
44,267,268,266,0,0.333333
45,267,266,268,0,0.333333
46,265,266,266,0,0.332497
47,268,268,266,0,0.334165
48,267,265,268,0,0.333750
49,266,267,266,0,0.332916
50,267,268,267,0,0.332918
51,266,266,267,0,0.332916
52,267,266,266,0,0.334168
53,267,268,266,0,0.333333
54,267,266,268,0,0.333333
55,265,266,266,0,0.332497
56,268,268,266,0,0.334165
57,266,265,268,0,0.332916
58,267,267,266,0,0.333750
59,267,268,267,0,0.332918
60,266,266,267,0,0.332916
61,267,266,266,0,0.334168
62,267,268,266,0,0.333333
63,267,266,268,0,0.333333
64,265,266,266,0,0.332497
65,268,268,266,0,0.334165
66,267,265,268,0,0.333750
67,266,267,266,0,0.332916
68,267,268,267,0,0.332918
69,266,266,267,0,0.332916
70,267,266,266,0,0.334168
71,267,268,266,0,0.333333
72,267,266,268,0,0.333333
73,266,266,266,0,0.333333
74,267,268,266,0,0.333333
75,267,265,268,0,0.333750
76,266,267,266,0,0.332916
77,267,267,267,0,0.333333
78,266,267,267,0,0.332500
79,267,266,266,0,0.334168
80,267,268,266,0,0.333333
81,267,266,268,0,0.333333
82,266,266,266,0,0.333333
83,267,268,266,0,0.333333
84,267,265,268,0,0.333750
85,266,267,266,0,0.332916
86,267,268,267,0,0.332918
87,266,266,267,0,0.332916
88,267,266,266,0,0.334168
89,267,268,266,0,0.333333
90,267,266,268,0,0.333333
91,265,266,266,0,0.332497
92,268,268,266,0,0.334165
93,267,265,268,0,0.333750
94,266,267,266,0,0.332916
95,267,268,267,0,0.332918
96,266,266,267,0,0.332916
97,267,266,266,0,0.334168
98,267,268,266,0,0.333333
99,267,266,268,0,0.333333
100,266,266,266,0,0.333333
101,267,268,266,0,0.333333
102,267,265,268,0,0.333750
103,266,267,266,0,0.332916
104,267,268,267,0,0.332918
105,266,266,267,0,0.332916
106,267,266,266,0,0.334168
107,267,268,266,0,0.333333
108,267,266,268,0,0.333333
109,265,266,266,0,0.332497
110,268,268,266,0,0.334165
111,267,265,268,0,0.333750
112,266,267,266,0,0.332916
113,267,268,267,0,0.332918
114,266,266,267,0,0.332916
115,267,266,266,0,0.334168
116,267,268,266,0,0.333333
117,266,266,268,0,0.332500
118,267,266,266,0,0.334168
119,267,268,266,0,0.333333
120,265,263,267,0,0.333333
121,268,268,267,0,0.333748
122,267,266,267,0,0.333750
123,265,268,266,0,0.331665
124,266,265,267,0,0.333333
125,269,267,266,0,0.335411
126,265,268,268,0,0.330836
127,266,266,266,0,0.333333
128,269,267,266,0,0.335411
129,265,265,268,0,0.332080
130,268,268,266,0,0.334165
131,267,266,267,0,0.333750
132,265,268,266,0,0.331665
133,266,265,267,0,0.333333
134,269,267,266,0,0.335411
135,265,268,268,0,0.330836
136,266,266,266,0,0.333333
137,269,267,266,0,0.335411
138,265,265,267,0,0.332497
139,268,268,267,0,0.333748
140,267,266,267,0,0.333750
141,265,268,267,0,0.331250
142,266,265,266,0,0.333752
143,269,267,266,0,0.335411
144,265,268,267,0,0.331250
145,266,266,267,0,0.332916
146,269,267,266,0,0.335411
147,265,265,267,0,0.332497
148,268,268,267,0,0.333748
149,267,266,267,0,0.333750
150,265,268,266,0,0.331665
151,266,265,267,0,0.333333
152,269,267,266,0,0.335411
153,265,268,268,0,0.330836
154,266,266,266,0,0.333333
155,269,267,266,0,0.335411
156,265,265,267,0,0.332497
157,268,268,267,0,0.333748
158,265,266,267,0,0.332080
159,267,268,266,0,0.333333
160,266,265,267,0,0.333333
161,269,267,266,0,0.335411
162,265,268,268,0,0.330836
163,266,266,266,0,0.333333
164,269,267,266,0,0.335411
165,265,265,267,0,0.332497
166,268,268,267,0,0.333748
167,267,266,267,0,0.333750
168,264,268,266,0,0.330827
169,267,265,267,0,0.334168
170,269,267,266,0,0.335411
171,265,268,268,0,0.330836
172,266,266,266,0,0.333333
173,269,267,266,0,0.335411
174,265,265,268,0,0.332080
175,268,268,266,0,0.334165
176,267,266,267,0,0.333750
177,265,268,266,0,0.331665
178,266,265,267,0,0.333333
179,269,267,266,0,0.335411
180,265,268,267,0,0.331250
181,266,266,267,0,0.332916
182,269,267,266,0,0.335411
183,265,265,267,0,0.332497
184,268,268,267,0,0.333748
185,267,266,267,0,0.333750
186,265,268,266,0,0.331665
187,266,265,267,0,0.333333
188,269,267,266,0,0.335411
189,265,268,268,0,0.330836
190,266,266,266,0,0.333333
191,268,267,266,0,0.334582
192,266,265,267,0,0.333333
193,268,268,267,0,0.333748
194,267,266,267,0,0.333750
195,265,268,267,0,0.331250
196,266,265,266,0,0.333752
197,269,267,266,0,0.335411
198,265,268,268,0,0.330836
199,266,266,266,0,0.333333
200,269,267,266,0,0.335411
201,266,265,267,0,0.333333
