t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,405,230,168,0,0.504359
1,388,240,170,0,0.486216
2,391,238,173,0,0.487531
3,392,236,173,0,0.489388
4,363,245,187,0,0.456604
5,398,233,171,0,0.496259
6,404,236,163,0,0.503113
7,404,233,164,0,0.504370
8,398,226,174,0,0.498747
9,395,233,171,0,0.494368
10,384,241,174,0,0.480601
11,380,246,174,0,0.475000
12,391,244,169,0,0.486318
13,404,226,165,0,0.508176
14,372,239,189,0,0.465000
15,397,233,172,0,0.495012
16,391,237,174,0,0.487531
17,398,234,169,0,0.496879
18,400,227,170,0,0.501882
19,395,236,169,0,0.493750
20,378,238,182,0,0.473684
21,395,234,174,0,0.491905
22,387,240,171,0,0.484962
23,382,241,180,0,0.475716
24,378,239,182,0,0.473091
25,388,238,170,0,0.487437
26,382,247,173,0,0.476309
27,400,232,168,0,0.500000
28,397,229,174,0,0.496250
29,403,228,171,0,0.502494
30,381,241,174,0,0.478643
31,406,234,164,0,0.504975
32,391,237,170,0,0.489975
33,386,244,170,0,0.482500
34,398,229,173,0,0.497500
35,412,225,165,0,0.513716
36,415,220,162,0,0.520703
37,401,230,173,0,0.498756
38,398,229,170,0,0.499373
39,371,248,183,0,0.462594
40,398,230,172,0,0.497500
41,398,231,173,0,0.496259
42,395,235,164,0,0.497481
43,390,239,172,0,0.486891
44,388,234,181,0,0.483188
45,381,243,178,0,0.475062
46,393,233,171,0,0.493099
47,394,241,164,0,0.493116
48,384,237,179,0,0.480000
49,403,234,164,0,0.503121
50,393,238,169,0,0.491250
51,403,229,168,0,0.503750
52,401,231,172,0,0.498756
53,392,234,170,0,0.492462
54,391,237,176,0,0.486318
55,396,231,168,0,0.498113
56,385,235,179,0,0.481852
57,393,236,172,0,0.490637
58,383,243,175,0,0.478152
59,393,239,170,0,0.490025
60,385,238,173,0,0.483668
61,390,241,173,0,0.485075
62,391,233,176,0,0.488750
63,378,252,170,0,0.472500
64,391,238,168,0,0.490590
65,381,240,179,0,0.476250
66,407,233,162,0,0.507481
67,399,227,172,0,0.500000
68,386,245,173,0,0.480100
69,399,231,168,0,0.500000
70,390,233,180,0,0.485679
71,399,235,166,0,0.498750
72,372,244,178,0,0.468514
73,392,235,179,0,0.486352
74,386,235,179,0,0.482500
75,389,241,169,0,0.486859
76,403,232,164,0,0.504380
77,386,240,176,0,0.481297
78,402,226,166,0,0.506297
79,417,225,163,0,0.518012
80,406,230,164,0,0.507500
81,392,235,171,0,0.491228
82,397,230,173,0,0.496250
83,407,229,162,0,0.510025
84,379,245,178,0,0.472569
85,379,236,185,0,0.473750
86,383,237,180,0,0.478750
87,384,240,175,0,0.480601
88,403,240,159,0,0.502494
89,393,244,164,0,0.490637
90,396,234,168,0,0.496241
91,402,232,169,0,0.500623
92,399,229,170,0,0.500000
93,406,230,161,0,0.509410
94,391,231,179,0,0.488140
95,406,226,168,0,0.507500
96,387,238,176,0,0.483146
97,402,229,165,0,0.505025
98,384,245,174,0,0.478207
99,400,232,169,0,0.499376
100,397,227,175,0,0.496871
101,397,233,170,0,0.496250
102,392,239,171,0,0.488778
103,409,225,165,0,0.511890
104,398,235,168,0,0.496879
105,403,228,167,0,0.505013
106,395,241,164,0,0.493750
107,385,238,177,0,0.481250
108,389,238,172,0,0.486859
109,398,231,174,0,0.495641
110,374,243,179,0,0.469849
111,397,232,171,0,0.496250
112,402,233,171,0,0.498759
113,385,240,173,0,0.482456
114,392,239,167,0,0.491228
115,386,237,177,0,0.482500
116,403,227,170,0,0.503750
117,412,230,161,0,0.513076
118,402,222,174,0,0.503759
119,387,240,175,0,0.482544
120,384,243,168,0,0.483019
121,382,237,177,0,0.479899
122,392,232,178,0,0.488778
123,408,230,164,0,0.508728
124,369,242,185,0,0.463568
125,394,242,171,0,0.488228
126,390,237,171,0,0.488722
127,399,233,167,0,0.499374
128,396,230,172,0,0.496241
129,404,228,169,0,0.504370
130,383,242,173,0,0.479950
131,389,238,174,0,0.485643
132,370,249,180,0,0.463079
133,407,225,172,0,0.506219
134,394,228,177,0,0.493116
135,396,226,180,0,0.493766
136,383,236,176,0,0.481761
137,379,248,176,0,0.471980
138,395,237,165,0,0.495609
139,389,237,173,0,0.486859
140,403,230,169,0,0.502494
141,395,234,173,0,0.492519
142,409,227,165,0,0.510612
143,389,229,179,0,0.488080
144,388,238,175,0,0.484395
145,410,227,166,0,0.510585
146,408,234,158,0,0.510000
147,377,246,170,0,0.475410
148,391,239,174,0,0.486318
149,408,227,164,0,0.510638
150,381,242,177,0,0.476250
151,403,232,166,0,0.503121
152,391,233,174,0,0.489975
153,386,241,175,0,0.481297
154,393,228,179,0,0.491250
155,390,234,177,0,0.486891
156,394,239,167,0,0.492500
157,384,241,170,0,0.483019
158,383,243,176,0,0.477556
159,399,232,170,0,0.498127
160,390,238,172,0,0.487500
161,403,235,166,0,0.501244
162,385,245,167,0,0.483061
163,393,239,164,0,0.493719
164,393,234,176,0,0.489415
165,395,231,174,0,0.493750
166,381,246,177,0,0.473881
167,391,232,173,0,0.491206
168,396,240,164,0,0.495000
169,390,239,173,0,0.486284
170,384,239,175,0,0.481203
171,387,234,179,0,0.483750
172,392,241,166,0,0.490613
173,412,224,169,0,0.511801
174,379,239,184,0,0.472569
175,391,236,169,0,0.491206
176,404,229,165,0,0.506266
177,383,241,176,0,0.478750
178,383,243,174,0,0.478750
179,402,228,171,0,0.501873
180,393,238,171,0,0.490025
181,390,239,169,0,0.488722
182,400,233,163,0,0.502513
183,381,244,180,0,0.473292
184,380,236,180,0,0.477387
185,388,244,171,0,0.483188
186,376,247,177,0,0.470000
187,391,235,176,0,0.487531
188,395,229,176,0,0.493750
189,391,234,172,0,0.490590
190,406,233,163,0,0.506234
191,407,223,171,0,0.508115
192,385,239,173,0,0.483061
193,380,241,177,0,0.476190
194,386,245,173,0,0.480100
195,380,243,175,0,0.476190
196,404,232,168,0,0.502488
197,407,225,164,0,0.511307
198,388,238,177,0,0.483188
199,403,227,172,0,0.502494
200,383,240,172,0,0.481761
201,399,235,168,0,0.497506
202,391,237,170,0,0.489975
203,391,233,174,0,0.489975
204,368,248,188,0,0.457711
205,390,230,179,0,0.488110
206,390,240,170,0,0.487500
207,396,231,172,0,0.495620
208,404,232,163,0,0.505632
209,407,232,164,0,0.506849
210,378,239,181,0,0.473684
211,385,239,177,0,0.480649
212,401,229,170,0,0.501250
213,388,235,176,0,0.485607
214,401,229,174,0,0.498756
215,386,244,169,0,0.483104
216,384,244,168,0,0.482412
217,396,237,168,0,0.494382
218,386,237,180,0,0.480697
219,401,229,169,0,0.501877
220,409,226,169,0,0.508706
221,369,243,183,0,0.464151
222,403,229,172,0,0.501244
223,394,228,177,0,0.493116
224,391,238,167,0,0.491206
225,396,234,172,0,0.493766
226,408,228,165,0,0.509363
227,401,227,168,0,0.503769
228,403,232,167,0,0.502494
229,400,228,172,0,0.500000
230,397,233,171,0,0.495630
231,405,226,164,0,0.509434
232,391,239,169,0,0.489362
233,397,238,172,0,0.491945
234,387,239,172,0,0.484962
235,393,232,175,0,0.491250
236,400,236,167,0,0.498132
237,375,238,184,0,0.470514
238,405,230,165,0,0.506250
239,402,228,171,0,0.501873
240,390,239,174,0,0.485679
241,394,240,168,0,0.491272
242,401,233,166,0,0.501250
243,395,224,178,0,0.495609
244,379,242,179,0,0.473750
245,402,222,174,0,0.503759
246,398,239,168,0,0.494410
247,397,230,171,0,0.497494
248,397,231,168,0,0.498744
249,399,230,175,0,0.496269
250,403,234,162,0,0.504380
251,395,238,167,0,0.493750
252,400,233,167,0,0.500000
253,399,229,171,0,0.499374
254,380,239,181,0,0.475000
255,388,239,175,0,0.483791
256,385,241,171,0,0.483061
257,400,231,171,0,0.498753
258,403,231,169,0,0.501868
259,377,241,181,0,0.471840
260,407,222,169,0,0.510025
261,396,237,167,0,0.495000
262,398,231,173,0,0.496259
263,388,233,177,0,0.486216
264,376,244,179,0,0.470588
265,389,236,175,0,0.486250
266,414,223,164,0,0.516854
267,404,227,169,0,0.505000
268,407,228,165,0,0.508750
269,399,234,168,0,0.498127
270,396,229,174,0,0.495620
271,385,241,174,0,0.481250
272,396,232,170,0,0.496241
273,386,244,174,0,0.480100
274,385,237,179,0,0.480649
275,403,224,173,0,0.503750
276,373,247,177,0,0.468005
277,395,225,182,0,0.492519
278,376,250,171,0,0.471769
279,399,233,170,0,0.497506
280,388,241,170,0,0.485607
281,386,245,168,0,0.483104
282,389,241,170,0,0.486250
283,398,233,167,0,0.498747
284,382,241,178,0,0.476904
285,393,234,174,0,0.490637
286,400,232,169,0,0.499376
287,400,233,168,0,0.499376
288,381,240,178,0,0.476846
289,399,236,165,0,0.498750
290,379,239,179,0,0.475533
291,395,232,175,0,0.492519
292,377,249,177,0,0.469489
293,402,237,159,0,0.503759
294,393,234,174,0,0.490637
295,410,229,161,0,0.512500
296,384,233,180,0,0.481807
297,391,232,179,0,0.487531
298,394,229,175,0,0.493734
299,396,233,173,0,0.493766
300,398,239,164,0,0.496879
301,401,228,169,0,0.502506
302,412,229,161,0,0.513716
303,375,250,173,0,0.469925
304,372,244,183,0,0.465582
305,390,237,175,0,0.486284
306,396,234,173,0,0.493151
307,387,240,170,0,0.485571
308,401,226,172,0,0.501877
309,388,239,174,0,0.484395
310,404,227,170,0,0.504370
311,389,235,175,0,0.486859
312,391,234,171,0,0.491206
313,389,245,171,0,0.483230
314,375,242,180,0,0.470514
315,366,258,181,0,0.454658
316,406,230,159,0,0.510692
317,412,223,168,0,0.513076
318,411,226,160,0,0.515684
319,394,228,178,0,0.492500
320,419,220,164,0,0.521793
321,381,248,169,0,0.477444
322,387,237,177,0,0.483146
323,398,238,163,0,0.498123
324,381,241,179,0,0.475655
325,403,227,169,0,0.504380
326,380,248,175,0,0.473225
327,391,236,172,0,0.489362
328,394,238,168,0,0.492500
329,400,238,161,0,0.500626
330,395,240,165,0,0.493750
331,398,230,174,0,0.496259
332,392,237,173,0,0.488778
333,374,248,175,0,0.469260
334,388,234,180,0,0.483791
335,401,225,171,0,0.503137
336,387,238,175,0,0.483750
337,398,228,174,0,0.497500
338,383,246,171,0,0.478750
