ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786119567.741,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119567.741,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119567.741,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119567.741,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119567.741,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119567.741,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119567.741,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786119567.741,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786119567.741,S3,search,0,prior,0.0,,,,4.019,,4.019
1786119568.742,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119568.742,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119568.742,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119568.742,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119568.742,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119568.742,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119568.742,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786119568.742,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786119568.742,S3,search,0,prior,0.0,,,,4.019,,4.019
1786119569.741,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119569.741,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119569.741,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119569.741,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119569.741,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119569.741,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119569.741,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786119569.741,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786119569.741,S3,search,0,prior,0.0,,,,4.019,,4.019
1786119570.742,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119570.742,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119570.742,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119570.742,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119570.742,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119570.742,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119570.742,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786119570.742,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786119570.742,S3,search,0,prior,0.0,,,,4.019,,4.019
1786119571.743,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119571.743,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119571.743,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119571.743,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119571.743,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119571.743,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119571.743,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786119571.743,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786119571.743,S3,search,0,prior,0.0,,,,4.019,,4.019
1786119572.744,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119572.744,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119572.744,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119572.744,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119572.744,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119572.744,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119572.744,S3,recommend,134,prior_fill,0.1906,0.8177,1.558,127.1,1.0,,1.0
1786119572.744,S3,reserve,66,prior,0.186,12.4808,120.104,140.2,1.348,,1.348
1786119572.744,S3,search,102,prior_fill,0.1907,3.7828,5.049,129.6,4.019,,4.019
1786119573.747,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119573.747,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119573.747,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119573.747,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119573.747,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119573.747,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119573.747,S3,recommend,493,prior_fill,0.6893,0.7587,1.458,129.6,1.0,,1.0
1786119573.747,S3,reserve,245,prior_fill,0.6925,4.0376,1.852,127.1,1.348,,1.348
1786119573.747,S3,search,368,prior_fill,0.6895,3.6051,4.821,132.8,4.019,,4.019
1786119574.748,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119574.748,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119574.748,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119574.748,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119574.748,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119574.748,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119574.748,S3,recommend,668,obs,0.934,0.7442,1.417,125.5,1.0,1.417,1.417
1786119574.748,S3,reserve,332,obs,0.9334,0.9072,1.197,131.2,1.348,1.197,1.197
1786119574.748,S3,search,500,obs,0.9337,3.4658,4.406,128.6,4.019,4.406,4.406
1786119575.748,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786119575.748,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786119575.748,S1,search,0,prior,0.0,,,,6.899,,6.899
1786119575.748,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786119575.748,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786119575.748,S2,search,0,prior,0.0,,,,4.287,,4.287
1786119575.748,S3,recommend,669,obs,0.9375,0.7227,1.348,123.0,1.0,1.348,1.348
1786119575.748,S3,reserve,332,obs,0.9337,0.8849,1.207,126.1,1.348,1.207,1.207
1786119575.748,S3,search,500,obs,0.9366,3.4344,4.376,125.5,4.019,4.376,4.376
1786119576.747,S1,recommend,0,prior,0.0,,,,1.24,,1.24
