ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786120612.249,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120612.249,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120612.249,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120612.249,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786120612.249,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786120612.249,S2,search,0,prior,0.0,,,,4.287,,4.287
1786120612.249,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786120612.249,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786120612.249,S3,search,0,prior,0.0,,,,4.019,,4.019
1786120613.250,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120613.250,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120613.250,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120613.250,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786120613.250,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786120613.250,S2,search,0,prior,0.0,,,,4.287,,4.287
1786120613.250,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786120613.250,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786120613.250,S3,search,0,prior,0.0,,,,4.019,,4.019
1786120614.249,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120614.249,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120614.249,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120614.249,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786120614.249,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786120614.249,S2,search,0,prior,0.0,,,,4.287,,4.287
1786120614.249,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786120614.249,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786120614.249,S3,search,0,prior,0.0,,,,4.019,,4.019
1786120615.250,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120615.250,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120615.250,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120615.250,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786120615.250,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786120615.250,S2,search,0,prior,0.0,,,,4.287,,4.287
1786120615.250,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786120615.250,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786120615.250,S3,search,0,prior,0.0,,,,4.019,,4.019
1786120616.250,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120616.250,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120616.250,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120616.250,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786120616.250,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786120616.250,S2,search,0,prior,0.0,,,,4.287,,4.287
1786120616.250,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786120616.250,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786120616.250,S3,search,0,prior,0.0,,,,4.019,,4.019
1786120617.253,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120617.253,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120617.253,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120617.253,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786120617.253,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786120617.253,S2,search,0,prior,0.0,,,,4.287,,4.287
1786120617.253,S3,recommend,148,prior_fill,0.2076,0.9381,2.699,88.9,1.0,,1.0
1786120617.253,S3,reserve,76,prior,0.2105,8.6476,99.648,86.4,1.348,,1.348
1786120617.253,S3,search,113,prior_fill,0.2063,4.0261,5.878,93.9,4.019,,4.019
1786120618.255,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120618.255,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120618.255,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120618.255,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786120618.255,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786120618.255,S2,search,0,prior,0.0,,,,4.287,,4.287
1786120618.255,S3,recommend,508,prior_fill,0.7101,0.7722,1.709,83.5,1.0,,1.0
1786120618.255,S3,reserve,253,prior_fill,0.7111,3.3135,2.108,84.9,1.348,,1.348
1786120618.255,S3,search,380,prior_fill,0.7087,3.5993,5.22,88.5,4.019,,4.019
1786120619.255,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120619.255,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120619.255,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120619.255,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786120619.255,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786120619.255,S2,search,0,prior,0.0,,,,4.287,,4.287
1786120619.255,S3,recommend,684,obs,0.9568,0.689,1.346,85.3,1.0,1.346,1.346
1786120619.255,S3,reserve,338,obs,0.9507,1.0305,1.389,91.5,1.348,1.389,1.389
1786120619.255,S3,search,510,obs,0.9543,3.393,4.408,87.9,4.019,4.408,4.408
1786120620.255,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786120620.255,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786120620.255,S1,search,0,prior,0.0,,,,6.899,,6.899
1786120620.255,S2,recommend,0,prior,0.0,,,,0.975,,0.975
