t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,265,266,267,0,0.332080
1,266,266,266,0,0.333333
2,268,267,266,0,0.334582
3,266,267,267,0,0.332500
4,267,266,267,0,0.333750
5,267,267,267,0,0.333333
6,266,265,266,0,0.333752
7,267,269,267,0,0.332503
8,267,266,266,0,0.334168
9,266,267,268,0,0.332085
10,266,266,266,0,0.333333
11,268,267,266,0,0.334582
12,266,267,267,0,0.332500
13,267,266,267,0,0.333750
14,267,267,267,0,0.333333
15,266,265,266,0,0.333752
16,267,269,267,0,0.332503
17,267,265,266,0,0.334586
18,266,268,268,0,0.331671
19,266,266,266,0,0.333333
20,268,266,266,0,0.335000
21,265,268,267,0,0.331250
22,267,266,267,0,0.333750
23,268,267,267,0,0.334165
24,266,266,266,0,0.333333
25,267,268,267,0,0.332918
26,267,265,266,0,0.334586
27,266,268,268,0,0.331671
28,266,266,266,0,0.333333
29,268,267,266,0,0.334582
30,266,267,267,0,0.332500
31,266,266,267,0,0.332916
32,268,267,267,0,0.334165
33,266,265,266,0,0.333752
34,267,269,267,0,0.332503
35,265,266,266,0,0.332497
36,268,267,268,0,0.333748
37,266,266,266,0,0.333333
38,268,267,266,0,0.334582
39,266,267,267,0,0.332500
40,267,266,267,0,0.333750
41,267,267,267,0,0.333333
42,266,265,266,0,0.333752
43,267,269,267,0,0.332503
44,266,265,266,0,0.333752
45,267,268,268,0,0.332503
46,266,266,266,0,0.333333
47,268,267,266,0,0.334582
48,266,267,267,0,0.332500
49,267,266,267,0,0.333750
50,267,267,267,0,0.333333
51,266,265,266,0,0.333752
52,267,269,267,0,0.332503
53,267,266,266,0,0.334168
54,266,267,268,0,0.332085
55,266,266,266,0,0.333333
56,268,267,266,0,0.334582
57,266,267,267,0,0.332500
58,267,266,267,0,0.333750
59,267,267,267,0,0.333333
60,266,265,266,0,0.333752
61,267,269,267,0,0.332503
62,267,266,266,0,0.334168
63,266,267,268,0,0.332085
64,266,265,266,0,0.333752
65,268,267,266,0,0.334582
66,266,268,267,0,0.332085
67,267,266,267,0,0.333750
68,267,267,267,0,0.333333
69,266,265,266,0,0.333752
70,267,269,267,0,0.332503
71,267,266,266,0,0.334168
72,266,267,268,0,0.332085
73,266,266,266,0,0.333333
74,268,267,266,0,0.334582
75,266,267,267,0,0.332500
76,267,266,267,0,0.333750
77,267,267,267,0,0.333333
78,266,265,266,0,0.333752
79,267,269,267,0,0.332503
80,266,266,266,0,0.333333
81,267,267,268,0,0.332918
82,266,266,266,0,0.333333
83,268,267,266,0,0.334582
84,266,267,267,0,0.332500
85,267,266,267,0,0.333750
86,267,267,267,0,0.333333
87,266,265,266,0,0.333752
88,267,269,267,0,0.332503
89,265,266,266,0,0.332497
90,268,267,268,0,0.333748
91,266,266,266,0,0.333333
92,268,267,266,0,0.334582
93,264,267,267,0,0.330827
94,269,266,267,0,0.335411
95,267,267,267,0,0.333333
96,266,266,266,0,0.333333
97,267,268,267,0,0.332918
98,267,266,266,0,0.334168
99,266,267,268,0,0.332085
100,266,266,266,0,0.333333
101,268,266,266,0,0.335000
102,265,268,267,0,0.331250
103,267,266,267,0,0.333750
104,268,267,267,0,0.334165
105,266,265,266,0,0.333752
106,267,269,267,0,0.332503
107,267,266,266,0,0.334168
108,266,267,268,0,0.332085
109,266,266,266,0,0.333333
110,268,267,266,0,0.334582
111,266,267,267,0,0.332500
112,267,266,267,0,0.333750
113,267,267,267,0,0.333333
114,266,265,266,0,0.333752
115,267,269,267,0,0.332503
116,265,266,266,0,0.332497
117,268,267,268,0,0.333748
118,266,266,266,0,0.333333
119,268,267,266,0,0.334582
120,266,267,267,0,0.332500
121,267,266,267,0,0.333750
122,267,267,267,0,0.333333
123,266,265,266,0,0.333752
124,267,269,267,0,0.332503
125,267,266,266,0,0.334168
126,266,267,268,0,0.332085
127,266,266,266,0,0.333333
128,268,266,266,0,0.335000
129,266,268,267,0,0.332085
130,267,266,267,0,0.333750
131,267,267,267,0,0.333333
132,266,265,266,0,0.333752
133,267,269,267,0,0.332503
134,265,266,266,0,0.332497
135,268,267,268,0,0.333748
136,266,266,266,0,0.333333
137,268,267,266,0,0.334582
138,266,267,266,0,0.332916
139,267,266,268,0,0.333333
140,267,267,267,0,0.333333
141,266,265,266,0,0.333752
142,267,269,267,0,0.332503
143,267,266,266,0,0.334168
144,266,267,268,0,0.332085
145,266,266,266,0,0.333333
146,268,266,266,0,0.335000
147,266,268,267,0,0.332085
148,267,266,267,0,0.333750
149,267,267,267,0,0.333333
150,266,265,266,0,0.333752
151,267,269,267,0,0.332503
152,265,266,266,0,0.332497
153,268,267,268,0,0.333748
154,266,266,266,0,0.333333
155,268,266,266,0,0.335000
156,265,268,267,0,0.331250
157,268,266,267,0,0.334582
158,267,267,267,0,0.333333
159,266,265,266,0,0.333752
160,267,269,267,0,0.332503
161,265,266,266,0,0.332497
162,268,267,268,0,0.333748
163,266,266,266,0,0.333333
164,268,267,266,0,0.334582
165,266,267,266,0,0.332916
166,267,266,268,0,0.333333
167,267,267,267,0,0.333333
168,266,265,266,0,0.333752
169,267,269,267,0,0.332503
170,267,266,265,0,0.334586
171,266,267,269,0,0.331671
172,266,266,266,0,0.333333
173,268,267,266,0,0.334582
174,266,267,267,0,0.332500
