t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,395,229,170,0,0.497481
1,380,244,177,0,0.474407
2,404,225,170,0,0.505632
3,399,226,176,0,0.498127
4,400,224,179,0,0.498132
5,383,248,165,0,0.481156
6,395,239,171,0,0.490683
7,411,221,165,0,0.515684
8,399,230,173,0,0.497506
9,388,237,172,0,0.486826
10,376,241,182,0,0.470588
11,392,236,172,0,0.490000
12,407,229,168,0,0.506219
13,395,234,167,0,0.496231
14,397,233,169,0,0.496871
15,396,231,178,0,0.491925
16,390,231,176,0,0.489335
17,374,246,182,0,0.466334
18,395,241,164,0,0.493750
19,401,225,168,0,0.505038
20,385,238,179,0,0.480050
21,376,251,175,0,0.468828
22,405,230,165,0,0.506250
23,398,231,170,0,0.498123
24,399,232,168,0,0.499374
25,403,226,175,0,0.501244
26,405,228,162,0,0.509434
27,396,237,171,0,0.492537
28,385,244,169,0,0.482456
29,398,232,173,0,0.495641
30,397,232,174,0,0.494396
31,397,228,170,0,0.499371
32,383,246,176,0,0.475776
33,378,239,176,0,0.476671
34,388,241,173,0,0.483791
35,397,230,171,0,0.497494
36,400,225,175,0,0.500000
37,409,225,167,0,0.510612
38,386,243,172,0,0.481898
39,395,238,167,0,0.493750
40,402,233,169,0,0.500000
41,379,242,175,0,0.476131
42,406,226,170,0,0.506234
43,383,241,176,0,0.478750
44,394,231,174,0,0.493116
45,385,238,175,0,0.482456
46,396,231,174,0,0.494382
47,390,234,176,0,0.487500
48,400,237,164,0,0.499376
49,376,247,176,0,0.470588
50,404,225,169,0,0.506266
51,374,245,183,0,0.466334
52,406,228,167,0,0.506866
53,401,228,170,0,0.501877
54,409,229,165,0,0.509340
55,379,244,174,0,0.475533
56,400,231,170,0,0.499376
57,404,228,170,0,0.503741
58,380,238,177,0,0.477987
59,384,235,179,0,0.481203
60,385,239,181,0,0.478261
61,385,237,174,0,0.483668
62,408,225,173,0,0.506203
63,393,235,167,0,0.494340
64,391,234,176,0,0.488140
65,383,242,179,0,0.476368
66,384,242,171,0,0.481807
67,377,249,177,0,0.469489
68,378,241,178,0,0.474279
69,395,234,168,0,0.495609
70,417,227,160,0,0.518657
71,365,244,189,0,0.457393
72,387,243,175,0,0.480745
73,383,239,175,0,0.480552
74,386,244,170,0,0.482500
75,405,230,165,0,0.506250
76,401,231,169,0,0.500624
77,401,228,171,0,0.501250
78,378,240,180,0,0.473684
79,400,237,166,0,0.498132
80,386,236,173,0,0.485535
81,385,244,175,0,0.478856
82,383,242,174,0,0.479349
83,384,246,169,0,0.480601
84,396,233,172,0,0.494382
85,377,246,174,0,0.473024
86,401,237,165,0,0.499377
87,402,230,169,0,0.501873
88,399,236,167,0,0.497506
89,397,234,168,0,0.496871
90,394,234,171,0,0.493116
91,390,238,172,0,0.487500
92,388,230,181,0,0.485607
93,401,232,166,0,0.501877
94,402,229,166,0,0.504391
95,385,240,180,0,0.478261
96,389,235,173,0,0.488080
97,397,236,170,0,0.494396
98,396,230,171,0,0.496863
99,396,234,173,0,0.493151
100,402,236,161,0,0.503129
101,380,239,184,0,0.473225
102,388,238,173,0,0.485607
103,389,242,167,0,0.487469
104,410,225,167,0,0.511222
105,390,237,173,0,0.487500
106,390,239,171,0,0.487500
107,416,226,159,0,0.519351
108,392,233,174,0,0.490613
109,403,227,169,0,0.504380
110,350,255,193,0,0.438596
111,401,229,168,0,0.502506
112,396,235,172,0,0.493151
113,393,231,177,0,0.490637
114,394,234,170,0,0.493734
115,403,229,169,0,0.503121
116,418,222,161,0,0.521848
117,395,231,171,0,0.495609
118,401,233,169,0,0.499377
119,410,225,161,0,0.515075
120,381,250,173,0,0.473881
121,392,232,173,0,0.491844
122,387,239,175,0,0.483146
123,397,238,165,0,0.496250
124,386,245,172,0,0.480697
125,399,236,167,0,0.497506
126,410,227,158,0,0.515723
127,394,236,173,0,0.490660
128,371,242,182,0,0.466667
129,384,242,179,0,0.477019
130,387,239,173,0,0.484355
131,387,238,174,0,0.484355
132,399,232,166,0,0.500627
133,385,239,180,0,0.478856
134,417,228,155,0,0.521250
135,379,245,172,0,0.476131
136,401,236,167,0,0.498756
137,398,235,163,0,0.500000
138,392,236,176,0,0.487562
139,395,234,169,0,0.494987
140,395,234,173,0,0.492519
141,402,224,176,0,0.501247
142,384,241,172,0,0.481807
143,385,245,167,0,0.483061
144,399,233,170,0,0.497506
145,391,236,176,0,0.486924
146,386,239,175,0,0.482500
147,392,234,177,0,0.488169
148,392,231,172,0,0.493082
149,403,237,161,0,0.503121
