ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786122158.589,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786122158.589,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786122158.589,S1,search,0,prior,0.0,,,,6.899,,6.899
1786122158.589,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786122158.589,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786122158.589,S2,search,0,prior,0.0,,,,4.287,,4.287
1786122158.589,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786122158.589,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786122158.589,S3,search,0,prior,0.0,,,,4.019,,4.019
1786122159.590,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786122159.590,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786122159.590,S1,search,0,prior,0.0,,,,6.899,,6.899
1786122159.590,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786122159.590,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786122159.590,S2,search,0,prior,0.0,,,,4.287,,4.287
1786122159.590,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786122159.590,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786122159.590,S3,search,0,prior,0.0,,,,4.019,,4.019
1786122160.589,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786122160.589,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786122160.589,S1,search,0,prior,0.0,,,,6.899,,6.899
1786122160.589,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786122160.589,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786122160.589,S2,search,0,prior,0.0,,,,4.287,,4.287
1786122160.589,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786122160.589,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786122160.589,S3,search,0,prior,0.0,,,,4.019,,4.019
1786122161.590,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786122161.590,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786122161.590,S1,search,0,prior,0.0,,,,6.899,,6.899
1786122161.590,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786122161.590,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786122161.590,S2,search,0,prior,0.0,,,,4.287,,4.287
1786122161.590,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786122161.590,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786122161.590,S3,search,0,prior,0.0,,,,4.019,,4.019
1786122162.591,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786122162.591,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786122162.591,S1,search,0,prior,0.0,,,,6.899,,6.899
1786122162.591,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786122162.591,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786122162.591,S2,search,0,prior,0.0,,,,4.287,,4.287
1786122162.591,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786122162.591,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786122162.591,S3,search,0,prior,0.0,,,,4.019,,4.019
1786122163.592,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786122163.592,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786122163.592,S1,search,0,prior,0.0,,,,6.899,,6.899
1786122163.592,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786122163.592,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786122163.592,S2,search,0,prior,0.0,,,,4.287,,4.287
1786122163.592,S3,recommend,131,prior_fill,0.099,0.8275,1.704,120.9,1.0,,1.0
1786122163.592,S3,reserve,65,prior,0.0983,26.856,183.828,127.4,1.348,,1.348
1786122163.592,S3,search,102,prior_fill,0.0986,4.0853,6.699,125.9,4.019,,4.019
1786122164.595,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786122164.595,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786122164.595,S1,search,0,prior,0.0,,,,6.899,,6.899
