t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
-11,39,17,11,0,0.582090
-10,265,119,71,0,0.582418
-9,694,367,170,0,0.563769
-8,822,383,194,0,0.587563
-7,800,403,197,0,0.571429
-6,799,403,198,0,0.570714
-5,810,392,198,0,0.578571
-4,799,399,202,0,0.570714
-3,783,426,191,0,0.559286
-2,803,385,212,0,0.573571
-1,787,406,207,0,0.562143
0,1630,781,388,0,0.582351
1,790,413,197,0,0.564286
2,787,408,205,0,0.562143
3,788,412,200,0,0.562857
4,805,390,205,0,0.575000
5,813,389,198,0,0.580714
6,810,384,206,0,0.578571
7,793,411,196,0,0.566429
8,787,402,211,0,0.562143
9,802,391,207,0,0.572857
10,804,403,193,0,0.574286
11,789,405,206,0,0.563571
12,823,377,200,0,0.587857
13,792,413,195,0,0.565714
14,778,410,212,0,0.555714
15,783,425,192,0,0.559286
16,836,377,187,0,0.597143
17,820,394,186,0,0.585714
18,786,416,198,0,0.561429
19,822,367,211,0,0.587143
20,809,391,200,0,0.577857
21,774,417,209,0,0.552857
22,810,400,190,0,0.578571
23,776,423,201,0,0.554286
24,799,391,210,0,0.570714
25,801,398,201,0,0.572143
26,802,413,185,0,0.572857
27,791,392,217,0,0.565000
28,814,387,199,0,0.581429
29,808,415,177,0,0.577143
30,793,402,205,0,0.566429
31,794,396,210,0,0.567143
32,793,405,202,0,0.566429
33,789,401,210,0,0.563571
34,796,396,208,0,0.568571
35,798,419,183,0,0.570000
36,825,378,197,0,0.589286
37,829,368,203,0,0.592143
38,790,412,198,0,0.564286
39,791,410,199,0,0.565000
40,794,403,203,0,0.567143
41,836,379,185,0,0.597143
42,773,411,216,0,0.552143
43,782,432,186,0,0.558571
44,823,379,198,0,0.587857
45,774,423,203,0,0.552857
46,826,380,194,0,0.590000
47,771,416,213,0,0.550714
48,810,396,194,0,0.578571
49,799,401,200,0,0.570714
50,803,395,202,0,0.573571
51,792,380,228,0,0.565714
52,798,403,199,0,0.570000
53,802,397,201,0,0.572857
54,795,427,178,0,0.567857
55,805,388,207,0,0.575000
56,786,404,210,0,0.561429
57,804,405,191,0,0.574286
58,843,370,187,0,0.602143
59,779,417,204,0,0.556429
