t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
-12,6,2,1,0,0.666667
-11,66,30,18,0,0.578947
-10,401,167,76,0,0.622671
-9,709,360,194,0,0.561362
-8,777,414,198,0,0.559395
-7,831,371,198,0,0.593571
-6,801,397,202,0,0.572143
-5,788,413,199,0,0.562857
-4,810,408,182,0,0.578571
-3,796,399,205,0,0.568571
-2,789,404,207,0,0.563571
-1,793,401,206,0,0.566429
0,1616,794,389,0,0.577349
1,824,397,179,0,0.588571
2,803,394,203,0,0.573571
3,777,419,204,0,0.555000
4,801,388,211,0,0.572143
5,817,396,187,0,0.583571
6,802,401,197,0,0.572857
7,799,412,189,0,0.570714
8,812,393,195,0,0.580000
9,808,390,202,0,0.577143
10,805,389,206,0,0.575000
11,826,394,180,0,0.590000
12,786,397,217,0,0.561429
13,789,419,192,0,0.563571
14,786,402,212,0,0.561429
15,763,431,206,0,0.545000
16,805,399,196,0,0.575000
17,811,392,197,0,0.579286
18,798,413,189,0,0.570000
19,812,385,203,0,0.580000
20,788,393,219,0,0.562857
21,815,392,193,0,0.582143
22,804,397,199,0,0.574286
23,785,415,200,0,0.560714
24,827,368,205,0,0.590714
25,786,411,203,0,0.561429
26,804,397,199,0,0.574286
27,760,426,214,0,0.542857
28,778,408,214,0,0.555714
29,794,402,204,0,0.567143
30,827,378,195,0,0.590714
31,784,407,209,0,0.560000
32,803,398,199,0,0.573571
33,797,410,193,0,0.569286
34,813,400,187,0,0.580714
35,813,383,204,0,0.580714
36,786,400,214,0,0.561429
37,807,400,193,0,0.576429
38,770,421,209,0,0.550000
39,799,412,189,0,0.570714
40,845,356,199,0,0.603571
41,791,402,207,0,0.565000
42,786,420,194,0,0.561429
43,794,392,214,0,0.567143
44,784,412,204,0,0.560000
45,809,409,182,0,0.577857
46,796,416,188,0,0.568571
47,800,410,190,0,0.571429
48,829,364,207,0,0.592143
49,790,406,204,0,0.564286
50,790,403,207,0,0.564286
51,789,405,206,0,0.563571
52,794,407,199,0,0.567143
53,806,401,193,0,0.575714
54,804,397,199,0,0.574286
55,798,418,184,0,0.570000
56,813,374,213,0,0.580714
57,807,384,209,0,0.576429
58,825,383,192,0,0.589286
59,779,412,208,0,0.556826
