t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,460,227,114,0,0.574282
1,331,174,88,0,0.558179
2,353,169,84,0,0.582508
3,359,184,92,0,0.565354
4,423,203,102,0,0.581044
5,417,217,108,0,0.561995
6,375,188,93,0,0.571646
7,369,185,93,0,0.570325
8,346,174,88,0,0.569079
9,328,162,82,0,0.573427
10,487,241,119,0,0.574970
11,336,167,84,0,0.572402
12,381,194,97,0,0.566964
13,370,187,95,0,0.567485
14,376,188,93,0,0.572298
15,411,196,97,0,0.583807
16,431,220,110,0,0.566360
17,399,203,102,0,0.566761
18,339,172,87,0,0.566890
19,348,169,83,0,0.580000
20,418,210,105,0,0.570259
21,379,194,98,0,0.564829
22,395,197,99,0,0.571635
23,387,192,95,0,0.574184
24,364,179,90,0,0.575039
25,385,192,96,0,0.572065
26,408,204,100,0,0.573034
27,430,214,108,0,0.571809
28,323,164,82,0,0.567663
29,349,168,85,0,0.579734
30,374,193,97,0,0.563253
31,466,229,112,0,0.577447
32,381,192,96,0,0.569507
33,349,175,88,0,0.570261
34,331,172,88,0,0.560068
35,379,184,89,0,0.581288
36,422,209,105,0,0.573370
37,399,207,106,0,0.560393
38,342,169,84,0,0.574790
39,382,189,94,0,0.574436
40,363,183,92,0,0.568966
41,395,198,99,0,0.570809
42,395,190,93,0,0.582596
43,391,202,101,0,0.563401
44,408,199,99,0,0.577904
45,389,191,95,0,0.576296
46,390,197,101,0,0.566860
47,389,197,99,0,0.567883
48,352,182,91,0,0.563200
49,325,161,81,0,0.573192
50,372,184,89,0,0.576744
51,483,237,120,0,0.575000
52,356,185,93,0,0.561514
53,384,185,93,0,0.580060
54,315,166,82,0,0.559503
55,369,179,89,0,0.579278
56,345,178,91,0,0.561889
57,398,194,96,0,0.578488
58,383,193,97,0,0.569094
59,467,232,114,0,0.574416
60,328,169,88,0,0.560684
61,362,178,86,0,0.578275
62,473,236,117,0,0.572639
63,352,177,91,0,0.567742
64,399,197,97,0,0.575758
65,392,193,98,0,0.573939
66,334,171,85,0,0.566102
67,378,181,89,0,0.583333
68,442,229,116,0,0.561626
69,332,170,86,0,0.564626
70,363,182,92,0,0.569859
71,336,165,80,0,0.578313
72,448,220,110,0,0.575835
73,379,193,98,0,0.565672
74,359,182,91,0,0.568038
75,353,173,87,0,0.575856
76,471,228,112,0,0.580764
77,381,198,98,0,0.562777
78,361,181,92,0,0.569401
79,374,191,96,0,0.565809
80,358,177,88,0,0.574639
81,350,172,86,0,0.575658
82,412,201,99,0,0.578652
83,443,224,112,0,0.568678
84,400,204,103,0,0.565771
85,351,178,91,0,0.566129
86,381,185,90,0,0.580793
87,377,193,97,0,0.565217
88,369,184,92,0,0.572093
89,372,184,92,0,0.574074
90,428,218,110,0,0.566138
91,389,192,96,0,0.574594
92,348,175,87,0,0.570492
93,383,188,94,0,0.575940
94,361,183,92,0,0.567610
95,431,216,106,0,0.572377
96,325,162,83,0,0.570175
97,396,191,94,0,0.581498
98,407,211,106,0,0.562155
99,339,172,87,0,0.566890
100,393,195,97,0,0.573723
101,350,170,83,0,0.580431
102,388,195,98,0,0.569750
103,434,213,107,0,0.575597
104,392,204,104,0,0.560000
105,365,184,91,0,0.570312
106,400,186,93,0,0.589102
107,425,215,106,0,0.569705
108,406,211,106,0,0.561549
109,360,179,90,0,0.572337
110,348,174,88,0,0.570492
111,389,189,94,0,0.578869
112,416,211,105,0,0.568306
113,344,178,90,0,0.562092
114,350,171,86,0,0.576606
115,412,197,96,0,0.584397
116,413,218,110,0,0.557355
117,403,201,100,0,0.572443
118,315,160,82,0,0.565530
119,421,206,99,0,0.579890
120,409,204,105,0,0.569638
121,344,174,87,0,0.568595
122,381,191,95,0,0.571214
123,355,176,89,0,0.572581
124,410,202,99,0,0.576653
125,363,188,98,0,0.559322
126,376,173,82,0,0.595880
127,423,224,114,0,0.555848
128,343,174,88,0,0.566942
129,362,182,91,0,0.570079
130,358,170,85,0,0.584013
131,443,222,109,0,0.572351
132,390,196,98,0,0.570175
133,369,190,96,0,0.563359
134,327,164,82,0,0.570681
135,405,199,99,0,0.576102
136,420,205,101,0,0.578512
137,374,188,96,0,0.568389
138,352,184,93,0,0.559618
139,336,165,82,0,0.576329
140,451,223,110,0,0.575255
141,348,177,91,0,0.564935
142,367,178,86,0,0.581616
143,421,203,102,0,0.579890
144,363,181,92,0,0.570755
145,382,187,93,0,0.577039
146,347,167,83,0,0.581240
147,248,124,64,0,0.568807
148,2,1,0,0,0.666667
