t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,375,196,99,0,0.559701
1,341,172,87,0,0.568333
2,404,200,99,0,0.574680
3,365,183,91,0,0.571205
4,370,180,90,0,0.578125
5,447,225,112,0,0.570153
6,406,200,100,0,0.575071
7,373,194,98,0,0.560902
8,349,175,87,0,0.571195
9,378,189,95,0,0.570997
10,349,173,86,0,0.574013
11,383,185,92,0,0.580303
12,449,225,112,0,0.571247
13,387,195,97,0,0.569956
14,331,171,88,0,0.561017
15,369,180,89,0,0.578370
16,452,223,111,0,0.575064
17,379,197,100,0,0.560651
18,377,187,92,0,0.574695
19,361,181,92,0,0.569401
20,378,189,94,0,0.571861
21,410,201,100,0,0.576653
22,379,192,96,0,0.568216
23,342,171,86,0,0.570952
24,465,230,113,0,0.575495
25,395,198,99,0,0.570809
26,368,181,92,0,0.574103
27,341,178,89,0,0.560855
28,365,182,91,0,0.572100
29,374,184,91,0,0.576271
30,439,211,106,0,0.580688
31,389,203,102,0,0.560519
32,364,184,92,0,0.568750
33,350,173,87,0,0.573770
34,372,186,92,0,0.572308
35,338,173,87,0,0.565217
36,437,207,104,0,0.584225
37,368,191,94,0,0.563553
38,411,208,105,0,0.567680
39,402,200,99,0,0.573466
40,350,172,86,0,0.575658
41,361,182,92,0,0.568504
42,388,194,96,0,0.572271
43,398,195,99,0,0.575145
44,416,208,103,0,0.572215
45,371,192,97,0,0.562121
46,391,194,95,0,0.575000
47,351,177,90,0,0.567961
48,402,202,101,0,0.570213
49,384,189,94,0,0.575712
50,335,170,86,0,0.566836
51,437,213,106,0,0.578042
52,410,208,104,0,0.567867
53,363,182,91,0,0.570755
54,335,171,86,0,0.565878
55,422,209,103,0,0.574932
56,411,204,103,0,0.572423
57,372,190,95,0,0.566210
58,358,177,89,0,0.573718
59,387,195,97,0,0.569956
60,317,156,78,0,0.575318
61,418,201,99,0,0.582173
62,369,189,94,0,0.565951
63,418,207,104,0,0.573388
64,321,166,84,0,0.562172
65,385,191,96,0,0.572917
66,349,174,87,0,0.572131
67,429,218,109,0,0.567460
68,380,188,94,0,0.574018
69,379,187,94,0,0.574242
70,360,182,91,0,0.568720
71,400,199,98,0,0.573888
72,374,187,95,0,0.570122
73,358,181,90,0,0.569157
74,317,155,78,0,0.576364
75,422,213,106,0,0.569501
76,333,166,83,0,0.572165
77,412,207,103,0,0.570637
78,349,176,89,0,0.568404
79,397,189,92,0,0.585546
80,398,203,103,0,0.565341
81,379,194,98,0,0.564829
82,360,183,91,0,0.567823
83,393,194,97,0,0.574561
84,368,183,92,0,0.572317
85,416,204,101,0,0.576976
86,358,187,94,0,0.560250
87,417,208,104,0,0.572016
88,381,188,94,0,0.574661
89,398,198,98,0,0.573487
90,393,199,101,0,0.567100
91,392,189,94,0,0.580741
92,322,162,80,0,0.570922
93,400,204,102,0,0.566572
94,418,203,101,0,0.578947
95,382,194,97,0,0.567608
96,341,172,88,0,0.567388
97,363,185,92,0,0.567187
98,357,178,89,0,0.572115
99,380,191,96,0,0.569715
100,385,191,94,0,0.574627
101,396,200,101,0,0.568149
102,377,187,94,0,0.572948
103,379,191,95,0,0.569925
104,404,194,97,0,0.581295
105,392,202,101,0,0.564029
106,389,194,97,0,0.572059
107,334,170,85,0,0.567063
108,445,211,105,0,0.584757
109,387,200,100,0,0.563319
110,384,194,98,0,0.568047
111,400,198,98,0,0.574713
112,364,183,92,0,0.569640
113,367,185,92,0,0.569876
114,396,197,98,0,0.573082
115,334,164,83,0,0.574871
116,395,187,92,0,0.586053
117,371,201,102,0,0.550445
118,438,215,107,0,0.576316
119,361,184,93,0,0.565831
120,373,186,93,0,0.572086
121,405,197,98,0,0.578571
122,357,185,94,0,0.561321
123,391,191,95,0,0.577548
124,374,186,92,0,0.573620
125,361,183,90,0,0.569401
126,356,174,87,0,0.576985
127,327,170,86,0,0.560892
128,409,205,103,0,0.570432
129,380,190,94,0,0.572289
130,366,181,92,0,0.572770
131,366,180,89,0,0.576378
132,369,187,93,0,0.568567
133,365,184,93,0,0.568536
134,424,208,104,0,0.576087
135,384,194,96,0,0.569733
136,351,172,87,0,0.575410
137,329,170,85,0,0.563356
138,414,202,100,0,0.578212
139,394,198,100,0,0.569364
140,357,182,92,0,0.565769
141,390,191,94,0,0.577778
142,358,179,90,0,0.570973
143,378,187,93,0,0.574468
144,319,158,80,0,0.572711
145,408,194,97,0,0.583691
146,369,185,93,0,0.570325
147,317,151,75,0,0.583794
148,85,42,21,0,0.574324
