t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,0,1407,0,0.000000
1,0,0,1389,0,0.000000
2,0,0,1402,0,0.000000
3,0,0,1403,0,0.000000
4,0,0,1402,0,0.000000
5,0,0,1395,0,0.000000
6,0,0,1410,0,0.000000
7,0,0,1389,0,0.000000
8,0,0,1406,0,0.000000
9,0,0,1405,0,0.000000
10,0,0,1393,0,0.000000
11,0,0,1402,0,0.000000
12,0,0,1395,0,0.000000
13,0,0,1405,0,0.000000
14,0,0,1401,0,0.000000
15,0,0,1402,0,0.000000
16,0,0,1396,0,0.000000
17,0,0,1391,0,0.000000
18,0,0,1416,0,0.000000
19,0,0,1391,0,0.000000
20,0,0,1399,0,0.000000
21,0,0,1368,0,0.000000
22,0,0,1363,0,0.000000
23,0,0,1354,0,0.000000
24,0,0,1363,0,0.000000
25,0,0,1349,0,0.000000
26,0,0,1362,0,0.000000
27,0,0,1358,0,0.000000
28,0,0,1352,0,0.000000
29,0,0,1366,0,0.000000
30,0,0,1372,0,0.000000
31,0,0,1360,0,0.000000
32,0,0,1367,0,0.000000
33,0,0,1343,0,0.000000
34,0,0,1353,0,0.000000
35,0,0,1369,0,0.000000
36,0,0,1356,0,0.000000
37,0,0,1362,0,0.000000
38,0,0,1355,0,0.000000
39,0,0,1350,0,0.000000
40,0,0,1359,0,0.000000
41,0,0,1357,0,0.000000
42,0,0,1351,0,0.000000
43,0,0,1353,0,0.000000
44,0,0,1372,0,0.000000
45,0,0,1355,0,0.000000
46,0,0,1358,0,0.000000
47,0,0,1361,0,0.000000
48,0,0,1356,0,0.000000
49,0,0,1382,0,0.000000
50,0,0,1369,0,0.000000
51,0,0,1435,0,0.000000
52,0,0,1463,0,0.000000
53,0,0,1425,0,0.000000
54,0,0,1461,0,0.000000
55,0,0,1450,0,0.000000
56,0,0,1440,0,0.000000
57,0,0,1455,0,0.000000
58,0,0,1453,0,0.000000
59,0,0,1455,0,0.000000
60,0,0,569,0,0.000000
61,0,0,192,0,0.000000
62,0,0,59,0,0.000000
