t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,0,1402,0,0.000000
1,0,0,1400,0,0.000000
2,0,0,1390,0,0.000000
3,0,0,1410,0,0.000000
4,0,0,1399,0,0.000000
5,0,0,1398,0,0.000000
6,0,0,1406,0,0.000000
7,0,0,1395,0,0.000000
8,0,0,1398,0,0.000000
9,0,0,1398,0,0.000000
10,0,0,1402,0,0.000000
11,0,0,1400,0,0.000000
12,0,0,1407,0,0.000000
13,0,0,1398,0,0.000000
14,0,0,1395,0,0.000000
15,0,0,1399,0,0.000000
16,0,0,1404,0,0.000000
17,0,0,1401,0,0.000000
18,0,0,1401,0,0.000000
19,0,0,1401,0,0.000000
20,0,0,1142,0,0.000000
21,0,0,1051,0,0.000000
22,0,0,1125,0,0.000000
23,0,0,1057,0,0.000000
24,0,0,1072,0,0.000000
25,0,0,1090,0,0.000000
26,0,0,1072,0,0.000000
27,0,0,1113,0,0.000000
28,0,0,1041,0,0.000000
29,0,0,1094,0,0.000000
30,0,0,1035,0,0.000000
31,0,0,1071,0,0.000000
32,0,0,1090,0,0.000000
33,0,0,1104,0,0.000000
34,0,0,1071,0,0.000000
35,0,0,1070,0,0.000000
36,0,0,1085,0,0.000000
37,0,0,1067,0,0.000000
38,0,0,1091,0,0.000000
39,0,0,1126,0,0.000000
40,0,0,1091,0,0.000000
41,0,0,1079,0,0.000000
42,0,0,1074,0,0.000000
43,0,0,1056,0,0.000000
44,0,0,1072,0,0.000000
45,0,0,1096,0,0.000000
46,0,0,1087,0,0.000000
47,0,0,1068,0,0.000000
48,0,0,1026,0,0.000000
49,0,0,1017,0,0.000000
50,0,0,1412,0,0.000000
51,0,0,1456,0,0.000000
52,0,0,1481,0,0.000000
53,0,0,1455,0,0.000000
54,0,0,1480,0,0.000000
55,0,0,1476,0,0.000000
56,0,0,1475,0,0.000000
57,0,0,1456,0,0.000000
58,0,0,1455,0,0.000000
59,0,0,1469,0,0.000000
60,0,0,1444,0,0.000000
61,0,0,1450,0,0.000000
62,0,0,1446,0,0.000000
63,0,0,1479,0,0.000000
64,0,0,1479,0,0.000000
65,0,0,1460,0,0.000000
66,0,0,340,0,0.000000
