t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,366,185,94,0,0.567442
1,412,202,100,0,0.577031
2,363,180,89,0,0.574367
3,383,195,98,0,0.566568
4,370,187,94,0,0.568356
5,361,178,87,0,0.576677
6,347,172,88,0,0.571664
7,357,176,87,0,0.575806
8,350,183,92,0,0.560000
9,372,183,91,0,0.575851
10,361,183,93,0,0.566719
11,381,189,94,0,0.573795
12,366,181,90,0,0.574568
13,364,182,90,0,0.572327
14,343,172,87,0,0.569767
15,364,186,93,0,0.566096
16,334,161,80,0,0.580870
17,372,187,95,0,0.568807
18,355,178,88,0,0.571659
19,383,193,97,0,0.569094
20,372,187,94,0,0.569678
21,355,178,88,0,0.571659
22,377,189,94,0,0.571212
23,363,178,88,0,0.577107
24,373,186,94,0,0.571210
25,325,166,84,0,0.565217
26,338,168,84,0,0.572881
27,410,202,100,0,0.575843
28,336,174,88,0,0.561873
29,373,186,93,0,0.572086
30,386,194,96,0,0.571006
31,315,156,78,0,0.573770
32,394,198,100,0,0.569364
33,347,174,86,0,0.571664
34,354,176,89,0,0.571890
35,358,176,88,0,0.575563
36,381,191,95,0,0.571214
37,351,173,85,0,0.576355
38,351,181,92,0,0.562500
39,367,179,90,0,0.577044
40,375,188,93,0,0.571646
41,331,169,86,0,0.564846
42,401,196,96,0,0.578644
43,357,181,92,0,0.566667
44,367,185,92,0,0.569876
45,373,184,91,0,0.575617
46,368,183,92,0,0.572317
47,379,190,95,0,0.570783
48,357,183,92,0,0.564873
49,355,176,89,0,0.572581
50,345,167,83,0,0.579832
51,393,196,97,0,0.572886
52,358,179,89,0,0.571885
53,357,185,94,0,0.561321
54,392,190,94,0,0.579882
55,347,179,91,0,0.562399
56,387,190,93,0,0.577612
57,365,185,93,0,0.567652
58,310,158,80,0,0.565693
59,350,170,85,0,0.578512
60,346,174,87,0,0.570016
61,336,168,84,0,0.571429
62,343,172,87,0,0.569767
63,347,171,84,0,0.576412
64,355,178,90,0,0.569823
65,365,185,91,0,0.569423
66,349,174,88,0,0.571195
67,357,180,90,0,0.569378
68,362,180,90,0,0.572785
69,385,191,94,0,0.574627
70,345,177,90,0,0.563725
71,395,194,97,0,0.575802
72,365,182,91,0,0.572100
73,366,185,92,0,0.569207
74,374,185,92,0,0.574501
75,332,166,83,0,0.571429
76,366,179,90,0,0.576378
77,353,181,91,0,0.564800
78,334,161,80,0,0.580870
79,334,164,83,0,0.574871
80,330,162,80,0,0.576923
81,72,36,19,0,0.566929
