t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,345,172,85,0,0.573090
1,341,170,85,0,0.572148
2,405,203,102,0,0.570423
3,384,190,95,0,0.573991
4,343,175,88,0,0.566007
5,373,188,94,0,0.569466
6,371,182,91,0,0.576087
7,361,181,89,0,0.572108
8,387,192,97,0,0.572485
9,351,176,88,0,0.570732
10,370,186,94,0,0.569231
11,374,188,94,0,0.570122
12,376,189,94,0,0.570561
13,398,195,96,0,0.577649
14,369,184,92,0,0.572093
15,342,177,91,0,0.560656
16,370,185,91,0,0.572755
17,340,168,84,0,0.574324
18,353,177,89,0,0.570275
19,371,181,89,0,0.578783
20,379,191,97,0,0.568216
21,330,164,82,0,0.572917
22,382,191,93,0,0.573574
23,331,166,85,0,0.568729
24,327,167,84,0,0.565744
25,355,174,86,0,0.577236
26,358,180,92,0,0.568254
27,346,172,85,0,0.573798
28,365,185,92,0,0.568536
29,356,177,88,0,0.573269
30,357,175,89,0,0.574879
31,361,184,92,0,0.566719
32,394,192,95,0,0.578561
33,340,177,89,0,0.561056
34,380,186,91,0,0.578387
35,363,178,91,0,0.574367
36,325,168,84,0,0.563258
37,345,166,83,0,0.580808
38,381,192,96,0,0.569507
39,389,198,98,0,0.567883
40,350,175,89,0,0.570033
41,381,189,94,0,0.573795
42,389,196,95,0,0.572059
43,369,185,95,0,0.568567
44,379,187,93,0,0.575114
45,338,172,86,0,0.567114
46,354,176,88,0,0.572816
47,380,189,94,0,0.573152
48,334,169,86,0,0.567063
49,365,179,90,0,0.575710
50,377,191,94,0,0.569486
51,381,189,95,0,0.572932
52,353,178,90,0,0.568438
53,356,182,91,0,0.565978
54,413,203,100,0,0.576816
55,371,182,91,0,0.576087
56,337,172,86,0,0.566387
57,387,194,97,0,0.570796
58,354,178,90,0,0.569132
59,376,182,91,0,0.579353
60,379,195,97,0,0.564829
61,363,175,86,0,0.581731
62,346,181,93,0,0.558065
63,368,182,91,0,0.574103
64,367,185,92,0,0.569876
65,375,189,95,0,0.569044
66,386,190,94,0,0.576119
67,379,187,93,0,0.575114
68,352,178,90,0,0.567742
69,360,181,91,0,0.569620
70,384,192,94,0,0.573134
71,343,167,83,0,0.578415
72,401,201,101,0,0.570413
73,336,175,89,0,0.560000
74,395,195,97,0,0.574964
75,391,189,95,0,0.579259
76,335,166,82,0,0.574614
77,342,174,88,0,0.566225
78,340,167,82,0,0.577250
79,365,178,90,0,0.576619
80,207,104,53,0,0.568681
