ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786260079.991,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260079.991,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260079.991,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260079.991,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260079.991,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260079.991,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260079.991,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786260079.991,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786260079.991,S3,search,0,prior,0.0,,,,4.019,,4.019
1786260080.993,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260080.993,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260080.993,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260080.993,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260080.993,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260080.993,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260080.993,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786260080.993,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786260080.993,S3,search,0,prior,0.0,,,,4.019,,4.019
1786260081.992,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260081.992,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260081.992,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260081.992,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260081.992,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260081.992,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260081.992,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786260081.992,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786260081.992,S3,search,0,prior,0.0,,,,4.019,,4.019
1786260082.993,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260082.993,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260082.993,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260082.993,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260082.993,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260082.993,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260082.993,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786260082.993,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786260082.993,S3,search,0,prior,0.0,,,,4.019,,4.019
1786260083.994,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260083.994,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260083.994,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260083.994,S2,recommend,60,prior,0.1616,1.0248,1.922,47.9,0.975,,0.975
1786260083.994,S2,reserve,38,prior,0.1578,10.5405,76.271,53.0,1.332,,1.332
1786260083.994,S2,search,51,prior,0.1669,4.783,7.526,39.8,4.287,,4.287
1786260083.994,S3,recommend,58,prior,0.1559,0.7255,1.139,49.9,1.0,,1.0
1786260083.994,S3,reserve,21,prior,0.1628,14.1373,88.62,47.4,1.348,,1.348
1786260083.994,S3,search,40,prior,0.161,3.8677,5.059,50.5,4.019,,4.019
1786260084.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260084.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260084.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260084.998,S2,recommend,264,prior_fill,0.6669,1.0521,2.191,37.3,0.975,,0.975
1786260084.998,S2,reserve,138,prior_fill,0.6631,3.8484,4.485,42.3,1.332,,1.332
1786260084.998,S2,search,211,prior_fill,0.664,4.7003,6.905,45.5,4.287,,4.287
1786260084.998,S3,recommend,212,prior_fill,0.6584,0.6046,0.996,44.8,1.0,,1.0
1786260084.998,S3,reserve,97,prior,0.6625,3.765,2.355,48.0,1.348,,1.348
1786260084.998,S3,search,147,prior_fill,0.6626,3.3855,4.5,47.4,4.019,,4.019
1786260085.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260085.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260085.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260085.998,S2,recommend,415,obs,0.9796,1.0008,2.097,38.3,0.975,2.097,2.097
1786260085.998,S2,reserve,201,obs,0.9797,1.2129,2.592,35.8,1.332,2.592,2.592
1786260085.998,S2,search,303,obs,0.9713,4.64,6.838,40.8,4.287,6.838,6.838
1786260085.998,S3,recommend,284,obs,0.9761,0.5717,0.876,45.8,1.0,0.876,0.876
1786260085.998,S3,reserve,147,obs,0.9629,0.8506,1.035,45.1,1.348,1.035,1.035
1786260085.998,S3,search,220,obs,0.9675,3.1687,3.8,57.6,4.019,3.8,3.8
1786260086.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260086.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260086.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260086.998,S2,recommend,416,obs,0.98,0.9994,2.03,35.1,0.975,2.03,2.03
1786260086.998,S2,reserve,214,obs,0.9759,1.1018,2.022,38.3,1.332,2.022,2.022
1786260086.998,S2,search,283,obs,0.97,4.6276,7.323,45.8,4.287,7.323,7.323
1786260086.998,S3,recommend,280,obs,0.9765,0.541,0.841,45.1,1.0,0.841,0.841
1786260086.998,S3,reserve,136,obs,0.9675,0.8453,0.968,53.3,1.348,0.968,0.968
1786260086.998,S3,search,241,obs,0.975,3.152,3.81,47.6,4.019,3.81,3.81
1786260087.997,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260087.997,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260087.997,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260087.997,S2,recommend,416,obs,0.9784,0.9972,1.96,38.0,0.975,1.96,1.96
1786260087.997,S2,reserve,220,obs,0.9834,1.106,2.035,33.0,1.332,2.035,2.035
1786260087.997,S2,search,285,obs,0.9784,4.6168,7.176,40.5,4.287,7.176,7.176
1786260087.997,S3,recommend,279,obs,0.975,0.551,0.792,42.9,1.0,0.792,0.792
1786260087.997,S3,reserve,134,obs,0.975,0.9264,0.991,47.9,1.348,0.991,0.991
1786260087.997,S3,search,237,obs,0.9684,3.2293,4.054,45.4,4.019,4.054,4.054
1786260088.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260088.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260088.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260088.998,S2,recommend,417,obs,0.9812,1.031,2.074,33.3,0.975,2.074,2.074
1786260088.998,S2,reserve,209,obs,0.9759,1.1739,2.45,43.3,1.332,2.45,2.45
1786260088.998,S2,search,299,obs,0.9813,4.7235,7.164,35.8,4.287,7.164,7.164
1786260088.998,S3,recommend,283,obs,0.9759,0.5258,0.756,45.8,1.0,0.756,0.756
1786260088.998,S3,reserve,139,obs,0.9665,0.8352,1.003,45.1,1.348,1.003,1.003
1786260088.998,S3,search,223,obs,0.9647,3.1676,3.898,63.2,4.019,3.898,3.898
1786260089.997,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260089.997,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260089.997,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260089.997,S2,recommend,399,obs,0.9825,1.0966,2.463,32.9,0.975,2.463,2.463
1786260089.997,S2,reserve,201,obs,0.9797,1.42,2.964,37.9,1.332,2.964,2.964
1786260089.997,S2,search,313,obs,0.9759,4.8137,6.996,42.9,4.287,6.996,6.996
1786260089.997,S3,recommend,302,obs,0.9797,0.5199,0.737,40.5,1.0,0.737,0.737
1786260089.997,S3,reserve,147,obs,0.9572,0.8251,1.018,60.5,1.348,1.018,1.018
1786260089.997,S3,search,209,obs,0.974,3.1002,3.638,44.8,4.019,3.638,3.638
1786260090.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260090.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260090.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260090.998,S2,recommend,399,obs,0.9797,1.0472,2.207,35.8,0.975,2.207,2.207
1786260090.998,S2,reserve,204,obs,0.9759,1.204,2.629,33.3,1.332,2.629,2.629
1786260090.998,S2,search,306,obs,0.9787,4.7049,7.128,32.6,4.287,7.128,7.128
1786260090.998,S3,recommend,299,obs,0.9684,0.5118,0.766,60.8,1.0,0.766,0.766
1786260090.998,S3,reserve,145,obs,0.9759,0.814,0.934,40.8,1.348,0.934,0.934
1786260090.998,S3,search,219,obs,0.975,3.1388,3.766,48.3,4.019,3.766,3.766
1786260091.997,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260091.997,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260091.997,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260091.997,S2,recommend,404,obs,0.9834,1.0502,2.269,30.5,0.975,2.269,2.269
1786260091.997,S2,reserve,205,obs,0.9778,1.1614,2.218,29.8,1.332,2.218,2.218
1786260091.997,S2,search,305,obs,0.9775,4.8307,7.781,44.8,4.287,7.781,7.781
1786260091.997,S3,recommend,293,obs,0.9759,0.5243,0.801,40.5,1.0,0.801,0.801
1786260091.997,S3,reserve,148,obs,0.9675,0.8089,0.98,52.3,1.348,0.98,0.98
1786260091.997,S3,search,219,obs,0.9759,3.1315,3.801,43.0,4.019,3.801,3.801
1786260092.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260092.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260092.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260092.998,S2,recommend,399,obs,0.9788,1.0085,2.128,33.3,0.975,2.128,2.128
1786260092.998,S2,reserve,207,obs,0.975,1.1481,2.137,45.8,1.332,2.137,2.137
1786260092.998,S2,search,307,obs,0.9759,4.7976,7.784,38.3,4.287,7.784,7.784
1786260092.998,S3,recommend,300,obs,0.9751,0.525,0.805,48.2,1.0,0.805,0.805
1786260092.998,S3,reserve,143,obs,0.9647,0.8074,1.015,68.3,1.348,1.015,1.015
1786260092.998,S3,search,215,obs,0.975,3.1385,3.79,45.2,4.019,3.79,3.79
1786260093.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260093.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260093.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260093.998,S2,recommend,405,obs,0.9825,1.0452,2.36,30.1,0.975,2.36,2.36
1786260093.998,S2,reserve,199,obs,0.975,1.1485,2.204,40.8,1.332,2.204,2.204
1786260093.998,S2,search,308,obs,0.9803,4.6795,7.018,35.1,4.287,7.018,7.018
1786260093.998,S3,recommend,297,obs,0.9741,0.5307,0.802,45.1,1.0,0.802,0.802
1786260093.998,S3,reserve,148,obs,0.9778,0.8517,1.015,42.6,1.348,1.015,1.015
1786260093.998,S3,search,216,obs,0.9787,3.1344,3.721,40.2,4.019,3.721,3.721
1786260094.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260094.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260094.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260094.998,S2,recommend,404,obs,0.9791,1.0423,2.401,40.1,0.975,2.401,2.401
