ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786260599.695,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,2.81,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.055,0,S3,site_s3,S3,S3,S3
1786260599.695,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.59,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.055,0,S3,site_s3,S3,S3,S3
1786260599.695,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.58,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.055,0,S3,site_s3,S3,S3,S3
1786260599.695,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.5,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.055,0,S3,site_s3,S3,S3,S3
1786260599.695,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.56,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.055,0,S3,site_s3,S3,S3,S3
1786260599.695,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.53,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.055,0,S3,site_s3,S3,S3,S3
1786260600.696,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.115,0,S3,site_s3,S3,S3,S3
1786260600.696,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.115,0,S3,site_s3,S3,S3,S3
1786260600.696,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.115,0,S3,site_s3,S3,S3,S3
1786260600.696,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.115,0,S3,site_s3,S3,S3,S3
1786260600.696,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.115,0,S3,site_s3,S3,S3,S3
1786260600.696,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.115,0,S3,site_s3,S3,S3,S3
1786260601.695,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.098,0,S3,site_s3,S3,S3,S3
1786260601.695,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.098,0,S3,site_s3,S3,S3,S3
1786260601.695,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.098,0,S3,site_s3,S3,S3,S3
1786260601.695,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.098,0,S3,site_s3,S3,S3,S3
1786260601.695,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.098,0,S3,site_s3,S3,S3,S3
1786260601.695,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.098,0,S3,site_s3,S3,S3,S3
1786260602.696,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.104,0,S3,site_s3,S3,S3,S3
1786260602.696,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.104,0,S3,site_s3,S3,S3,S3
1786260602.696,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.104,0,S3,site_s3,S3,S3,S3
1786260602.696,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.104,0,S3,site_s3,S3,S3,S3
1786260602.696,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.104,0,S3,site_s3,S3,S3,S3
1786260602.696,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.104,0,S3,site_s3,S3,S3,S3
1786260603.697,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,37,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,1.439,0,S3,site_s3,S3,S3,S3
1786260603.697,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,54,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,1.439,0,S3,site_s3,S3,S3,S3
1786260603.697,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,64,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.439,0,S3,site_s3,S3,S3,S3
1786260603.697,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,37,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,1.439,0,S3,site_s3,S3,S3,S3
1786260603.697,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,54,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,1.439,0,S3,site_s3,S3,S3,S3
1786260603.697,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,64,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.439,0,S3,site_s3,S3,S3,S3
1786260604.700,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,220,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,5.367,0,S3,site_s3,S3,S3,S3
1786260604.700,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,332,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,5.367,0,S3,site_s3,S3,S3,S3
1786260604.700,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,440,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,5.367,0,S3,site_s3,S3,S3,S3
1786260604.700,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,220,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,5.367,0,S3,site_s3,S3,S3,S3
1786260604.700,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,332,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,5.367,0,S3,site_s3,S3,S3,S3
1786260604.700,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,440,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,5.367,0,S3,site_s3,S3,S3,S3
1786260605.700,c1,reserve,,0.0,26.34,13.67,3.54,S3,0,,0,36.0,obs,340,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.54,S3,5.011,0,S3,site_s3,S3,S3,S3
1786260605.700,c1,search,,0.0,31.1,20.71,9.8,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,9.8,S3,5.011,0,S3,site_s3,S3,S3,S3
1786260605.700,c1,recommend,,0.0,26.76,14.03,3.56,S3,0,,0,200.0,obs,680,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.56,S3,5.011,0,S3,site_s3,S3,S3,S3
1786260605.700,c2,reserve,,0.0,26.34,13.67,3.54,S3,0,,0,36.0,obs,340,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.54,S3,5.011,0,S3,site_s3,S3,S3,S3
1786260605.700,c2,search,,0.0,31.1,20.71,9.8,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,9.8,S3,5.011,0,S3,site_s3,S3,S3,S3
1786260605.700,c2,recommend,,0.0,26.76,14.03,3.56,S3,0,,0,200.0,obs,680,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.56,S3,5.011,0,S3,site_s3,S3,S3,S3
