ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786260599.695,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260599.695,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260599.695,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260599.695,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260599.695,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260599.695,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260599.695,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786260599.695,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786260599.695,S3,search,0,prior,0.0,,,,4.019,,4.019
1786260600.696,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260600.696,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260600.696,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260600.696,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260600.696,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260600.696,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260600.696,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786260600.696,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786260600.696,S3,search,0,prior,0.0,,,,4.019,,4.019
1786260601.695,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260601.695,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260601.695,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260601.695,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260601.695,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260601.695,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260601.695,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786260601.695,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786260601.695,S3,search,0,prior,0.0,,,,4.019,,4.019
1786260602.696,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260602.696,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260602.696,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260602.696,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260602.696,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260602.696,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260602.696,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786260602.696,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786260602.696,S3,search,0,prior,0.0,,,,4.019,,4.019
1786260603.697,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260603.697,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260603.697,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260603.697,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260603.697,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260603.697,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260603.697,S3,recommend,64,prior,0.1159,0.8283,1.893,119.6,1.0,,1.0
1786260603.697,S3,reserve,37,prior,0.1151,45.6965,192.867,124.6,1.348,,1.348
1786260603.697,S3,search,54,prior,0.1143,3.9938,6.96,124.1,4.019,,4.019
1786260604.700,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260604.700,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260604.700,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260604.700,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260604.700,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260604.700,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260604.700,S3,recommend,440,prior_fill,0.6148,0.7707,1.452,122.0,1.0,,1.0
1786260604.700,S3,reserve,220,prior_fill,0.6176,8.5208,4.049,119.5,1.348,,1.348
1786260604.700,S3,search,332,prior_fill,0.6133,3.901,6.11,127.0,4.019,,4.019
1786260605.700,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786260605.700,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786260605.700,S1,search,0,prior,0.0,,,,6.899,,6.899
1786260605.700,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786260605.700,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786260605.700,S2,search,0,prior,0.0,,,,4.287,,4.287
1786260605.700,S3,recommend,680,obs,0.9414,0.7972,1.443,117.1,1.0,1.443,1.443
1786260605.700,S3,reserve,340,obs,0.9339,0.9528,1.459,129.6,1.348,1.459,1.459
1786260605.700,S3,search,512,obs,0.9363,3.7631,5.198,122.1,4.019,5.198,5.198
1786260606.701,S1,recommend,0,prior,0.0,,,,1.24,,1.24
