t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,0,802,0,0.000000
1,0,0,798,0,0.000000
2,0,0,800,0,0.000000
3,0,0,802,0,0.000000
4,0,0,800,0,0.000000
5,0,0,799,0,0.000000
6,0,0,801,0,0.000000
7,0,0,800,0,0.000000
8,0,0,798,0,0.000000
9,0,0,802,0,0.000000
10,0,0,798,0,0.000000
11,0,0,800,0,0.000000
12,0,0,802,0,0.000000
13,0,0,800,0,0.000000
14,0,0,798,0,0.000000
15,0,0,802,0,0.000000
16,0,0,800,0,0.000000
17,0,0,798,0,0.000000
18,0,0,802,0,0.000000
19,0,0,798,0,0.000000
20,0,0,800,0,0.000000
21,0,0,802,0,0.000000
22,0,0,800,0,0.000000
23,0,0,800,0,0.000000
24,0,0,800,0,0.000000
25,0,0,800,0,0.000000
26,0,0,798,0,0.000000
27,0,0,802,0,0.000000
28,0,0,798,0,0.000000
29,0,0,800,0,0.000000
30,0,0,802,0,0.000000
31,0,0,800,0,0.000000
32,0,0,800,0,0.000000
33,0,0,800,0,0.000000
34,0,0,800,0,0.000000
35,0,0,798,0,0.000000
36,0,0,802,0,0.000000
37,0,0,798,0,0.000000
38,0,0,800,0,0.000000
39,0,0,802,0,0.000000
40,0,0,800,0,0.000000
41,0,0,800,0,0.000000
42,0,0,800,0,0.000000
43,0,0,800,0,0.000000
44,0,0,798,0,0.000000
45,0,0,802,0,0.000000
46,0,0,798,0,0.000000
47,0,0,800,0,0.000000
48,0,0,802,0,0.000000
49,0,0,800,0,0.000000
50,0,0,800,0,0.000000
51,0,0,800,0,0.000000
52,0,0,800,0,0.000000
53,0,0,798,0,0.000000
54,0,0,802,0,0.000000
55,0,0,798,0,0.000000
56,0,0,800,0,0.000000
57,0,0,802,0,0.000000
58,0,0,800,0,0.000000
59,0,0,800,0,0.000000
60,0,0,800,0,0.000000
61,0,0,800,0,0.000000
62,0,0,798,0,0.000000
63,0,0,802,0,0.000000
64,0,0,798,0,0.000000
65,0,0,800,0,0.000000
66,0,0,802,0,0.000000
67,0,0,800,0,0.000000
68,0,0,800,0,0.000000
69,0,0,800,0,0.000000
70,0,0,800,0,0.000000
71,0,0,798,0,0.000000
72,0,0,802,0,0.000000
73,0,0,798,0,0.000000
74,0,0,800,0,0.000000
75,0,0,802,0,0.000000
76,0,0,800,0,0.000000
77,0,0,800,0,0.000000
78,0,0,798,0,0.000000
79,0,0,802,0,0.000000
80,0,0,798,0,0.000000
81,0,0,802,0,0.000000
82,0,0,798,0,0.000000
83,0,0,800,0,0.000000
84,0,0,802,0,0.000000
85,0,0,800,0,0.000000
86,0,0,800,0,0.000000
87,0,0,800,0,0.000000
88,0,0,800,0,0.000000
89,0,0,798,0,0.000000
90,0,0,802,0,0.000000
91,0,0,798,0,0.000000
92,0,0,800,0,0.000000
93,0,0,802,0,0.000000
94,0,0,800,0,0.000000
95,0,0,800,0,0.000000
96,0,0,800,0,0.000000
97,0,0,800,0,0.000000
98,0,0,798,0,0.000000
99,0,0,802,0,0.000000
100,0,0,798,0,0.000000
101,0,0,800,0,0.000000
102,0,0,802,0,0.000000
103,0,0,800,0,0.000000
104,0,0,800,0,0.000000
105,0,0,800,0,0.000000
106,0,0,800,0,0.000000
107,0,0,798,0,0.000000
108,0,0,802,0,0.000000
109,0,0,798,0,0.000000
110,0,0,800,0,0.000000
111,0,0,802,0,0.000000
112,0,0,800,0,0.000000
113,0,0,798,0,0.000000
114,0,0,802,0,0.000000
115,0,0,800,0,0.000000
116,0,0,798,0,0.000000
117,0,0,802,0,0.000000
118,0,0,798,0,0.000000
119,0,0,800,0,0.000000
120,0,0,795,0,0.000000
121,83,0,719,0,0.103491
122,133,0,670,0,0.165629
123,131,0,667,0,0.164160
124,134,0,666,0,0.167500
125,134,0,665,0,0.167710
126,133,0,669,0,0.165835
127,134,0,664,0,0.167920
128,133,0,670,0,0.165629
129,133,0,664,0,0.166876
130,135,0,666,0,0.168539
131,133,0,669,0,0.165835
132,131,0,667,0,0.164160
133,135,0,667,0,0.168329
134,134,0,665,0,0.167710
135,131,0,666,0,0.164366
136,134,0,666,0,0.167500
137,134,0,670,0,0.166667
138,134,0,666,0,0.167500
139,134,0,664,0,0.167920
140,131,0,668,0,0.163955
141,133,0,668,0,0.166042
142,135,0,666,0,0.168539
143,134,0,664,0,0.167920
144,132,0,669,0,0.164794
145,134,0,665,0,0.167710
146,133,0,670,0,0.165629
147,133,0,664,0,0.166876
148,135,0,667,0,0.168329
149,133,0,668,0,0.166042
150,131,0,667,0,0.164160
151,135,0,666,0,0.168539
152,134,0,664,0,0.167920
153,132,0,669,0,0.164794
154,134,0,665,0,0.167710
155,133,0,668,0,0.166042
156,134,0,667,0,0.167291
157,133,0,665,0,0.166667
158,133,0,668,0,0.166042
159,132,0,668,0,0.165000
160,135,0,666,0,0.168539
161,134,0,664,0,0.167920
162,132,0,670,0,0.164589
163,134,0,663,0,0.168130
164,133,0,671,0,0.165423
165,134,0,665,0,0.167710
166,134,0,665,0,0.167710
167,133,0,669,0,0.165835
168,131,0,667,0,0.164160
169,133,0,666,0,0.166458
170,136,0,665,0,0.169788
171,132,0,669,0,0.164794
172,134,0,663,0,0.168130
173,133,0,671,0,0.165423
174,134,0,666,0,0.167500
175,133,0,662,0,0.167296
176,134,0,671,0,0.166460
177,131,0,667,0,0.164160
178,134,0,666,0,0.167500
179,135,0,665,0,0.168750
180,130,0,664,0,0.163728
181,203,0,574,0,0.261261
182,260,0,519,0,0.333761
183,260,0,524,0,0.331633
184,268,0,532,0,0.335000
185,249,0,507,0,0.329365
186,265,0,520,0,0.337580
187,264,0,528,0,0.333333
188,264,0,518,0,0.337596
189,262,0,532,0,0.329975
190,262,0,525,0,0.332910
191,262,0,524,0,0.333333
192,262,0,533,0,0.329560
193,265,0,516,0,0.339309
194,264,0,531,0,0.332075
195,253,0,511,0,0.331152
196,269,0,523,0,0.339646
197,255,0,520,0,0.329032
198,259,0,525,0,0.330357
199,267,0,532,0,0.334168
200,265,0,527,0,0.334596
201,260,0,525,0,0.331210
202,265,0,514,0,0.340180
203,257,0,524,0,0.329065
204,260,0,523,0,0.332056
205,254,0,507,0,0.333771
206,260,0,519,0,0.333761
207,260,0,525,0,0.331210
208,263,0,523,0,0.334606
209,266,0,521,0,0.337992
210,259,0,529,0,0.328680
211,262,0,522,0,0.334184
212,264,0,515,0,0.338896
213,259,0,530,0,0.328264
214,258,0,522,0,0.330769
215,254,0,505,0,0.334651
216,269,0,527,0,0.337940
217,256,0,533,0,0.324461
218,264,0,520,0,0.336735
219,260,0,518,0,0.334190
220,262,0,521,0,0.334610
221,260,0,527,0,0.330368
222,264,0,515,0,0.338896
223,262,0,535,0,0.328733
224,255,0,518,0,0.329884
225,258,0,507,0,0.337255
226,266,0,529,0,0.334591
