ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786255924.125,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786255924.125,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786255924.125,S1,search,0,prior,0.0,,,,6.899,,6.899
1786255924.125,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786255924.125,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786255924.125,S2,search,0,prior,0.0,,,,4.287,,4.287
1786255924.125,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786255924.125,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786255924.125,S3,search,0,prior,0.0,,,,4.019,,4.019
1786255925.126,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786255925.126,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786255925.126,S1,search,0,prior,0.0,,,,6.899,,6.899
1786255925.126,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786255925.126,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786255925.126,S2,search,0,prior,0.0,,,,4.287,,4.287
1786255925.126,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786255925.126,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786255925.126,S3,search,0,prior,0.0,,,,4.019,,4.019
1786255926.126,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786255926.126,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786255926.126,S1,search,0,prior,0.0,,,,6.899,,6.899
1786255926.126,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786255926.126,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786255926.126,S2,search,0,prior,0.0,,,,4.287,,4.287
1786255926.126,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786255926.126,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786255926.126,S3,search,0,prior,0.0,,,,4.019,,4.019
1786255927.127,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786255927.127,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786255927.127,S1,search,0,prior,0.0,,,,6.899,,6.899
1786255927.127,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786255927.127,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786255927.127,S2,search,0,prior,0.0,,,,4.287,,4.287
1786255927.127,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786255927.127,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786255927.127,S3,search,0,prior,0.0,,,,4.019,,4.019
1786255928.127,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786255928.127,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786255928.127,S1,search,0,prior,0.0,,,,6.899,,6.899
1786255928.127,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786255928.127,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786255928.127,S2,search,0,prior,0.0,,,,4.287,,4.287
1786255928.127,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786255928.127,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786255928.127,S3,search,0,prior,0.0,,,,4.019,,4.019
1786255929.129,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786255929.129,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786255929.129,S1,search,0,prior,0.0,,,,6.899,,6.899
1786255929.129,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786255929.129,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786255929.129,S2,search,0,prior,0.0,,,,4.287,,4.287
1786255929.129,S3,recommend,155,prior_fill,0.2214,0.7355,1.405,82.0,1.0,,1.0
1786255929.129,S3,reserve,76,prior,0.2223,20.4821,159.189,84.0,1.348,,1.348
1786255929.129,S3,search,114,prior_fill,0.2175,3.955,5.631,92.2,4.019,,4.019
1786255930.137,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786255930.137,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786255930.137,S1,search,0,prior,0.0,,,,6.899,,6.899
1786255930.137,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786255930.137,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786255930.137,S2,search,0,prior,0.0,,,,4.287,,4.287
1786255930.137,S3,recommend,514,prior_fill,0.7212,0.6955,1.303,82.4,1.0,,1.0
