ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786256447.855,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256447.855,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256447.855,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256447.855,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256447.855,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256447.855,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256447.855,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256447.855,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256447.855,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256448.856,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256448.856,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256448.856,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256448.856,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256448.856,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256448.856,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256448.856,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256448.856,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256448.856,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256449.856,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256449.856,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256449.856,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256449.856,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256449.856,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256449.856,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256449.856,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256449.856,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256449.856,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256450.856,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256450.856,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256450.856,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256450.856,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256450.856,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256450.856,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256450.856,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256450.856,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256450.856,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256451.856,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256451.856,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256451.856,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256451.856,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256451.856,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256451.856,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256451.856,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256451.856,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256451.856,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256452.858,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256452.858,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256452.858,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256452.858,S2,recommend,84,prior,0.2056,1.1544,2.26,116.7,0.975,,0.975
1786256452.858,S2,reserve,42,prior,0.1949,2.9182,5.457,129.2,1.332,,1.332
1786256452.858,S2,search,67,prior,0.1986,4.8275,9.325,126.8,4.287,,4.287
1786256452.858,S3,recommend,60,prior,0.1952,0.5656,0.85,125.3,1.0,,1.0
1786256452.858,S3,reserve,31,prior,0.1939,3.0464,1.488,137.8,1.348,,1.348
1786256452.858,S3,search,44,prior,0.2,3.2336,3.817,130.3,4.019,,4.019
1786256453.865,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256453.865,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256453.865,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256453.865,S2,recommend,292,prior_fill,0.7068,1.0333,2.13,113.8,0.975,,0.975
1786256453.865,S2,reserve,160,prior_fill,0.6974,1.7423,3.415,123.8,1.332,,1.332
1786256453.865,S2,search,211,prior_fill,0.7011,4.5109,6.887,121.3,4.287,,4.287
1786256453.865,S3,recommend,211,prior_fill,0.6945,0.5519,0.85,126.3,1.0,,1.0
1786256453.865,S3,reserve,91,prior,0.6926,1.6169,1.488,139.9,1.348,,1.348
1786256453.865,S3,search,165,prior_fill,0.7,3.1908,3.883,129.9,4.019,,4.019
1786256454.861,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256454.861,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256454.861,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256454.861,S2,recommend,385,obs,0.9375,0.9941,2.047,122.8,0.975,2.047,2.047
1786256454.861,S2,reserve,214,obs,0.9343,1.2683,2.375,119.2,1.332,2.375,2.375
1786256454.861,S2,search,292,obs,0.9407,4.4544,6.429,117.8,4.287,6.429,6.429
1786256454.861,S3,recommend,284,obs,0.9319,0.558,0.845,125.3,1.0,0.845,0.845
1786256454.861,S3,reserve,119,obs,0.93,0.8838,1.259,135.3,1.348,1.259,1.259
1786256454.861,S3,search,210,obs,0.9295,3.164,3.732,127.8,4.019,3.732,3.732
1786256455.861,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256455.861,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256455.861,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256455.861,S2,recommend,366,obs,0.9413,1.0311,1.939,117.4,0.975,1.939,1.939
1786256455.861,S2,reserve,210,obs,0.9407,1.2538,2.252,114.9,1.332,2.252,2.252
1786256455.861,S2,search,315,obs,0.9393,4.5833,6.683,118.8,4.287,6.683,6.683
1786256455.861,S3,recommend,305,obs,0.937,0.5458,0.786,124.9,1.0,0.786,0.786
1786256455.861,S3,reserve,124,obs,0.9262,0.8625,1.185,129.9,1.348,1.185,1.185
1786256455.861,S3,search,186,obs,0.925,3.1544,3.705,143.7,4.019,3.705,3.705
1786256456.861,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256456.861,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256456.861,S1,search,0,prior,0.0,,,,6.899,,6.899
