ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786256968.597,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256968.597,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256968.597,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256968.597,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256968.597,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256968.597,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256968.597,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256968.597,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256968.597,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256969.598,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256969.598,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256969.598,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256969.598,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256969.598,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256969.598,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256969.598,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256969.598,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256969.598,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256970.598,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256970.598,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256970.598,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256970.598,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256970.598,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256970.598,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256970.598,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256970.598,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256970.598,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256971.599,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256971.599,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256971.599,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256971.599,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256971.599,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256971.599,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256971.599,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256971.599,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256971.599,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256972.599,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256972.599,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256972.599,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256972.599,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786256972.599,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786256972.599,S2,search,0,prior,0.0,,,,4.287,,4.287
1786256972.599,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786256972.599,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786256972.599,S3,search,0,prior,0.0,,,,4.019,,4.019
1786256973.600,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786256973.600,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786256973.600,S1,search,0,prior,0.0,,,,6.899,,6.899
1786256973.600,S2,recommend,91,prior,0.2356,1.0336,2.147,38.1,0.975,,0.975
1786256973.600,S2,reserve,49,prior,0.2351,6.1706,64.864,36.4,1.332,,1.332
1786256973.600,S2,search,76,prior,0.2278,4.8987,8.111,43.0,4.287,,4.287
1786256973.600,S3,recommend,76,prior,0.2231,0.5409,0.816,49.0,1.0,,1.0
1786256973.600,S3,reserve,35,prior,0.2157,4.3919,37.532,81.5,1.348,,1.348
