t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,268,267,267,0,0.334165
1,265,266,267,0,0.332080
2,268,267,266,0,0.334582
3,267,267,267,0,0.333333
4,266,266,267,0,0.332916
5,267,267,266,0,0.333750
6,266,266,267,0,0.332916
7,267,268,267,0,0.332918
8,267,266,266,0,0.334168
9,267,267,267,0,0.333333
10,265,266,267,0,0.332080
11,268,267,265,0,0.335000
12,267,267,268,0,0.332918
13,266,266,267,0,0.332916
14,267,267,266,0,0.333750
15,266,266,267,0,0.332916
16,267,268,267,0,0.332918
17,267,266,266,0,0.334168
18,266,267,267,0,0.332500
19,266,266,267,0,0.332916
20,268,267,266,0,0.334582
21,267,267,267,0,0.333333
22,266,266,267,0,0.332916
23,267,267,267,0,0.333333
24,266,266,266,0,0.333333
25,267,268,267,0,0.332918
26,266,266,266,0,0.333333
27,268,267,267,0,0.334165
28,265,266,267,0,0.332080
29,268,267,266,0,0.334582
30,267,267,267,0,0.333333
31,266,266,267,0,0.332916
32,267,267,267,0,0.333333
33,266,266,266,0,0.333333
34,267,268,267,0,0.332918
35,267,266,266,0,0.334168
36,267,267,267,0,0.333333
37,265,266,267,0,0.332080
38,268,267,265,0,0.335000
39,267,267,268,0,0.332918
40,266,266,267,0,0.332916
41,267,267,267,0,0.333333
42,266,266,266,0,0.333333
43,267,268,267,0,0.332918
44,266,266,266,0,0.333333
45,268,267,267,0,0.334165
46,265,266,267,0,0.332080
47,268,267,265,0,0.335000
48,267,267,268,0,0.332918
49,266,266,267,0,0.332916
50,267,267,266,0,0.333750
51,266,266,267,0,0.332916
52,267,268,267,0,0.332918
53,266,266,266,0,0.333333
54,268,267,267,0,0.334165
55,265,266,267,0,0.332080
56,268,267,265,0,0.335000
57,267,267,268,0,0.332918
58,266,266,267,0,0.332916
59,267,267,267,0,0.333333
60,266,266,266,0,0.333333
61,267,268,267,0,0.332918
62,266,266,266,0,0.333333
63,268,267,267,0,0.334165
64,265,266,267,0,0.332080
65,268,267,266,0,0.334582
66,267,267,267,0,0.333333
67,266,266,267,0,0.332916
68,267,267,267,0,0.333333
69,266,266,266,0,0.333333
70,267,268,267,0,0.332918
71,267,266,266,0,0.334168
72,267,267,267,0,0.333333
73,265,266,267,0,0.332080
74,267,267,265,0,0.334168
75,268,267,268,0,0.333748
76,266,266,267,0,0.332916
77,266,267,267,0,0.332500
78,267,267,266,0,0.333750
79,267,267,267,0,0.333333
80,267,266,266,0,0.334168
81,267,267,267,0,0.333333
82,265,266,267,0,0.332080
83,268,267,266,0,0.334582
84,267,267,267,0,0.333333
85,266,266,267,0,0.332916
86,267,267,267,0,0.333333
87,266,266,266,0,0.333333
88,267,268,267,0,0.332918
89,267,266,266,0,0.334168
90,266,267,267,0,0.332500
91,266,266,267,0,0.332916
92,268,267,265,0,0.335000
93,267,267,268,0,0.332918
94,266,266,267,0,0.332916
95,267,267,267,0,0.333333
96,266,267,266,0,0.332916
97,267,267,267,0,0.333333
98,266,266,266,0,0.333333
99,268,267,267,0,0.334165
100,265,266,267,0,0.332080
101,268,267,266,0,0.334582
102,267,267,267,0,0.333333
103,266,266,267,0,0.332916
104,266,267,267,0,0.332500
105,267,267,266,0,0.333750
106,267,267,267,0,0.333333
107,267,266,266,0,0.334168
108,267,267,267,0,0.333333
