t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,387,238,172,0,0.485571
1,394,236,170,0,0.492500
2,398,232,172,0,0.496259
3,393,236,169,0,0.492481
4,394,242,164,0,0.492500
5,395,232,172,0,0.494368
6,413,228,163,0,0.513682
7,393,232,173,0,0.492481
8,404,225,172,0,0.504370
9,404,229,164,0,0.506901
10,398,223,180,0,0.496879
11,389,238,172,0,0.486859
12,398,232,169,0,0.498123
13,394,232,175,0,0.491885
14,398,229,172,0,0.498123
15,409,225,167,0,0.510612
16,400,232,169,0,0.499376
17,394,235,170,0,0.493116
18,398,229,172,0,0.498123
19,391,235,176,0,0.487531
20,405,227,167,0,0.506884
21,387,241,174,0,0.482544
22,393,240,170,0,0.489415
23,392,228,175,0,0.493082
24,401,233,167,0,0.500624
25,386,240,174,0,0.482500
26,392,239,171,0,0.488778
27,382,246,171,0,0.478098
28,397,238,166,0,0.495630
29,389,240,170,0,0.486859
30,399,230,170,0,0.499374
31,386,233,178,0,0.484316
32,389,236,181,0,0.482630
33,388,240,168,0,0.487437
34,383,241,176,0,0.478750
35,394,238,170,0,0.491272
36,404,229,170,0,0.503113
37,392,235,171,0,0.491228
38,400,232,165,0,0.501882
39,404,223,172,0,0.505632
40,398,229,174,0,0.496879
41,374,240,189,0,0.465753
42,404,226,168,0,0.506266
43,393,238,168,0,0.491865
44,389,231,182,0,0.485037
45,390,240,171,0,0.486891
46,394,232,173,0,0.493116
47,400,230,166,0,0.502513
48,390,232,179,0,0.486891
49,402,231,170,0,0.500623
50,399,234,169,0,0.497506
51,389,238,171,0,0.487469
52,389,241,168,0,0.487469
53,383,244,175,0,0.477556
54,399,229,172,0,0.498750
55,371,250,174,0,0.466667
56,386,248,169,0,0.480697
57,389,239,174,0,0.485037
58,409,222,170,0,0.510612
59,393,239,170,0,0.490025
60,390,234,170,0,0.491184
61,379,245,180,0,0.471393
62,395,238,167,0,0.493750
63,401,228,169,0,0.502506
64,407,228,167,0,0.507481
65,391,230,176,0,0.490590
66,398,235,167,0,0.497500
67,417,226,161,0,0.518657
68,382,239,176,0,0.479297
69,412,222,169,0,0.513076
70,391,239,169,0,0.489362
71,374,239,185,0,0.468672
72,391,238,172,0,0.488140
73,389,242,170,0,0.485643
74,397,232,169,0,0.497494
75,389,238,173,0,0.486250
76,401,235,164,0,0.501250
77,393,229,177,0,0.491865
78,407,220,173,0,0.508750
79,394,241,168,0,0.490660
80,377,243,178,0,0.472431
81,389,243,166,0,0.487469
82,403,227,171,0,0.503121
83,390,237,177,0,0.485075
84,393,239,168,0,0.491250
85,375,239,183,0,0.470514
86,391,238,173,0,0.487531
87,403,224,171,0,0.505013
88,404,238,163,0,0.501863
89,394,230,170,0,0.496222
90,387,240,174,0,0.483146
91,383,241,177,0,0.478152
92,393,234,174,0,0.490637
93,397,233,167,0,0.498118
94,398,235,168,0,0.496879
95,391,236,174,0,0.488140
96,390,241,170,0,0.486891
97,389,241,171,0,0.485643
98,400,228,169,0,0.501882
99,396,233,169,0,0.496241
100,399,232,168,0,0.499374
101,389,239,176,0,0.483831
102,381,240,180,0,0.475655
103,408,223,166,0,0.511920
104,396,235,171,0,0.493766
105,400,231,170,0,0.499376
106,396,224,179,0,0.495620
107,397,238,164,0,0.496871
108,388,237,177,0,0.483791
109,390,235,173,0,0.488722
110,384,237,180,0,0.479401
111,390,233,180,0,0.485679
112,391,230,177,0,0.489975
113,387,238,172,0,0.485571
114,403,231,168,0,0.502494
115,414,221,165,0,0.517500
116,402,231,165,0,0.503759
117,399,235,169,0,0.496887
118,399,230,168,0,0.500627
119,388,241,173,0,0.483791
120,402,230,169,0,0.501873
121,379,239,180,0,0.474937
122,392,241,168,0,0.489388
123,385,241,173,0,0.481852
124,380,244,176,0,0.475000
125,398,233,172,0,0.495641
126,389,235,173,0,0.488080
127,391,240,170,0,0.488140
128,408,229,162,0,0.510638
129,395,232,176,0,0.491905
130,389,236,172,0,0.488080
131,375,244,184,0,0.466999
132,416,227,156,0,0.520651
133,392,237,167,0,0.492462
134,384,240,178,0,0.478803
135,403,231,165,0,0.504380
136,380,237,185,0,0.473815
137,385,235,178,0,0.482456
138,394,239,167,0,0.492500
139,405,229,167,0,0.505618
140,388,244,168,0,0.485000
141,379,235,186,0,0.473750
142,406,231,164,0,0.506866
143,375,245,180,0,0.468750
144,381,245,174,0,0.476250
145,394,235,168,0,0.494354
146,384,236,182,0,0.478803
147,386,245,169,0,0.482500
148,391,238,169,0,0.489975
149,393,243,165,0,0.490637
150,393,241,167,0,0.490637
151,379,246,176,0,0.473159
152,392,234,174,0,0.490000
153,392,230,177,0,0.490613
154,398,237,166,0,0.496879
155,398,231,171,0,0.497500
156,403,230,162,0,0.506918
157,383,242,180,0,0.475776
158,393,238,166,0,0.493099
159,407,231,165,0,0.506849
160,386,233,178,0,0.484316
161,380,239,185,0,0.472637
162,396,232,168,0,0.497487
163,408,232,162,0,0.508728
164,408,228,165,0,0.509363
165,389,233,177,0,0.486859
166,395,238,169,0,0.492519
167,418,223,159,0,0.522500
168,393,234,171,0,0.492481
169,406,231,161,0,0.508772
170,395,236,173,0,0.491294
171,389,235,174,0,0.487469
172,382,237,182,0,0.476904
173,394,239,166,0,0.493116
174,391,242,163,0,0.491206
175,399,238,166,0,0.496887
176,384,236,180,0,0.480000
177,388,234,177,0,0.485607
178,393,240,173,0,0.487593
179,391,242,166,0,0.489362
180,406,224,165,0,0.510692
181,358,255,190,0,0.445828
182,389,238,173,0,0.486250
183,387,238,172,0,0.485571
184,390,241,171,0,0.486284
185,386,241,173,0,0.482500
186,386,243,175,0,0.480100
187,400,232,164,0,0.502513
188,398,230,173,0,0.496879
189,400,237,161,0,0.501253
190,397,234,166,0,0.498118
191,386,232,186,0,0.480100
192,414,225,159,0,0.518797
193,391,243,163,0,0.490590
194,395,234,174,0,0.491905
195,382,241,179,0,0.476309
196,397,235,166,0,0.497494
197,388,235,181,0,0.482587
198,387,241,169,0,0.485571
199,391,237,172,0,0.488750
200,396,237,167,0,0.495000
201,379,241,178,0,0.474937
202,409,224,173,0,0.507444
203,416,224,158,0,0.521303
204,408,226,166,0,0.510000
205,401,236,162,0,0.501877
206,389,236,175,0,0.486250
207,390,237,172,0,0.488110
208,396,234,170,0,0.495000
209,405,230,166,0,0.505618
210,395,230,173,0,0.494987
211,389,233,179,0,0.485643
212,385,243,175,0,0.479452
213,392,231,175,0,0.491228
214,379,243,178,0,0.473750
215,403,231,167,0,0.503121
216,389,234,173,0,0.488693
217,393,231,176,0,0.491250
218,394,238,170,0,0.491272
219,402,231,168,0,0.501873
220,375,248,176,0,0.469337
221,379,248,173,0,0.473750
222,399,235,167,0,0.498127
223,404,232,166,0,0.503741
224,391,234,173,0,0.489975
225,392,234,173,0,0.490613
226,399,241,162,0,0.497506
227,399,230,168,0,0.500627
228,384,241,172,0,0.481807
229,391,237,178,0,0.485112
230,379,248,172,0,0.474343
231,379,243,179,0,0.473159
232,401,226,173,0,0.501250
233,404,220,177,0,0.504370
234,387,241,170,0,0.484962
235,395,232,174,0,0.493134
236,412,224,164,0,0.515000
237,394,226,179,0,0.493116
238,385,244,174,0,0.479452
239,399,236,161,0,0.501256
240,387,235,178,0,0.483750
241,389,235,177,0,0.485643
242,386,246,165,0,0.484316
243,395,234,174,0,0.491905
244,377,245,177,0,0.471840
245,394,236,174,0,0.490050
246,386,234,174,0,0.486146
247,384,242,178,0,0.477612
248,407,228,168,0,0.506849
249,411,222,165,0,0.515038
250,386,242,172,0,0.482500
251,403,227,168,0,0.505013
252,397,231,170,0,0.497494
253,395,232,171,0,0.494987
254,393,236,175,0,0.488806
255,385,242,174,0,0.480649
256,393,227,180,0,0.491250
257,394,227,175,0,0.494975
258,393,237,174,0,0.488806
259,396,237,166,0,0.495620
260,379,245,175,0,0.474343
261,398,231,173,0,0.496259
262,406,224,171,0,0.506866
263,405,223,167,0,0.509434
264,398,236,169,0,0.495641
265,387,241,174,0,0.482544
266,392,232,173,0,0.491844
267,396,226,177,0,0.495620
268,396,240,170,0,0.491315
269,409,221,163,0,0.515763
270,403,231,165,0,0.504380
271,385,235,183,0,0.479452
272,410,232,159,0,0.511860
273,395,236,170,0,0.493134
274,391,234,172,0,0.490590
275,385,241,177,0,0.479452
276,407,232,162,0,0.508115
277,403,233,164,0,0.503750
278,379,242,178,0,0.474343
279,394,232,169,0,0.495597
280,410,229,164,0,0.510585
281,392,235,174,0,0.489388
282,403,227,170,0,0.503750
283,396,230,174,0,0.495000
284,371,242,186,0,0.464330
285,399,232,172,0,0.496887
286,389,236,172,0,0.488080
287,389,242,169,0,0.486250
288,403,230,170,0,0.501868
