t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,398,234,169,0,0.496879
1,405,225,165,0,0.509434
2,400,236,167,0,0.498132
3,391,239,170,0,0.488750
4,368,245,186,0,0.460576
5,387,237,176,0,0.483750
6,404,226,172,0,0.503741
7,394,238,167,0,0.493116
8,394,230,173,0,0.494354
9,389,237,174,0,0.486250
10,406,229,167,0,0.506234
11,398,236,168,0,0.496259
12,391,239,171,0,0.488140
13,398,226,173,0,0.499373
14,388,238,176,0,0.483791
15,399,231,170,0,0.498750
16,400,234,167,0,0.499376
17,392,237,168,0,0.491844
18,386,238,175,0,0.483104
19,400,226,175,0,0.499376
20,392,234,177,0,0.488169
21,406,222,168,0,0.510050
22,411,227,164,0,0.512469
23,398,223,177,0,0.498747
24,392,235,173,0,0.490000
25,378,247,177,0,0.471322
26,389,235,178,0,0.485037
27,380,237,180,0,0.476788
28,394,225,179,0,0.493734
29,392,240,170,0,0.488778
30,413,228,162,0,0.514321
31,394,229,173,0,0.494975
32,390,232,181,0,0.485679
33,379,243,173,0,0.476730
34,406,223,176,0,0.504348
35,404,227,169,0,0.505000
36,387,238,173,0,0.484962
37,412,227,158,0,0.516939
38,368,247,183,0,0.461153
39,390,243,173,0,0.483871
40,401,230,168,0,0.501877
41,391,235,174,0,0.488750
42,399,233,168,0,0.498750
43,394,238,168,0,0.492500
44,394,233,172,0,0.493116
45,384,241,178,0,0.478207
46,397,233,166,0,0.498744
47,409,230,161,0,0.511250
48,401,230,170,0,0.500624
49,393,234,173,0,0.491250
50,394,232,175,0,0.491885
51,417,219,165,0,0.520599
52,399,231,167,0,0.500627
53,387,241,175,0,0.481943
54,398,236,168,0,0.496259
55,398,232,170,0,0.497500
56,401,232,166,0,0.501877
57,396,236,167,0,0.495620
58,402,231,167,0,0.502500
59,402,227,168,0,0.504391
60,405,225,173,0,0.504359
61,400,232,165,0,0.501882
62,392,235,174,0,0.489388
63,400,231,168,0,0.500626
64,384,244,171,0,0.480601
65,396,231,176,0,0.493151
66,390,237,171,0,0.488722
67,391,238,171,0,0.488750
68,393,233,176,0,0.490025
69,405,230,167,0,0.504988
70,398,225,178,0,0.496879
71,410,222,168,0,0.512500
72,391,242,166,0,0.489362
73,408,230,159,0,0.511920
74,396,236,170,0,0.493766
75,397,235,168,0,0.496250
76,394,228,175,0,0.494354
77,391,238,174,0,0.486924
78,390,230,178,0,0.488722
79,399,231,172,0,0.497506
80,380,250,171,0,0.474407
81,367,248,183,0,0.459900
82,403,232,165,0,0.503750
83,383,240,174,0,0.480552
84,402,232,169,0,0.500623
85,391,238,170,0,0.489362
86,374,253,175,0,0.466334
87,397,233,169,0,0.496871
88,397,235,170,0,0.495012
89,405,228,165,0,0.507519
90,387,237,176,0,0.483750
91,395,239,164,0,0.494987
92,403,235,164,0,0.502494
93,385,238,178,0,0.480649
94,393,233,172,0,0.492481
95,371,251,177,0,0.464330
96,408,229,166,0,0.508095
97,406,222,175,0,0.505604
98,396,226,174,0,0.497487
99,391,238,171,0,0.488750
100,397,238,164,0,0.496871
101,386,233,184,0,0.480697
