ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786259040.541,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259040.541,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259040.541,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259040.541,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259040.541,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259040.541,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259040.541,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786259040.541,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786259040.541,S3,search,0,prior,0.0,,,,4.019,,4.019
1786259041.542,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259041.542,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259041.542,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259041.542,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259041.542,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259041.542,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259041.542,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786259041.542,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786259041.542,S3,search,0,prior,0.0,,,,4.019,,4.019
1786259042.541,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259042.541,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259042.541,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259042.541,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259042.541,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259042.541,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259042.541,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786259042.541,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786259042.541,S3,search,0,prior,0.0,,,,4.019,,4.019
1786259043.542,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259043.542,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259043.542,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259043.542,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259043.542,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259043.542,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259043.542,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786259043.542,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786259043.542,S3,search,0,prior,0.0,,,,4.019,,4.019
1786259044.543,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259044.543,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259044.543,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259044.543,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259044.543,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259044.543,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259044.543,S3,recommend,92,prior,0.1456,0.725,1.279,53.0,1.0,,1.0
1786259044.543,S3,reserve,46,prior,0.1469,34.8298,175.537,54.2,1.348,,1.348
1786259044.543,S3,search,72,prior,0.1456,3.774,5.327,55.6,4.019,,4.019
1786259045.547,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259045.547,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259045.547,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259045.547,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259045.547,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259045.547,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259045.547,S3,recommend,462,prior_fill,0.6462,0.7087,1.373,51.9,1.0,,1.0
1786259045.547,S3,reserve,229,prior_fill,0.6475,7.8222,2.747,53.0,1.348,,1.348
1786259045.547,S3,search,348,prior_fill,0.6462,3.6139,5.227,54.4,4.019,,4.019
1786259046.547,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259046.547,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259046.547,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259046.547,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259046.547,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259046.547,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259046.547,S3,recommend,701,obs,0.9712,0.6801,1.227,50.6,1.0,1.227,1.227
1786259046.547,S3,reserve,351,obs,0.9736,1.0259,1.468,51.9,1.348,1.468,1.468
1786259046.547,S3,search,530,obs,0.9731,3.464,4.711,53.1,4.019,4.711,4.711
1786259047.547,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259047.547,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259047.547,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259047.547,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259047.547,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259047.547,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259047.547,S3,recommend,691,obs,0.975,0.6777,1.164,49.3,1.0,1.164,1.164
1786259047.547,S3,reserve,350,obs,0.9732,1.0464,1.429,50.5,1.348,1.429,1.429
1786259047.547,S3,search,520,obs,0.9719,3.4187,4.235,54.3,4.019,4.235,4.235
1786259048.547,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259048.547,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259048.547,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259048.547,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259048.547,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259048.547,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259048.547,S3,recommend,695,obs,0.9749,0.7075,1.312,48.1,1.0,1.312,1.312
