ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786259560.221,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259560.221,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259560.221,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259560.221,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259560.221,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259560.221,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259560.221,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786259560.221,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786259560.221,S3,search,0,prior,0.0,,,,4.019,,4.019
1786259561.222,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259561.222,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259561.222,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259561.222,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259561.222,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259561.222,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259561.222,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786259561.222,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786259561.222,S3,search,0,prior,0.0,,,,4.019,,4.019
1786259562.222,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259562.222,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259562.222,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259562.222,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259562.222,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259562.222,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259562.222,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786259562.222,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786259562.222,S3,search,0,prior,0.0,,,,4.019,,4.019
1786259563.222,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259563.222,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259563.222,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259563.222,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786259563.222,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786259563.222,S2,search,0,prior,0.0,,,,4.287,,4.287
1786259563.222,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786259563.222,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786259563.222,S3,search,0,prior,0.0,,,,4.019,,4.019
1786259564.224,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259564.224,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259564.224,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259564.224,S2,recommend,60,prior,0.1276,1.194,2.097,95.4,0.975,,0.975
1786259564.224,S2,reserve,21,prior,0.1263,8.4321,49.911,100.3,1.332,,1.332
1786259564.224,S2,search,48,prior,0.1294,5.4053,8.911,94.3,4.287,,4.287
1786259564.224,S3,recommend,34,prior,0.1231,0.601,0.884,102.9,1.0,,1.0
1786259564.224,S3,reserve,22,prior,0.1261,26.0459,103.368,101.8,1.348,,1.348
1786259564.224,S3,search,24,prior,0.1184,3.3288,5.449,115.3,4.019,,4.019
1786259565.228,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259565.228,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259565.228,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259565.228,S2,recommend,264,prior_fill,0.6301,1.0956,2.177,90.6,0.975,,0.975
1786259565.228,S2,reserve,137,prior_fill,0.6242,2.3202,3.701,104.6,1.332,,1.332
1786259565.228,S2,search,204,prior_fill,0.6301,4.7302,7.049,93.1,4.287,,4.287
1786259565.228,S3,recommend,185,prior_fill,0.6219,0.5339,0.819,105.5,1.0,,1.0
1786259565.228,S3,reserve,86,prior,0.6286,7.3118,87.704,97.1,1.348,,1.348
1786259565.228,S3,search,136,prior_fill,0.6201,3.1509,3.986,112.1,4.019,,4.019
1786259566.227,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259566.227,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259566.227,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259566.227,S2,recommend,393,obs,0.9555,1.0263,2.076,86.4,0.975,2.076,2.076
1786259566.227,S2,reserve,210,obs,0.9533,1.1551,2.285,89.8,1.332,2.285,2.285
1786259566.227,S2,search,293,obs,0.9487,4.5303,6.61,96.3,4.287,6.61,6.61
1786259566.227,S3,recommend,284,obs,0.9457,0.5204,0.758,107.3,1.0,0.758,0.758
1786259566.227,S3,reserve,130,obs,0.9307,0.8526,0.964,127.3,1.348,0.964,0.964
1786259566.227,S3,search,217,obs,0.9475,3.1136,3.812,104.8,4.019,3.812,3.812
1786259567.228,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259567.228,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259567.228,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259567.228,S2,recommend,381,obs,0.9545,1.1164,2.512,88.1,0.975,2.512,2.512
1786259567.228,S2,reserve,205,obs,0.9563,1.1194,2.285,85.6,1.332,2.285,2.285
1786259567.228,S2,search,307,obs,0.9488,4.6808,7.816,90.5,4.287,7.816,7.816
1786259567.228,S3,recommend,296,obs,0.9475,0.5053,0.756,99.6,1.0,0.756,0.756
1786259567.228,S3,reserve,141,obs,0.9458,0.8543,0.92,108.1,1.348,0.92,0.92
1786259567.228,S3,search,200,obs,0.9445,3.1595,3.942,100.6,4.019,3.942,3.942
1786259568.227,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786259568.227,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786259568.227,S1,search,0,prior,0.0,,,,6.899,,6.899
1786259568.227,S2,recommend,381,obs,0.9538,1.072,2.288,84.6,0.975,2.288,2.288
1786259568.227,S2,reserve,208,obs,0.9495,1.1881,2.321,88.1,1.332,2.321,2.321
