ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786348882.673,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348882.673,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348882.673,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348882.673,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786348882.673,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786348882.673,S2,search,0,prior,0.0,,,,4.287,,4.287
1786348882.673,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786348882.673,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786348882.673,S3,search,0,prior,0.0,,,,4.019,,4.019
1786348883.674,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348883.674,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348883.674,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348883.674,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786348883.674,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786348883.674,S2,search,0,prior,0.0,,,,4.287,,4.287
1786348883.674,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786348883.674,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786348883.674,S3,search,0,prior,0.0,,,,4.019,,4.019
1786348884.674,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348884.674,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348884.674,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348884.674,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786348884.674,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786348884.674,S2,search,0,prior,0.0,,,,4.287,,4.287
1786348884.674,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786348884.674,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786348884.674,S3,search,0,prior,0.0,,,,4.019,,4.019
1786348885.674,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348885.674,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348885.674,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348885.674,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786348885.674,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786348885.674,S2,search,0,prior,0.0,,,,4.287,,4.287
1786348885.674,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786348885.674,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786348885.674,S3,search,0,prior,0.0,,,,4.019,,4.019
1786348886.676,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348886.676,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348886.676,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348886.676,S2,recommend,66,prior,0.1464,1.0856,2.328,72.3,0.975,,0.975
1786348886.676,S2,reserve,30,prior,0.142,10.3618,85.576,77.2,1.332,,1.332
1786348886.676,S2,search,42,prior,0.1464,4.5882,6.956,74.8,4.287,,4.287
1786348886.676,S3,recommend,41,prior,0.1389,0.6098,1.171,79.8,1.0,,1.0
1786348886.676,S3,reserve,21,prior,0.1433,6.6741,35.497,83.4,1.348,,1.348
1786348886.676,S3,search,37,prior,0.1352,3.1318,3.593,89.8,4.019,,4.019
1786348887.682,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348887.682,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348887.682,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348887.682,S2,recommend,271,prior_fill,0.6452,0.9583,2.077,75.1,0.975,,0.975
1786348887.682,S2,reserve,139,prior_fill,0.6438,3.2066,3.202,73.9,1.332,,1.332
1786348887.682,S2,search,192,prior_fill,0.6414,4.358,6.408,85.1,4.287,,4.287
1786348887.682,S3,recommend,189,prior_fill,0.6357,0.556,0.974,86.5,1.0,,1.0
1786348887.682,S3,reserve,89,prior,0.6293,2.2217,1.263,111.5,1.348,,1.348
1786348887.682,S3,search,153,prior_fill,0.6332,3.214,3.838,94.0,4.019,,4.019
1786348888.681,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348888.681,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348888.681,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348888.681,S2,recommend,404,obs,0.9631,0.9071,2.017,70.7,0.975,2.017,2.017
1786348888.681,S2,reserve,213,obs,0.9562,1.1972,2.323,75.8,1.332,2.323,2.323
1786348888.681,S2,search,286,obs,0.96,4.2878,6.403,79.4,4.287,6.403,6.403
1786348888.681,S3,recommend,283,obs,0.9587,0.5477,0.924,80.8,1.0,0.924,0.924
1786348888.681,S3,reserve,127,obs,0.9518,0.8388,0.998,90.8,1.348,0.998,0.998
1786348888.681,S3,search,229,obs,0.9543,3.1863,3.863,83.3,4.019,3.863,3.863
1786348889.682,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348889.682,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348889.682,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348889.682,S2,recommend,404,obs,0.9625,1.104,2.099,67.7,0.975,2.099,2.099
1786348889.682,S2,reserve,231,obs,0.9638,1.2876,2.395,71.5,1.332,2.395,2.395
1786348889.682,S2,search,271,obs,0.9607,4.673,7.346,75.1,4.287,7.346,7.346
1786348889.682,S3,recommend,276,obs,0.9587,0.5415,0.858,76.5,1.0,0.858,0.858
1786348889.682,S3,reserve,115,obs,0.9562,0.8455,1.051,77.7,1.348,1.051,1.051
1786348889.682,S3,search,245,obs,0.9581,3.1175,3.863,79.0,4.019,3.863,3.863
1786348890.682,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348890.682,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348890.682,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348890.682,S2,recommend,389,obs,0.9638,1.2046,2.416,69.0,0.975,2.416,2.416
1786348890.682,S2,reserve,228,obs,0.9631,1.3593,2.743,66.5,1.332,2.743,2.743
1786348890.682,S2,search,280,obs,0.9606,4.8233,8.059,77.6,4.287,8.059,8.059
1786348890.682,S3,recommend,297,obs,0.9574,0.5296,0.832,82.7,1.0,0.832,0.832
1786348890.682,S3,reserve,118,obs,0.9525,0.8326,1.24,89.0,1.348,1.24,1.24
1786348890.682,S3,search,231,obs,0.9563,3.1119,3.766,79.0,4.019,3.766,3.766
1786348891.682,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348891.682,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348891.682,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348891.682,S2,recommend,384,obs,0.9637,1.0478,2.312,70.1,0.975,2.312,2.312
1786348891.682,S2,reserve,223,obs,0.96,1.2592,2.424,67.6,1.332,2.424,2.424
1786348891.682,S2,search,300,obs,0.9631,4.4881,7.128,69.0,4.287,7.128,7.128
1786348891.682,S3,recommend,305,obs,0.9594,0.518,0.776,80.1,1.0,0.776,0.776
1786348891.682,S3,reserve,119,obs,0.9607,0.8155,1.022,75.2,1.348,1.022,1.022
1786348891.682,S3,search,214,obs,0.9525,3.1229,3.861,81.5,4.019,3.861,3.861
1786348892.682,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786348892.682,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786348892.682,S1,search,0,prior,0.0,,,,6.899,,6.899
1786348892.682,S2,recommend,388,obs,0.9657,1.0042,2.265,65.1,0.975,2.265,2.265
1786348892.682,S2,reserve,219,obs,0.9631,1.1769,2.358,71.5,1.332,2.358,2.358
