t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,470,329,0,0.000000
1,0,463,335,0,0.000000
2,0,468,332,0,0.000000
3,0,476,324,0,0.000000
4,0,470,332,0,0.000000
5,0,468,330,0,0.000000
6,0,466,336,0,0.000000
7,0,473,327,0,0.000000
8,0,469,330,0,0.000000
9,0,470,330,0,0.000000
10,0,468,330,0,0.000000
11,0,464,335,0,0.000000
12,0,469,334,0,0.000000
13,0,461,338,0,0.000000
14,0,470,331,0,0.000000
15,0,465,337,0,0.000000
16,0,471,326,0,0.000000
17,0,466,335,0,0.000000
18,0,469,332,0,0.000000
19,0,467,332,0,0.000000
20,0,468,331,0,0.000000
21,0,472,329,0,0.000000
22,0,466,332,0,0.000000
23,0,470,332,0,0.000000
24,0,468,330,0,0.000000
25,0,475,326,0,0.000000
26,0,466,335,0,0.000000
27,0,472,327,0,0.000000
28,0,459,339,0,0.000000
29,0,474,328,0,0.000000
30,0,469,333,0,0.000000
31,0,467,333,0,0.000000
32,0,466,333,0,0.000000
33,0,474,325,0,0.000000
34,0,465,336,0,0.000000
35,0,470,329,0,0.000000
36,0,468,332,0,0.000000
37,0,471,329,0,0.000000
38,0,469,332,0,0.000000
39,0,465,335,0,0.000000
40,0,466,332,0,0.000000
41,0,463,338,0,0.000000
42,0,462,338,0,0.000000
43,0,471,329,0,0.000000
44,0,470,329,0,0.000000
45,0,460,342,0,0.000000
46,0,462,337,0,0.000000
47,0,465,334,0,0.000000
48,0,469,333,0,0.000000
49,0,477,322,0,0.000000
50,0,471,330,0,0.000000
51,0,467,335,0,0.000000
52,0,465,333,0,0.000000
53,0,469,331,0,0.000000
54,0,469,331,0,0.000000
55,0,473,325,0,0.000000
56,0,473,329,0,0.000000
57,0,463,339,0,0.000000
58,0,472,325,0,0.000000
59,0,462,339,0,0.000000
60,0,473,328,0,0.000000
61,0,464,333,0,0.000000
62,0,467,335,0,0.000000
63,0,472,328,0,0.000000
64,0,461,337,0,0.000000
65,0,467,334,0,0.000000
66,0,458,341,0,0.000000
67,0,457,343,0,0.000000
68,0,472,332,0,0.000000
69,0,468,331,0,0.000000
70,0,473,327,0,0.000000
71,0,471,329,0,0.000000
72,0,473,327,0,0.000000
73,0,469,328,0,0.000000
74,0,473,330,0,0.000000
75,0,461,338,0,0.000000
76,0,475,326,0,0.000000
77,0,466,333,0,0.000000
78,0,474,326,0,0.000000
79,0,466,332,0,0.000000
80,0,470,333,0,0.000000
81,0,458,340,0,0.000000
82,0,463,338,0,0.000000
83,0,464,335,0,0.000000
84,0,475,327,0,0.000000
85,0,472,327,0,0.000000
86,0,468,333,0,0.000000
87,0,466,333,0,0.000000
88,0,463,336,0,0.000000
89,0,469,332,0,0.000000
90,0,471,329,0,0.000000
91,0,473,326,0,0.000000
92,0,466,334,0,0.000000
93,0,470,332,0,0.000000
94,0,467,332,0,0.000000
95,0,471,330,0,0.000000
96,0,471,327,0,0.000000
97,0,473,327,0,0.000000
98,0,471,329,0,0.000000
99,0,472,329,0,0.000000
100,0,469,331,0,0.000000
101,0,472,328,0,0.000000
102,0,464,334,0,0.000000
103,0,461,342,0,0.000000
104,0,465,335,0,0.000000
105,0,467,333,0,0.000000
106,0,466,332,0,0.000000
107,0,475,327,0,0.000000
108,0,463,335,0,0.000000
109,0,469,331,0,0.000000
110,0,467,335,0,0.000000
111,0,466,331,0,0.000000
112,0,462,340,0,0.000000
113,0,474,328,0,0.000000
114,0,472,326,0,0.000000
115,0,470,330,0,0.000000
116,0,472,328,0,0.000000
117,0,474,326,0,0.000000
118,0,472,326,0,0.000000
119,0,477,324,0,0.000000
120,0,463,334,0,0.000000
121,81,430,293,0,0.100746
122,133,389,276,0,0.166667
123,132,390,278,0,0.165000
124,133,387,281,0,0.166042
125,135,390,274,0,0.168961
126,134,393,274,0,0.167291
127,133,389,279,0,0.166042
128,132,393,273,0,0.165414
129,134,390,276,0,0.167500
130,134,389,278,0,0.167291
131,133,387,280,0,0.166250
132,132,388,279,0,0.165207
133,134,396,270,0,0.167500
134,134,389,278,0,0.167291
135,134,391,275,0,0.167500
136,133,390,276,0,0.166458
137,132,395,272,0,0.165207
138,134,386,279,0,0.167710
139,134,382,286,0,0.167082
140,133,400,269,0,0.165835
141,132,389,276,0,0.165621
142,133,385,282,0,0.166250
143,135,392,272,0,0.168961
144,134,389,279,0,0.167082
145,133,396,271,0,0.166250
146,132,395,272,0,0.165207
147,134,396,272,0,0.167082
148,134,393,274,0,0.167291
149,133,386,279,0,0.166667
150,132,395,274,0,0.164794
151,134,389,274,0,0.168130
152,134,391,278,0,0.166874
153,134,394,272,0,0.167500
154,133,391,276,0,0.166250
155,132,393,273,0,0.165414
156,134,387,279,0,0.167500
157,134,397,271,0,0.167082
158,133,392,274,0,0.166458
159,132,397,271,0,0.165000
160,134,388,277,0,0.167710
161,134,401,268,0,0.166874
162,134,389,276,0,0.167710
163,133,393,274,0,0.166250
164,132,389,278,0,0.165207
165,134,387,278,0,0.167710
166,134,392,277,0,0.166874
167,133,389,277,0,0.166458
168,132,391,275,0,0.165414
169,134,391,277,0,0.167082
170,134,386,279,0,0.167710
171,134,393,274,0,0.167291
172,133,390,276,0,0.166458
173,132,390,279,0,0.164794
174,134,392,271,0,0.168130
175,134,396,273,0,0.166874
176,133,393,272,0,0.166667
177,132,394,276,0,0.164589
178,134,390,276,0,0.167500
179,134,392,273,0,0.167710
180,134,392,275,0,0.167291
181,204,340,243,0,0.259212
182,258,292,215,0,0.337255
183,267,315,229,0,0.329223
184,272,315,222,0,0.336218
185,265,319,219,0,0.330012
186,271,314,223,0,0.335396
187,265,314,213,0,0.334596
188,267,315,222,0,0.332090
189,265,306,223,0,0.333753
190,269,319,222,0,0.332099
191,268,311,223,0,0.334165
192,262,305,213,0,0.335897
193,269,317,229,0,0.330061
194,263,313,216,0,0.332071
195,270,315,226,0,0.332922
196,266,311,217,0,0.335013
197,267,310,220,0,0.335006
198,267,310,223,0,0.333750
199,267,311,228,0,0.331266
200,271,315,225,0,0.334155
201,263,305,220,0,0.333756
202,261,305,224,0,0.330380
203,270,317,219,0,0.334988
204,271,313,229,0,0.333333
205,265,308,219,0,0.334596
206,268,304,227,0,0.335419
207,262,301,229,0,0.330808
208,269,311,227,0,0.333333
209,268,310,229,0,0.332094
210,270,310,221,0,0.337079
211,264,304,228,0,0.331658
212,262,300,227,0,0.332066
213,268,316,226,0,0.330864
214,267,306,230,0,0.332503
215,270,305,224,0,0.337922
216,265,311,216,0,0.334596
217,268,319,223,0,0.330864
218,266,308,225,0,0.332916
219,265,311,217,0,0.334174
220,268,309,222,0,0.335419
221,265,305,233,0,0.330012
222,265,312,215,0,0.334596
223,267,307,227,0,0.333333
224,265,310,225,0,0.331250
225,268,311,224,0,0.333748
226,267,303,230,0,0.333750
227,270,309,230,0,0.333745
228,264,307,224,0,0.332075
229,271,313,219,0,0.337484
230,266,314,222,0,0.331671
231,266,317,219,0,0.331671
232,258,301,216,0,0.332903
233,265,311,220,0,0.332915
234,274,315,225,0,0.336609
235,268,315,221,0,0.333333
236,270,318,224,0,0.332512
237,263,302,226,0,0.332491
238,266,309,222,0,0.333752
239,267,314,225,0,0.331266
240,276,316,227,0,0.336996
241,108,408,284,0,0.135000
242,0,471,332,0,0.000000
243,0,466,332,0,0.000000
244,0,471,329,0,0.000000
245,0,465,334,0,0.000000
246,0,472,329,0,0.000000
247,0,463,335,0,0.000000
248,0,467,336,0,0.000000
249,0,475,325,0,0.000000
250,0,470,327,0,0.000000
251,0,464,338,0,0.000000
252,0,461,339,0,0.000000
253,0,472,327,0,0.000000
254,0,463,336,0,0.000000
255,0,466,335,0,0.000000
256,0,469,332,0,0.000000
257,0,464,336,0,0.000000
258,0,464,337,0,0.000000
259,0,467,330,0,0.000000
260,0,471,330,0,0.000000
261,0,464,338,0,0.000000
262,0,471,324,0,0.000000
263,0,470,333,0,0.000000
264,0,469,331,0,0.000000
265,0,479,323,0,0.000000
266,0,467,333,0,0.000000
267,0,466,332,0,0.000000
268,0,462,338,0,0.000000
269,0,469,332,0,0.000000
270,0,472,327,0,0.000000
271,0,466,334,0,0.000000
272,0,470,331,0,0.000000
273,0,465,332,0,0.000000
274,0,471,331,0,0.000000
275,0,475,328,0,0.000000
276,0,465,332,0,0.000000
277,0,477,326,0,0.000000
278,0,463,334,0,0.000000
279,0,465,334,0,0.000000
280,0,464,338,0,0.000000
281,0,468,330,0,0.000000
282,0,471,330,0,0.000000
283,0,468,334,0,0.000000
284,0,470,329,0,0.000000
285,0,465,336,0,0.000000
286,0,469,328,0,0.000000
287,0,471,331,0,0.000000
288,0,464,337,0,0.000000
289,0,463,336,0,0.000000
290,0,471,329,0,0.000000
291,0,473,327,0,0.000000
292,0,465,337,0,0.000000
293,0,463,336,0,0.000000
294,0,472,328,0,0.000000
295,0,469,332,0,0.000000
296,0,460,339,0,0.000000
297,0,462,338,0,0.000000
298,0,464,334,0,0.000000
299,0,463,337,0,0.000000
300,0,477,324,0,0.000000
301,0,475,325,0,0.000000
302,0,465,336,0,0.000000
303,0,466,333,0,0.000000
304,0,462,338,0,0.000000
305,0,465,334,0,0.000000
306,0,465,335,0,0.000000
307,0,467,332,0,0.000000
308,0,470,332,0,0.000000
309,0,470,330,0,0.000000
310,0,472,326,0,0.000000
311,0,466,337,0,0.000000
312,0,467,332,0,0.000000
313,0,472,327,0,0.000000
314,0,474,326,0,0.000000
315,0,468,331,0,0.000000
316,0,464,338,0,0.000000
317,0,469,330,0,0.000000
318,0,474,327,0,0.000000
319,0,471,330,0,0.000000
320,0,468,333,0,0.000000
321,0,467,331,0,0.000000
322,0,464,336,0,0.000000
323,0,468,330,0,0.000000
324,0,475,325,0,0.000000
325,0,472,331,0,0.000000
326,0,460,338,0,0.000000
327,0,467,332,0,0.000000
328,0,479,325,0,0.000000
329,0,467,331,0,0.000000
330,0,471,330,0,0.000000
331,0,465,332,0,0.000000
332,0,469,333,0,0.000000
333,0,465,333,0,0.000000
334,0,472,330,0,0.000000
335,0,468,332,0,0.000000
336,0,464,335,0,0.000000
337,0,465,336,0,0.000000
338,0,473,328,0,0.000000
339,0,473,328,0,0.000000
340,0,467,329,0,0.000000
341,0,471,331,0,0.000000
342,0,461,339,0,0.000000
343,0,468,330,0,0.000000
344,0,464,336,0,0.000000
345,0,465,336,0,0.000000
346,0,464,337,0,0.000000
347,0,479,322,0,0.000000
348,0,465,333,0,0.000000
349,0,468,333,0,0.000000
350,0,469,332,0,0.000000
351,0,465,332,0,0.000000
352,0,464,339,0,0.000000
353,0,470,328,0,0.000000
