ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786349922.989,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349922.989,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349922.989,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349922.989,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349922.989,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349922.989,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349922.989,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786349922.989,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786349922.989,S3,search,0,prior,0.0,,,,4.019,,4.019
1786349923.990,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349923.990,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349923.990,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349923.990,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349923.990,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349923.990,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349923.990,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786349923.990,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786349923.990,S3,search,0,prior,0.0,,,,4.019,,4.019
1786349924.989,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349924.989,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349924.989,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349924.989,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349924.989,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349924.989,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349924.989,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786349924.989,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786349924.989,S3,search,0,prior,0.0,,,,4.019,,4.019
1786349925.990,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349925.990,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349925.990,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349925.990,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349925.990,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349925.990,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349925.990,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786349925.990,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786349925.990,S3,search,0,prior,0.0,,,,4.019,,4.019
1786349926.992,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349926.992,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349926.992,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349926.992,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349926.992,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349926.992,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349926.992,S3,recommend,95,prior,0.1534,0.7272,1.325,56.4,1.0,,1.0
1786349926.992,S3,reserve,49,prior,0.1525,33.9531,183.169,56.2,1.348,,1.348
1786349926.992,S3,search,71,prior,0.1523,3.9554,5.656,60.8,4.019,,4.019
1786349927.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349927.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349927.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349927.998,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349927.998,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349927.998,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349927.998,S3,recommend,468,prior_fill,0.653,0.754,1.343,58.3,1.0,,1.0
1786349927.998,S3,reserve,232,prior_fill,0.6531,7.9254,3.104,55.8,1.348,,1.348
1786349927.998,S3,search,352,prior_fill,0.6516,3.9465,6.015,63.3,4.019,,4.019
1786349928.997,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349928.997,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349928.997,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349928.997,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349928.997,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349928.997,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349928.997,S3,recommend,708,obs,0.9722,0.6856,1.236,55.0,1.0,1.236,1.236
1786349928.997,S3,reserve,350,obs,0.9609,0.8527,1.498,65.8,1.348,1.498,1.498
1786349928.997,S3,search,533,obs,0.9708,3.5909,4.841,58.3,4.019,4.841,4.841
1786349929.997,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349929.997,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349929.997,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349929.997,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349929.997,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349929.997,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349929.997,S3,recommend,688,obs,0.9713,0.6582,1.185,54.8,1.0,1.185,1.185
1786349929.997,S3,reserve,348,obs,0.9683,0.7927,1.142,59.8,1.348,1.142,1.142
1786349929.997,S3,search,521,obs,0.9712,3.3759,4.48,57.4,4.019,4.48,4.48
1786349930.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349930.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349930.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349930.998,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349930.998,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349930.998,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349930.998,S3,recommend,691,obs,0.9712,0.6489,1.198,52.5,1.0,1.198,1.198
1786349930.998,S3,reserve,350,obs,0.9721,0.7833,1.206,55.8,1.348,1.206,1.206
1786349930.998,S3,search,517,obs,0.9713,3.3239,4.252,54.9,4.019,4.252,4.252
1786349931.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349931.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349931.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349931.998,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349931.998,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349931.998,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349931.998,S3,recommend,697,obs,0.9739,0.6422,1.242,50.0,1.0,1.242,1.242
1786349931.998,S3,reserve,346,obs,0.9721,0.7776,1.13,50.8,1.348,1.13,1.13
1786349931.998,S3,search,519,obs,0.9711,3.3294,4.264,55.8,4.019,4.264,4.264
1786349932.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349932.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349932.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349932.998,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349932.998,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349932.998,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349932.998,S3,recommend,698,obs,0.9759,0.6452,1.196,48.3,1.0,1.196,1.196
1786349932.998,S3,reserve,344,obs,0.9684,0.7743,0.982,53.2,1.348,0.982,0.982
1786349932.998,S3,search,520,obs,0.9733,3.3206,4.174,50.8,4.019,4.174,4.174
1786349933.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349933.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349933.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349933.998,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349933.998,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349933.998,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349933.998,S3,recommend,692,obs,0.9721,0.6414,1.146,50.8,1.0,1.146,1.146
1786349933.998,S3,reserve,348,obs,0.9758,0.7702,1.075,48.3,1.348,1.075,1.075
1786349933.998,S3,search,522,obs,0.9708,3.334,4.308,55.8,4.019,4.308,4.308
1786349934.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349934.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349934.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349934.998,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349934.998,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349934.998,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349934.998,S3,recommend,692,obs,0.9758,0.6355,1.166,45.8,1.0,1.166,1.166
1786349934.998,S3,reserve,350,obs,0.9683,0.785,1.109,58.3,1.348,1.109,1.109
1786349934.998,S3,search,520,obs,0.9742,3.3187,4.345,49.9,4.019,4.345,4.345
1786349935.998,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349935.998,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349935.998,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349935.998,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349935.998,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349935.998,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349935.998,S3,recommend,696,obs,0.9759,0.6444,1.22,48.3,1.0,1.22,1.22
1786349935.998,S3,reserve,350,obs,0.9758,0.7714,1.041,45.8,1.348,1.041,1.041
1786349935.998,S3,search,518,obs,0.9721,3.3283,4.355,50.8,4.019,4.355,4.355
1786349936.997,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349936.997,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349936.997,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349936.997,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349936.997,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349936.997,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349936.997,S3,recommend,700,obs,0.9771,0.6428,1.141,43.3,1.0,1.141,1.141
1786349936.997,S3,reserve,344,obs,0.9683,0.7763,1.082,55.8,1.348,1.082,1.082
1786349936.997,S3,search,522,obs,0.9759,3.3244,4.314,48.3,4.019,4.314,4.314
1786349937.997,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786349937.997,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786349937.997,S1,search,0,prior,0.0,,,,6.899,,6.899
1786349937.997,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786349937.997,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786349937.997,S2,search,0,prior,0.0,,,,4.287,,4.287
1786349937.997,S3,recommend,697,obs,0.9775,0.6657,1.185,42.5,1.0,1.185,1.185
1786349937.997,S3,reserve,344,obs,0.9683,0.8048,1.238,50.8,1.348,1.238,1.238
