ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786355690.331,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355690.331,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355690.331,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355690.331,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355690.331,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355690.331,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355690.331,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786355690.331,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786355690.331,S3,search,0,prior,0.0,,,,4.019,,4.019
1786355691.332,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355691.332,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355691.332,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355691.332,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355691.332,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355691.332,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355691.332,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786355691.332,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786355691.332,S3,search,0,prior,0.0,,,,4.019,,4.019
1786355692.332,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355692.332,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355692.332,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355692.332,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355692.332,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355692.332,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355692.332,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786355692.332,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786355692.332,S3,search,0,prior,0.0,,,,4.019,,4.019
1786355693.332,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355693.332,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355693.332,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355693.332,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355693.332,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355693.332,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355693.332,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786355693.332,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786355693.332,S3,search,0,prior,0.0,,,,4.019,,4.019
1786355694.335,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355694.335,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355694.335,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355694.335,S2,recommend,76,prior,0.1162,2.0316,4.925,119.4,0.975,,0.975
1786355694.335,S2,reserve,36,prior,0.117,27.6421,157.133,125.8,1.332,,1.332
1786355694.335,S2,search,58,prior,0.1154,9.8701,15.523,126.8,4.287,,4.287
1786355694.335,S3,recommend,67,prior,0.1145,0.7167,1.398,128.6,1.0,,1.0
1786355694.335,S3,reserve,35,prior,0.116,7.3254,61.549,126.9,1.348,,1.348
1786355694.335,S3,search,52,prior,0.1143,3.6487,5.239,130.1,4.019,,4.019
1786355695.345,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355695.345,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355695.345,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355695.345,S2,recommend,432,prior_fill,0.6166,2.4103,6.097,119.0,0.975,,0.975
1786355695.345,S2,reserve,198,prior_fill,0.6165,7.9012,11.543,127.2,1.332,,1.332
1786355695.345,S2,search,321,prior_fill,0.6138,10.0531,19.416,130.5,4.287,,4.287
1786355695.345,S3,recommend,340,prior_fill,0.6145,0.6433,1.138,129.0,1.0,,1.0
1786355695.345,S3,reserve,188,prior_fill,0.6166,2.147,1.82,126.1,1.348,,1.348
1786355695.345,S3,search,255,prior_fill,0.6138,3.3934,4.43,131.5,4.019,,4.019
1786355696.345,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355696.345,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355696.345,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355696.345,S2,recommend,671,obs,0.94,2.3204,5.568,117.3,0.975,5.568,5.568
1786355696.345,S2,reserve,314,obs,0.9306,3.5206,8.096,131.9,1.332,8.096,8.096
1786355696.345,S2,search,487,obs,0.928,9.5824,16.972,126.2,4.287,16.972,16.972
