ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786352530.076,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352530.076,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352530.076,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352530.076,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352530.076,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352530.076,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352530.076,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786352530.076,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786352530.076,S3,search,0,prior,0.0,,,,4.019,,4.019
1786352531.077,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352531.077,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352531.077,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352531.077,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352531.077,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352531.077,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352531.077,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786352531.077,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786352531.077,S3,search,0,prior,0.0,,,,4.019,,4.019
1786352532.077,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352532.077,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352532.077,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352532.077,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352532.077,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352532.077,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352532.077,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786352532.077,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786352532.077,S3,search,0,prior,0.0,,,,4.019,,4.019
1786352533.077,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352533.077,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352533.077,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352533.077,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352533.077,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352533.077,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352533.077,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786352533.077,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786352533.077,S3,search,0,prior,0.0,,,,4.019,,4.019
1786352534.080,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352534.080,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352534.080,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352534.080,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352534.080,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352534.080,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352534.080,S3,recommend,135,prior_fill,0.1305,1.1077,2.431,91.3,1.0,,1.0
1786352534.080,S3,reserve,64,prior,-0.0013,13.442,38.644,90.0,1.348,,1.348
1786352534.080,S3,search,100,prior_fill,0.1303,4.8174,7.709,92.9,4.019,,4.019
1786352535.092,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352535.092,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352535.092,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352535.092,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352535.092,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352535.092,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352535.092,S3,recommend,789,prior_fill,0.6332,1.5972,3.744,86.6,1.0,,1.0
1786352535.092,S3,reserve,396,prior_fill,0.6304,11.2928,6.333,90.6,1.348,,1.348
1786352535.092,S3,search,590,prior_fill,0.6303,6.819,12.807,93.5,4.019,,4.019
1786352536.092,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352536.092,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352536.092,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352536.092,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352536.092,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352536.092,S2,search,0,prior,0.0,,,,4.287,,4.287
