t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,676,587,0,0.000000
1,0,466,1077,0,0.000000
2,0,704,583,0,0.000000
3,0,446,1070,0,0.000000
4,0,663,580,0,0.000000
5,0,499,1049,0,0.000000
6,0,685,589,0,0.000000
7,0,524,1023,0,0.000000
8,0,704,564,0,0.000000
9,0,478,1048,0,0.000000
10,0,680,571,0,0.000000
11,0,517,1033,0,0.000000
12,0,685,569,0,0.000000
13,0,486,1054,0,0.000000
14,0,686,577,0,0.000000
15,0,475,1068,0,0.000000
16,0,685,572,0,0.000000
17,0,495,1048,0,0.000000
18,0,699,569,0,0.000000
19,0,484,1053,0,0.000000
20,0,677,566,0,0.000000
21,0,509,1038,0,0.000000
22,0,680,575,0,0.000000
23,0,508,1044,0,0.000000
24,0,679,568,0,0.000000
25,0,459,1067,0,0.000000
26,0,692,595,0,0.000000
27,0,492,1051,0,0.000000
28,0,674,565,0,0.000000
29,0,508,1054,0,0.000000
30,0,702,563,0,0.000000
31,0,460,924,0,0.000000
32,0,574,652,0,0.000000
33,0,400,961,0,0.000000
34,0,580,670,0,0.000000
35,0,407,939,0,0.000000
36,0,715,728,0,0.000000
37,0,476,1068,0,0.000000
38,0,689,771,0,0.000000
39,0,486,1096,0,0.000000
40,0,697,680,0,0.000000
41,0,508,1038,0,0.000000
42,0,666,579,0,0.000000
43,0,498,1061,0,0.000000
44,0,687,578,0,0.000000
45,0,463,1061,0,0.000000
46,0,703,590,0,0.000000
47,0,469,1055,0,0.000000
48,0,688,572,0,0.000000
49,0,489,1056,0,0.000000
50,0,670,568,0,0.000000
51,0,492,1055,0,0.000000
52,0,662,583,0,0.000000
53,0,495,1052,0,0.000000
54,0,691,590,0,0.000000
55,0,461,1082,0,0.000000
56,0,680,568,0,0.000000
57,0,501,1050,0,0.000000
58,0,695,568,0,0.000000
59,0,456,1066,0,0.000000
60,0,660,583,0,0.000000
61,0,494,1062,0,0.000000
62,0,672,580,0,0.000000
63,0,479,1058,0,0.000000
64,0,698,591,0,0.000000
65,0,455,1064,0,0.000000
66,0,685,583,0,0.000000
67,0,498,1054,0,0.000000
68,0,693,561,0,0.000000
69,0,474,1053,0,0.000000
70,0,657,582,0,0.000000
71,0,498,1080,0,0.000000
72,0,678,562,0,0.000000
73,0,517,1043,0,0.000000
74,0,679,565,0,0.000000
75,0,467,1067,0,0.000000
76,0,679,587,0,0.000000
77,0,506,1036,0,0.000000
78,0,670,578,0,0.000000
79,0,511,1052,0,0.000000
80,0,687,567,0,0.000000
81,0,494,1043,0,0.000000
82,0,666,576,0,0.000000
83,0,519,1044,0,0.000000
84,0,689,571,0,0.000000
85,0,494,1053,0,0.000000
86,0,673,564,0,0.000000
87,0,481,1069,0,0.000000
88,0,686,577,0,0.000000
89,0,461,1080,0,0.000000
90,0,680,572,0,0.000000
91,0,485,1067,0,0.000000
92,0,694,569,0,0.000000
93,0,487,1053,0,0.000000
94,0,689,567,0,0.000000
95,0,447,1080,0,0.000000
96,0,699,584,0,0.000000
