ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786355160.816,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355160.816,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355160.816,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355160.816,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355160.816,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355160.816,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355160.816,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786355160.816,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786355160.816,S3,search,0,prior,0.0,,,,4.019,,4.019
1786355161.817,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355161.817,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355161.817,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355161.817,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355161.817,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355161.817,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355161.817,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786355161.817,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786355161.817,S3,search,0,prior,0.0,,,,4.019,,4.019
1786355162.817,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355162.817,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355162.817,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355162.817,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355162.817,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355162.817,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355162.817,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786355162.817,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786355162.817,S3,search,0,prior,0.0,,,,4.019,,4.019
1786355163.817,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355163.817,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355163.817,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355163.817,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355163.817,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355163.817,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355163.817,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786355163.817,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786355163.817,S3,search,0,prior,0.0,,,,4.019,,4.019
1786355164.823,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355164.823,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355164.823,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355164.823,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355164.823,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355164.823,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355164.823,S3,recommend,138,prior_fill,0.1588,0.864,1.978,39.5,1.0,,1.0
1786355164.823,S3,reserve,58,prior,0.1589,7.5881,2.145,41.8,1.348,,1.348
1786355164.823,S3,search,97,prior,0.1581,4.4235,8.052,42.3,4.019,,4.019
1786355165.831,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355165.831,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355165.831,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355165.831,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355165.831,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355165.831,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355165.831,S3,recommend,808,prior_fill,0.6591,2.099,5.228,38.9,1.0,,1.0
1786355165.831,S3,reserve,399,prior_fill,0.6593,27.8173,373.196,41.0,1.348,,1.348
1786355165.831,S3,search,609,prior_fill,0.6574,8.9054,19.777,43.6,4.019,,4.019
1786355166.831,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355166.831,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355166.831,S1,search,0,prior,0.0,,,,6.899,,6.899
1786355166.831,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355166.831,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786355166.831,S2,search,0,prior,0.0,,,,4.287,,4.287
1786355166.831,S3,recommend,1283,obs,0.98,1.8954,4.761,38.9,1.0,4.761,4.761
1786355166.831,S3,reserve,655,obs,0.98,16.7294,7.401,39.5,1.348,7.401,7.401
1786355166.831,S3,search,976,obs,0.9779,8.102,17.233,40.4,4.019,17.233,17.233
1786355167.830,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355167.830,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355167.830,S1,search,213,prior_fill,0.4741,18.4206,44.85,31.8,6.899,,6.899
1786355167.830,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355167.830,S2,reserve,286,prior_fill,0.476,38.3299,421.578,28.9,1.332,,1.332
1786355167.830,S2,search,211,prior_fill,0.475,7.6469,15.109,29.5,4.287,,4.287
1786355167.830,S3,recommend,1203,obs,0.982,0.9349,2.414,36.0,1.0,2.414,2.414
1786355167.830,S3,reserve,320,prior_fill,0.5074,1.9548,3.555,984.6,1.348,7.401,1.348
1786355167.830,S3,search,488,prior_fill,0.5075,6.1676,10.572,983.1,4.019,17.233,4.019
1786355168.830,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355168.830,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355168.830,S1,search,227,prior_fill,0.4935,18.514,44.85,983.2,6.899,,6.899
1786355168.830,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355168.830,S2,reserve,300,prior_fill,0.4971,36.8013,414.136,986.6,1.332,,1.332
1786355168.830,S2,search,227,prior_fill,0.4971,8.0782,16.233,985.2,4.287,,4.287
1786355168.830,S3,recommend,1219,obs,0.9814,0.9182,2.581,36.0,1.0,2.581,2.581
1786355168.830,S3,reserve,313,obs,0.98,2.0234,4.109,39.5,1.348,4.109,4.109
1786355168.830,S3,search,462,obs,0.9789,6.1347,11.079,40.3,4.019,11.079,11.079
1786355169.830,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355169.830,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355169.830,S1,search,5,prior,0.0014,18.7694,25.762,1983.2,6.899,,6.899
1786355169.830,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355169.830,S2,reserve,6,prior,0.0064,4.9593,7.188,1986.6,1.332,,1.332
1786355169.830,S2,search,4,prior,0.0064,8.9778,11.385,1985.3,4.287,,4.287
1786355169.830,S3,recommend,1248,obs,0.9814,1.2945,2.841,36.0,1.0,2.841,2.841
1786355169.830,S3,reserve,617,obs,0.9683,1.8969,3.964,39.5,1.348,3.964,3.964
1786355169.830,S3,search,918,obs,0.97,5.7654,9.942,40.3,4.019,9.942,9.942
1786355170.831,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355170.831,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355170.831,S1,search,0,prior,0.0,,,2983.2,6.899,,6.899
1786355170.831,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355170.831,S2,reserve,0,prior,0.0,,,2986.6,1.332,,1.332
1786355170.831,S2,search,0,prior,0.0,,,2985.3,4.287,,4.287
1786355170.831,S3,recommend,1221,obs,0.9826,1.2352,2.653,33.8,1.0,2.653,2.653
1786355170.831,S3,reserve,615,obs,0.98,1.7445,3.347,39.5,1.348,3.347,3.347
1786355170.831,S3,search,915,obs,0.98,5.3845,8.384,38.0,4.019,8.384,8.384
1786355171.831,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355171.831,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355171.831,S1,search,0,prior,0.0,,,3983.2,6.899,,6.899
1786355171.831,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355171.831,S2,reserve,0,prior,0.0,,,3986.6,1.332,,1.332
1786355171.831,S2,search,0,prior,0.0,,,3985.3,4.287,,4.287
1786355171.831,S3,recommend,1225,obs,0.9826,1.2256,2.555,33.8,1.0,2.555,2.555
1786355171.831,S3,reserve,610,obs,0.9832,1.7044,3.119,33.1,1.348,3.119,3.119
1786355171.831,S3,search,917,obs,0.98,5.3666,8.504,38.0,4.019,8.504,8.504
1786355172.831,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355172.831,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355172.831,S1,search,0,prior,0.0,,,4983.2,6.899,,6.899
1786355172.831,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355172.831,S2,reserve,0,prior,0.0,,,4986.6,1.332,,1.332
1786355172.831,S2,search,0,prior,0.0,,,4985.3,4.287,,4.287
1786355172.831,S3,recommend,1227,obs,0.9836,1.2166,2.492,30.3,1.0,2.492,2.492
1786355172.831,S3,reserve,613,obs,0.9824,1.7309,3.192,34.5,1.348,3.192,3.192
1786355172.831,S3,search,916,obs,0.9818,5.3873,8.504,35.2,4.019,8.504,8.504
1786355173.830,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355173.830,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355173.830,S1,search,0,prior,0.0,,,5983.2,6.899,,6.899
1786355173.830,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355173.830,S2,reserve,0,prior,0.0,,,5986.7,1.332,,1.332
1786355173.830,S2,search,0,prior,0.0,,,5985.3,4.287,,4.287
1786355173.830,S3,recommend,1224,obs,0.9829,1.2492,2.675,31.6,1.0,2.675,2.675
1786355173.830,S3,reserve,613,obs,0.9843,1.8061,3.438,30.9,1.348,3.438,3.438
1786355173.830,S3,search,920,obs,0.9825,5.4447,8.488,33.2,4.019,8.488,8.488
1786355174.831,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355174.831,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355174.831,S1,search,0,prior,0.0,,,6983.2,6.899,,6.899
1786355174.831,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355174.831,S2,reserve,0,prior,0.0,,,6986.7,1.332,,1.332
1786355174.831,S2,search,0,prior,0.0,,,6985.3,4.287,,4.287
1786355174.831,S3,recommend,1227,obs,0.9846,1.2002,2.483,28.9,1.0,2.483,2.483
1786355174.831,S3,reserve,612,obs,0.9814,1.7645,3.447,32.3,1.348,3.447,3.447
1786355174.831,S3,search,917,obs,0.9819,5.363,8.367,35.1,4.019,8.367,8.367
1786355175.831,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786355175.831,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786355175.831,S1,search,0,prior,0.0,,,7983.2,6.899,,6.899
1786355175.831,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786355175.831,S2,reserve,0,prior,0.0,,,7986.7,1.332,,1.332
1786355175.831,S2,search,0,prior,0.0,,,7985.3,4.287,,4.287
1786355175.831,S3,recommend,1226,obs,0.9858,1.189,2.449,26.5,1.0,2.449,2.449
1786355175.831,S3,reserve,614,obs,0.9811,1.7257,3.23,32.3,1.348,3.23,3.23
