ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786352003.243,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352003.243,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352003.243,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352003.243,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352003.243,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352003.243,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352003.243,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786352003.243,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786352003.243,S3,search,0,prior,0.0,,,,4.019,,4.019
1786352004.244,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352004.244,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352004.244,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352004.244,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352004.244,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352004.244,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352004.244,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786352004.244,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786352004.244,S3,search,0,prior,0.0,,,,4.019,,4.019
1786352005.244,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352005.244,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352005.244,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352005.244,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352005.244,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352005.244,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352005.244,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786352005.244,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786352005.244,S3,search,0,prior,0.0,,,,4.019,,4.019
1786352006.244,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352006.244,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352006.244,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352006.244,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352006.244,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352006.244,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352006.244,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786352006.244,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786352006.244,S3,search,0,prior,0.0,,,,4.019,,4.019
1786352007.248,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352007.248,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352007.248,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352007.248,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352007.248,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352007.248,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352007.248,S3,recommend,193,prior_fill,0.1565,1.9173,5.301,36.0,1.0,,1.0
1786352007.248,S3,reserve,94,prior,0.1579,14.8354,149.34,35.2,1.348,,1.348
1786352007.248,S3,search,147,prior_fill,0.1552,7.0034,15.91,39.4,4.019,,4.019
1786352008.256,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352008.256,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352008.256,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352008.256,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352008.256,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352008.256,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352008.256,S3,recommend,820,prior_fill,0.6583,1.3603,3.311,32.3,1.0,,1.0
1786352008.256,S3,reserve,414,prior_fill,0.6601,4.5265,4.436,30.9,1.348,,1.348
1786352008.256,S3,search,618,prior_fill,0.658,5.3156,9.974,33.7,4.019,,4.019
1786352009.257,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352009.257,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352009.257,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352009.257,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352009.257,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352009.257,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352009.257,S3,recommend,1226,obs,0.9821,1.1698,2.276,32.3,1.0,2.276,2.276
1786352009.257,S3,reserve,615,obs,0.9842,1.4485,2.659,30.9,1.348,2.659,2.659
1786352009.257,S3,search,925,obs,0.9816,4.7218,7.509,33.8,4.019,7.509,7.509
1786352010.257,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352010.257,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352010.257,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352010.257,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786352010.257,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786352010.257,S2,search,0,prior,0.0,,,,4.287,,4.287
1786352010.257,S3,recommend,1228,obs,0.9844,1.1245,2.253,27.9,1.0,2.253,2.253
1786352010.257,S3,reserve,614,obs,0.9843,1.3652,2.358,30.9,1.348,2.358,2.358
1786352010.257,S3,search,918,obs,0.9821,4.5889,6.656,33.8,4.019,6.656,6.656
1786352011.256,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786352011.256,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786352011.256,S1,search,0,prior,0.0,,,,6.899,,6.899
1786352011.256,S2,recommend,0,prior,0.0,,,,0.975,,0.975
