t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,0,1405,0,0.000000
1,0,0,1398,0,0.000000
2,0,0,1400,0,0.000000
3,0,0,1400,0,0.000000
4,0,0,1400,0,0.000000
5,0,0,1400,0,0.000000
6,0,0,1400,0,0.000000
7,0,0,1398,0,0.000000
8,0,0,1403,0,0.000000
9,0,0,1401,0,0.000000
10,0,0,1400,0,0.000000
11,0,0,1400,0,0.000000
12,0,0,1400,0,0.000000
13,0,0,1400,0,0.000000
14,0,0,1400,0,0.000000
15,0,0,1398,0,0.000000
16,0,0,1400,0,0.000000
17,0,0,1401,0,0.000000
18,0,0,1399,0,0.000000
19,0,0,1400,0,0.000000
20,0,0,1398,0,0.000000
21,0,0,1401,0,0.000000
22,0,0,1393,0,0.000000
23,0,0,1408,0,0.000000
24,0,0,1400,0,0.000000
25,0,0,1400,0,0.000000
26,0,0,1400,0,0.000000
27,0,0,1400,0,0.000000
28,0,0,1400,0,0.000000
29,0,0,1400,0,0.000000
30,0,0,1399,0,0.000000
31,0,0,1395,0,0.000000
32,0,562,571,0,0.000000
33,0,432,936,0,0.000000
34,0,565,652,0,0.000000
35,0,398,967,0,0.000000
36,0,686,746,0,0.000000
37,0,487,1081,0,0.000000
38,0,689,730,0,0.000000
39,0,449,1100,0,0.000000
40,0,675,683,0,0.000000
41,0,462,1075,0,0.000000
42,0,704,615,0,0.000000
43,0,491,1047,0,0.000000
44,0,665,561,0,0.000000
45,0,481,1073,0,0.000000
46,0,695,582,0,0.000000
47,0,463,1052,0,0.000000
48,0,670,590,0,0.000000
49,0,486,1067,0,0.000000
50,0,702,579,0,0.000000
51,0,473,1060,0,0.000000
52,0,677,563,0,0.000000
53,0,510,1053,0,0.000000
54,0,714,561,0,0.000000
55,0,467,1054,0,0.000000
56,0,712,565,0,0.000000
57,0,470,1055,0,0.000000
58,0,706,561,0,0.000000
59,0,454,1071,0,0.000000
60,0,692,571,0,0.000000
61,0,440,1078,0,0.000000
62,0,683,591,0,0.000000
63,0,502,1041,0,0.000000
64,0,698,571,0,0.000000
65,0,470,1070,0,0.000000
66,0,681,562,0,0.000000
67,0,499,1059,0,0.000000
68,0,683,561,0,0.000000
69,0,509,1044,0,0.000000
70,0,694,565,0,0.000000
71,0,475,1063,0,0.000000
72,0,685,568,0,0.000000
73,0,490,1056,0,0.000000
74,0,707,569,0,0.000000
75,0,465,1059,0,0.000000
