t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,697,0,0,0,1.000000
1,706,0,0,0,1.000000
2,697,0,0,0,1.000000
3,702,0,0,0,1.000000
4,681,0,0,0,1.000000
5,717,0,0,0,1.000000
6,696,0,0,0,1.000000
7,701,0,0,0,1.000000
8,697,0,0,0,1.000000
9,710,0,0,0,1.000000
10,696,0,0,0,1.000000
11,702,0,0,0,1.000000
12,695,0,0,0,1.000000
13,707,0,0,0,1.000000
14,676,0,0,0,1.000000
15,724,0,0,0,1.000000
16,694,0,0,0,1.000000
17,706,0,0,0,1.000000
18,695,0,0,0,1.000000
19,701,0,0,0,1.000000
20,694,0,0,0,1.000000
21,711,0,0,0,1.000000
22,691,0,0,0,1.000000
23,708,0,0,0,1.000000
24,676,0,0,0,1.000000
25,725,0,0,0,1.000000
26,694,0,0,0,1.000000
27,696,0,0,0,1.000000
28,705,0,0,0,1.000000
29,697,0,0,0,1.000000
30,702,0,0,0,1.000000
31,697,0,0,0,1.000000
32,707,0,0,0,1.000000
33,699,0,0,0,1.000000
34,688,0,0,0,1.000000
35,703,0,0,0,1.000000
36,710,0,0,0,1.000000
37,698,0,0,0,1.000000
38,696,0,0,0,1.000000
39,699,0,0,0,1.000000
40,704,0,0,0,1.000000
41,700,0,0,0,1.000000
42,700,0,0,0,1.000000
43,706,0,0,0,1.000000
44,676,0,0,0,1.000000
45,714,0,0,0,1.000000
46,708,0,0,0,1.000000
47,702,0,0,0,1.000000
48,698,0,0,0,1.000000
49,695,0,0,0,1.000000
50,705,0,0,0,1.000000
51,695,0,0,0,1.000000
52,695,0,0,0,1.000000
53,704,0,0,0,1.000000
54,680,0,0,0,1.000000
55,722,0,0,0,1.000000
56,699,0,0,0,1.000000
57,701,0,0,0,1.000000
58,706,0,0,0,1.000000
59,693,0,0,0,1.000000
60,705,0,0,0,1.000000
61,694,0,0,0,1.000000
62,708,0,0,0,1.000000
63,694,0,0,0,1.000000
64,678,0,0,0,1.000000
65,724,0,0,0,1.000000
66,697,0,0,0,1.000000
67,702,0,0,0,1.000000
68,698,0,0,0,1.000000
69,703,0,0,0,1.000000
70,698,0,0,0,1.000000
71,701,0,0,0,1.000000
72,695,0,0,0,1.000000
73,708,0,0,0,1.000000
74,675,0,0,0,1.000000
75,724,0,0,0,1.000000
76,695,0,0,0,1.000000
77,706,0,0,0,1.000000
78,695,0,0,0,1.000000
79,695,0,0,0,1.000000
80,702,0,0,0,1.000000
81,704,0,0,0,1.000000
82,702,0,0,0,1.000000
83,702,0,0,0,1.000000
84,676,0,0,0,1.000000
85,725,0,0,0,1.000000
86,694,0,0,0,1.000000
87,700,0,0,0,1.000000
88,704,0,0,0,1.000000
89,692,0,0,0,1.000000
90,705,0,0,0,1.000000
91,702,0,0,0,1.000000
92,700,0,0,0,1.000000
93,697,0,0,0,1.000000
94,691,0,0,0,1.000000
95,712,0,0,0,1.000000
96,704,0,0,0,1.000000
97,695,0,0,0,1.000000
98,701,0,0,0,1.000000
99,691,0,0,0,1.000000
100,709,0,0,0,1.000000
101,698,0,0,0,1.000000
102,702,0,0,0,1.000000
103,696,0,0,0,1.000000
104,684,0,0,0,1.000000
105,719,0,0,0,1.000000
106,702,0,0,0,1.000000
107,700,0,0,0,1.000000
108,692,0,0,0,1.000000
109,701,0,0,0,1.000000
110,708,0,0,0,1.000000
111,702,0,0,0,1.000000
112,697,0,0,0,1.000000
113,677,0,0,0,1.000000
114,719,0,0,0,1.000000
115,702,0,0,0,1.000000
116,700,0,0,0,1.000000
117,696,0,0,0,1.000000
118,702,0,0,0,1.000000
119,703,0,0,0,1.000000
120,694,0,0,0,1.000000
121,699,0,0,0,1.000000
122,711,0,0,0,1.000000
123,695,0,0,0,1.000000
124,677,0,0,0,1.000000
125,718,0,0,0,1.000000
126,710,0,0,0,1.000000
127,694,0,0,0,1.000000
128,703,0,0,0,1.000000
129,699,0,0,0,1.000000
130,692,0,0,0,1.000000
131,708,0,0,0,1.000000
132,697,0,0,0,1.000000
133,701,0,0,0,1.000000
134,680,0,0,0,1.000000
135,720,0,0,0,1.000000
136,699,0,0,0,1.000000
137,705,0,0,0,1.000000
138,693,0,0,0,1.000000
139,705,0,0,0,1.000000
140,695,0,0,0,1.000000
141,707,0,0,0,1.000000
142,692,0,0,0,1.000000
143,708,0,0,0,1.000000
144,676,0,0,0,1.000000
145,725,0,0,0,1.000000
146,693,0,0,0,1.000000
147,706,0,0,0,1.000000
148,698,0,0,0,1.000000
149,703,0,0,0,1.000000
150,694,0,0,0,1.000000
151,702,0,0,0,1.000000
152,698,0,0,0,1.000000
153,702,0,0,0,1.000000
154,679,0,0,0,1.000000
155,721,0,0,0,1.000000
156,701,0,0,0,1.000000
157,694,0,0,0,1.000000
158,700,0,0,0,1.000000
159,706,0,0,0,1.000000
160,704,0,0,0,1.000000
161,692,0,0,0,1.000000
162,706,0,0,0,1.000000
163,694,0,0,0,1.000000
164,691,0,0,0,1.000000
165,709,0,0,0,1.000000
166,698,0,0,0,1.000000
167,704,0,0,0,1.000000
168,702,0,0,0,1.000000
169,695,0,0,0,1.000000
170,706,0,0,0,1.000000
171,703,0,0,0,1.000000
172,698,0,0,0,1.000000
173,694,0,0,0,1.000000
174,687,0,0,0,1.000000
175,721,0,0,0,1.000000
176,695,0,0,0,1.000000
177,698,0,0,0,1.000000
178,705,0,0,0,1.000000
179,697,0,0,0,1.000000
180,5,0,0,0,1.000000
