ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786339409.624,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786339409.624,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786339409.624,S1,search,0,prior,0.0,,,,6.899,,6.899
1786339409.624,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786339409.624,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786339409.624,S2,search,0,prior,0.0,,,,4.287,,4.287
1786339409.624,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786339409.624,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786339409.624,S3,search,0,prior,0.0,,,,4.019,,4.019
1786339410.625,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786339410.625,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786339410.625,S1,search,0,prior,0.0,,,,6.899,,6.899
1786339410.625,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786339410.625,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786339410.625,S2,search,0,prior,0.0,,,,4.287,,4.287
1786339410.625,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786339410.625,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786339410.625,S3,search,0,prior,0.0,,,,4.019,,4.019
1786339411.624,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786339411.624,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786339411.624,S1,search,0,prior,0.0,,,,6.899,,6.899
1786339411.624,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786339411.624,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786339411.624,S2,search,0,prior,0.0,,,,4.287,,4.287
1786339411.624,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786339411.624,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786339411.624,S3,search,0,prior,0.0,,,,4.019,,4.019
1786339412.625,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786339412.625,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786339412.625,S1,search,0,prior,0.0,,,,6.899,,6.899
1786339412.625,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786339412.625,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786339412.625,S2,search,0,prior,0.0,,,,4.287,,4.287
1786339412.625,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786339412.625,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786339412.625,S3,search,0,prior,0.0,,,,4.019,,4.019
1786339413.627,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786339413.627,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786339413.627,S1,search,0,prior,0.0,,,,6.899,,6.899
1786339413.627,S2,recommend,102,prior_fill,0.1474,2.3646,7.026,41.5,0.975,,0.975
1786339413.627,S2,reserve,51,prior,0.1409,18.672,152.793,49.3,1.332,,1.332
1786339413.627,S2,search,61,prior,0.1477,10.3747,19.024,47.2,4.287,,4.287
