t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,774,616,0,0.000000
1,0,777,622,0,0.000000
2,0,769,634,0,0.000000
3,0,776,621,0,0.000000
4,0,785,617,0,0.000000
5,0,773,627,0,0.000000
6,0,792,606,0,0.000000
7,0,786,616,0,0.000000
8,0,776,623,0,0.000000
9,0,783,619,0,0.000000
10,0,779,619,0,0.000000
11,0,779,623,0,0.000000
12,0,775,625,0,0.000000
13,0,783,615,0,0.000000
14,0,782,616,0,0.000000
15,0,779,626,0,0.000000
16,0,778,620,0,0.000000
17,0,777,624,0,0.000000
18,0,784,616,0,0.000000
19,0,781,616,0,0.000000
20,0,793,607,0,0.000000
21,0,786,614,0,0.000000
22,0,773,627,0,0.000000
23,0,791,612,0,0.000000
24,0,774,622,0,0.000000
25,0,778,625,0,0.000000
26,0,787,612,0,0.000000
27,0,778,621,0,0.000000
28,0,769,633,0,0.000000
29,0,780,620,0,0.000000
30,0,776,623,0,0.000000
31,0,782,619,0,0.000000
32,0,767,630,0,0.000000
33,0,787,614,0,0.000000
34,0,785,614,0,0.000000
35,0,764,637,0,0.000000
36,0,789,614,0,0.000000
37,0,766,631,0,0.000000
38,0,780,621,0,0.000000
39,0,780,615,0,0.000000
40,0,784,619,0,0.000000
41,0,773,627,0,0.000000
42,0,770,630,0,0.000000
43,0,770,630,0,0.000000
44,0,776,623,0,0.000000
45,0,789,613,0,0.000000
46,0,774,621,0,0.000000
47,0,790,615,0,0.000000
48,0,784,617,0,0.000000
49,0,797,607,0,0.000000
50,0,779,618,0,0.000000
51,0,781,615,0,0.000000
52,0,765,637,0,0.000000
53,0,792,608,0,0.000000
54,0,784,616,0,0.000000
55,0,781,621,0,0.000000
56,0,776,625,0,0.000000
57,0,773,624,0,0.000000
58,0,787,613,0,0.000000
59,0,780,620,0,0.000000
60,0,773,627,0,0.000000
61,0,775,624,0,0.000000
62,0,778,625,0,0.000000
63,0,776,622,0,0.000000
64,0,783,618,0,0.000000
65,0,780,621,0,0.000000
66,0,771,629,0,0.000000
67,0,769,632,0,0.000000
68,0,778,618,0,0.000000
69,0,782,619,0,0.000000
70,0,794,607,0,0.000000
71,0,783,618,0,0.000000
72,0,765,635,0,0.000000
73,0,777,617,0,0.000000
74,0,780,627,0,0.000000
75,0,777,622,0,0.000000
76,0,779,618,0,0.000000
77,0,780,617,0,0.000000
78,0,781,628,0,0.000000
79,0,776,621,0,0.000000
80,0,778,619,0,0.000000
81,0,790,611,0,0.000000
82,0,773,626,0,0.000000
83,0,777,623,0,0.000000
84,0,783,621,0,0.000000
85,0,794,606,0,0.000000
86,0,787,614,0,0.000000
87,0,770,626,0,0.000000
88,0,777,623,0,0.000000
89,0,777,626,0,0.000000
90,0,787,609,0,0.000000
91,0,789,615,0,0.000000
92,0,775,625,0,0.000000
93,0,785,613,0,0.000000
94,0,783,617,0,0.000000
95,0,774,624,0,0.000000
96,0,771,632,0,0.000000
97,0,772,629,0,0.000000
98,0,783,613,0,0.000000
99,0,773,626,0,0.000000
100,0,788,615,0,0.000000
101,0,777,620,0,0.000000
102,0,793,611,0,0.000000
103,0,782,617,0,0.000000
104,0,783,617,0,0.000000
105,0,776,624,0,0.000000
106,0,785,617,0,0.000000
107,0,778,619,0,0.000000
108,0,796,605,0,0.000000
109,0,780,619,0,0.000000
110,0,779,623,0,0.000000
111,0,786,611,0,0.000000
112,0,768,632,0,0.000000
113,0,777,623,0,0.000000
114,0,782,621,0,0.000000
115,0,789,613,0,0.000000
116,0,788,608,0,0.000000
117,0,785,620,0,0.000000
118,0,780,616,0,0.000000
119,0,790,611,0,0.000000
120,0,776,619,0,0.000000
121,0,782,624,0,0.000000
122,0,772,626,0,0.000000
123,0,777,625,0,0.000000
124,0,777,624,0,0.000000
125,0,791,606,0,0.000000
126,0,777,620,0,0.000000
127,0,784,620,0,0.000000
128,0,781,618,0,0.000000
129,0,791,609,0,0.000000
130,0,790,611,0,0.000000
131,0,786,615,0,0.000000
132,0,766,627,0,0.000000
133,0,783,617,0,0.000000
134,0,773,633,0,0.000000
135,0,766,628,0,0.000000
136,0,773,629,0,0.000000
137,0,780,622,0,0.000000
138,0,785,616,0,0.000000
139,0,772,626,0,0.000000
140,0,783,619,0,0.000000
141,0,789,610,0,0.000000
142,0,778,624,0,0.000000
