t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,661,617,0,0.000000
1,0,500,1020,0,0.000000
2,0,649,620,0,0.000000
3,0,502,1031,0,0.000000
4,0,658,618,0,0.000000
5,0,492,1039,0,0.000000
6,0,632,612,0,0.000000
7,0,540,1019,0,0.000000
8,0,636,608,0,0.000000
9,0,509,1040,0,0.000000
10,0,644,615,0,0.000000
11,0,546,1001,0,0.000000
12,0,638,609,0,0.000000
13,0,528,1008,0,0.000000
14,0,641,627,0,0.000000
15,0,539,997,0,0.000000
16,0,657,622,0,0.000000
17,0,516,1011,0,0.000000
18,0,668,616,0,0.000000
19,0,516,993,0,0.000000
20,0,656,623,0,0.000000
21,0,517,1028,0,0.000000
22,0,649,598,0,0.000000
23,0,510,1037,0,0.000000
24,0,660,604,0,0.000000
25,0,520,1008,0,0.000000
26,0,657,611,0,0.000000
27,0,529,987,0,0.000000
28,0,662,627,0,0.000000
29,0,512,1012,0,0.000000
30,0,645,613,0,0.000000
31,0,536,1015,0,0.000000
32,0,664,605,0,0.000000
33,0,500,1011,0,0.000000
34,0,660,627,0,0.000000
35,0,488,1022,0,0.000000
36,0,639,630,0,0.000000
37,0,535,1019,0,0.000000
38,0,645,607,0,0.000000
39,0,526,1009,0,0.000000
40,0,636,620,0,0.000000
41,0,525,1007,0,0.000000
42,0,654,631,0,0.000000
43,0,510,1011,0,0.000000
44,0,649,625,0,0.000000
45,0,503,1028,0,0.000000
46,0,631,620,0,0.000000
47,0,540,1018,0,0.000000
48,0,616,611,0,0.000000
49,0,529,1045,0,0.000000
50,0,645,609,0,0.000000
51,0,541,1007,0,0.000000
52,0,667,607,0,0.000000
53,0,530,989,0,0.000000
54,0,666,614,0,0.000000
55,0,488,1020,0,0.000000
56,0,650,626,0,0.000000
57,0,516,1002,0,0.000000
58,0,662,634,0,0.000000
59,0,501,1012,0,0.000000
60,0,650,625,0,0.000000
61,0,512,1012,0,0.000000
62,0,638,626,0,0.000000
63,0,553,970,0,0.000000
64,0,649,639,0,0.000000
65,0,528,1010,0,0.000000
66,0,665,612,0,0.000000
67,0,548,986,0,0.000000
68,0,662,601,0,0.000000
69,0,511,1006,0,0.000000
70,0,626,621,0,0.000000
71,0,551,1002,0,0.000000
72,0,645,621,0,0.000000
73,0,525,1004,0,0.000000
74,0,663,627,0,0.000000
75,0,497,1023,0,0.000000
76,0,639,617,0,0.000000
77,0,520,1023,0,0.000000
78,0,667,618,0,0.000000
79,0,499,1025,0,0.000000
80,0,628,609,0,0.000000
81,0,538,1022,0,0.000000
82,0,688,612,0,0.000000
83,0,520,982,0,0.000000
84,0,654,610,0,0.000000
85,0,512,1024,0,0.000000
86,0,640,610,0,0.000000
87,0,526,1022,0,0.000000
88,0,660,612,0,0.000000
89,0,507,1002,0,0.000000
90,0,634,630,0,0.000000
91,0,530,1023,0,0.000000
92,0,658,613,0,0.000000
93,0,507,994,0,0.000000
94,0,635,641,0,0.000000
95,0,529,1019,0,0.000000
96,0,645,617,0,0.000000
97,0,471,1051,0,0.000000
98,0,657,632,0,0.000000
99,0,510,1011,0,0.000000
100,0,665,622,0,0.000000
101,0,492,1034,0,0.000000
102,0,622,609,0,0.000000
103,0,552,1000,0,0.000000
104,0,635,631,0,0.000000
105,0,538,998,0,0.000000
106,0,627,624,0,0.000000
107,0,509,1048,0,0.000000
108,0,637,616,0,0.000000
109,0,529,1010,0,0.000000
110,0,662,624,0,0.000000
111,0,505,1015,0,0.000000
112,0,680,620,0,0.000000
113,0,500,993,0,0.000000
114,0,653,625,0,0.000000
115,0,526,985,0,0.000000
116,0,653,636,0,0.000000
117,0,517,1012,0,0.000000
118,0,643,618,0,0.000000
119,0,526,1025,0,0.000000
120,0,659,606,0,0.000000
121,0,529,1008,0,0.000000
122,0,676,603,0,0.000000
123,0,513,995,0,0.000000
124,0,622,616,0,0.000000
125,0,524,1031,0,0.000000
126,0,663,623,0,0.000000
127,0,508,1017,0,0.000000
128,0,644,612,0,0.000000
129,0,530,1005,0,0.000000
130,0,663,622,0,0.000000
131,0,493,1036,0,0.000000
132,0,643,608,0,0.000000
133,0,535,1020,0,0.000000
134,0,649,602,0,0.000000
135,0,496,1044,0,0.000000
136,0,674,611,0,0.000000
137,0,483,1039,0,0.000000
138,0,619,604,0,0.000000
139,0,542,1028,0,0.000000
140,0,651,611,0,0.000000
141,0,524,1003,0,0.000000
142,0,656,621,0,0.000000
143,0,500,1033,0,0.000000
144,0,654,612,0,0.000000
145,0,526,1021,0,0.000000
146,0,661,598,0,0.000000
147,0,520,988,0,0.000000
148,0,676,631,0,0.000000
149,0,484,1016,0,0.000000
150,0,643,624,0,0.000000
151,0,535,1025,0,0.000000
152,0,653,597,0,0.000000
153,0,518,1008,0,0.000000
154,0,657,620,0,0.000000
155,0,488,1044,0,0.000000
156,0,658,611,0,0.000000
157,0,519,1017,0,0.000000
158,0,636,605,0,0.000000
159,0,539,1011,0,0.000000
160,0,638,614,0,0.000000
161,0,531,1016,0,0.000000
162,0,651,616,0,0.000000
163,0,509,1021,0,0.000000
164,0,663,619,0,0.000000
165,0,500,1039,0,0.000000
166,0,626,599,0,0.000000
167,0,560,1016,0,0.000000
168,0,639,596,0,0.000000
169,0,556,1001,0,0.000000
170,0,661,606,0,0.000000
171,0,497,1029,0,0.000000
172,0,665,612,0,0.000000
173,0,501,1039,0,0.000000
174,0,660,595,0,0.000000
175,0,488,1052,0,0.000000
176,0,664,601,0,0.000000
177,0,513,1011,0,0.000000
178,0,660,610,0,0.000000
179,0,519,1016,0,0.000000
180,0,638,605,0,0.000000
181,0,550,1003,0,0.000000
182,0,628,609,0,0.000000
183,0,549,1020,0,0.000000
184,0,635,603,0,0.000000
185,0,512,1040,0,0.000000
186,0,657,614,0,0.000000
187,0,539,1008,0,0.000000
188,0,644,595,0,0.000000
189,0,553,981,0,0.000000
190,0,687,623,0,0.000000
191,0,510,980,0,0.000000
192,0,658,622,0,0.000000
193,0,520,1000,0,0.000000
194,0,670,621,0,0.000000
195,0,498,1024,0,0.000000
196,0,643,610,0,0.000000
197,0,530,1015,0,0.000000
198,0,654,611,0,0.000000
199,0,530,1018,0,0.000000
200,0,651,595,0,0.000000
201,0,510,1033,0,0.000000
202,0,653,609,0,0.000000
203,0,522,1020,0,0.000000
204,0,660,605,0,0.000000
205,0,495,1013,0,0.000000
206,0,633,632,0,0.000000
207,0,525,1030,0,0.000000
208,0,656,612,0,0.000000
209,0,515,1024,0,0.000000
210,0,643,608,0,0.000000
211,0,534,1017,0,0.000000
212,0,644,601,0,0.000000
213,0,536,1024,0,0.000000
214,0,640,596,0,0.000000
215,0,514,1005,0,0.000000
216,0,659,641,0,0.000000
217,0,513,1026,0,0.000000
218,0,648,603,0,0.000000
219,0,533,1015,0,0.000000
220,0,666,604,0,0.000000
221,0,495,1048,0,0.000000
222,0,651,591,0,0.000000
223,0,497,1008,0,0.000000
224,0,664,643,0,0.000000
225,0,527,1004,0,0.000000
226,0,655,606,0,0.000000
227,0,495,1042,0,0.000000
228,0,653,608,0,0.000000
229,0,526,1017,0,0.000000
230,0,666,604,0,0.000000
231,0,505,1022,0,0.000000
232,0,668,607,0,0.000000
233,0,512,1002,0,0.000000
234,0,640,617,0,0.000000
235,0,506,1040,0,0.000000
236,0,666,614,0,0.000000
237,0,487,1029,0,0.000000
238,0,653,618,0,0.000000
239,0,528,1018,0,0.000000
240,0,645,601,0,0.000000
241,0,525,1019,0,0.000000
242,0,619,612,0,0.000000
243,0,574,1002,0,0.000000
244,0,646,605,0,0.000000
245,0,530,1010,0,0.000000
246,0,663,615,0,0.000000
247,0,500,1035,0,0.000000
248,0,666,601,0,0.000000
249,0,515,1022,0,0.000000
250,0,642,595,0,0.000000
251,0,536,1009,0,0.000000
252,0,652,615,0,0.000000
253,0,519,1022,0,0.000000
254,0,644,607,0,0.000000
255,0,525,1024,0,0.000000
256,0,675,605,0,0.000000
257,0,494,1025,0,0.000000
258,0,656,607,0,0.000000
259,0,523,1020,0,0.000000
260,0,637,601,0,0.000000
261,0,525,1038,0,0.000000
262,0,680,600,0,0.000000
263,0,517,1007,0,0.000000
264,0,649,596,0,0.000000
265,0,518,1029,0,0.000000
266,0,612,602,0,0.000000
267,0,529,1036,0,0.000000
268,0,649,624,0,0.000000
269,0,512,1041,0,0.000000
270,0,662,597,0,0.000000
271,0,509,1015,0,0.000000
272,0,668,614,0,0.000000
273,0,495,1023,0,0.000000
274,0,666,617,0,0.000000
275,0,518,1021,0,0.000000
276,0,649,593,0,0.000000
277,0,529,1015,0,0.000000
278,0,657,607,0,0.000000
279,0,525,1017,0,0.000000
280,0,653,601,0,0.000000
281,0,528,1019,0,0.000000
282,0,665,600,0,0.000000
283,0,506,1001,0,0.000000
284,0,644,628,0,0.000000
285,0,528,1024,0,0.000000
286,0,628,604,0,0.000000
287,0,527,1038,0,0.000000
288,0,664,607,0,0.000000
289,0,516,1024,0,0.000000
290,0,648,595,0,0.000000
291,0,538,1021,0,0.000000
292,0,655,593,0,0.000000
293,0,520,998,0,0.000000
294,0,656,627,0,0.000000
295,0,502,1040,0,0.000000
296,0,651,602,0,0.000000
297,0,515,1024,0,0.000000
298,0,660,612,0,0.000000
299,0,505,1040,0,0.000000
300,0,668,594,0,0.000000
301,0,498,1030,0,0.000000
302,0,636,604,0,0.000000
303,0,494,1032,0,0.000000
304,0,673,638,0,0.000000
305,0,464,1040,0,0.000000
306,0,668,621,0,0.000000
307,0,501,1038,0,0.000000
308,0,651,596,0,0.000000
309,0,529,1023,0,0.000000
310,0,663,596,0,0.000000
311,0,480,1018,0,0.000000
312,0,678,639,0,0.000000
