ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786343756.870,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786343756.870,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786343756.870,S1,search,0,prior,0.0,,,,6.899,,6.899
1786343756.870,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786343756.870,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786343756.870,S2,search,0,prior,0.0,,,,4.287,,4.287
1786343756.870,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786343756.870,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786343756.870,S3,search,0,prior,0.0,,,,4.019,,4.019
1786343757.872,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786343757.872,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786343757.872,S1,search,0,prior,0.0,,,,6.899,,6.899
1786343757.872,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786343757.872,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786343757.872,S2,search,0,prior,0.0,,,,4.287,,4.287
1786343757.872,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786343757.872,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786343757.872,S3,search,0,prior,0.0,,,,4.019,,4.019
1786343758.871,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786343758.871,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786343758.871,S1,search,0,prior,0.0,,,,6.899,,6.899
1786343758.871,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786343758.871,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786343758.871,S2,search,0,prior,0.0,,,,4.287,,4.287
1786343758.871,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786343758.871,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786343758.871,S3,search,0,prior,0.0,,,,4.019,,4.019
1786343759.872,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786343759.872,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786343759.872,S1,search,0,prior,0.0,,,,6.899,,6.899
1786343759.872,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786343759.872,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786343759.872,S2,search,0,prior,0.0,,,,4.287,,4.287
1786343759.872,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786343759.872,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786343759.872,S3,search,0,prior,0.0,,,,4.019,,4.019
1786343760.874,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786343760.874,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786343760.874,S1,search,0,prior,0.0,,,,6.899,,6.899
1786343760.874,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786343760.874,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786343760.874,S2,search,0,prior,0.0,,,,4.287,,4.287
1786343760.874,S3,recommend,165,prior_fill,0.1609,1.093,2.35,35.8,1.0,,1.0
1786343760.874,S3,reserve,77,prior,0.1605,31.2527,259.699,39.5,1.348,,1.348
1786343760.874,S3,search,120,prior_fill,0.1587,4.933,8.281,41.7,4.019,,4.019
1786343761.880,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786343761.880,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786343761.880,S1,search,0,prior,0.0,,,,6.899,,6.899
1786343761.880,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786343761.880,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786343761.880,S2,search,0,prior,0.0,,,,4.287,,4.287
1786343761.880,S3,recommend,819,prior_fill,0.6609,1.5114,3.318,35.8,1.0,,1.0
1786343761.880,S3,reserve,412,prior_fill,0.6605,11.9879,6.212,39.4,1.348,,1.348
1786343761.880,S3,search,615,prior_fill,0.658,6.4539,12.604,42.4,4.019,,4.019
1786343762.880,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786343762.880,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786343762.880,S1,search,0,prior,0.0,,,,6.899,,6.899
1786343762.880,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786343762.880,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786343762.880,S2,search,0,prior,0.0,,,,4.287,,4.287
1786343762.880,S3,recommend,1257,obs,0.9817,1.4108,3.226,33.8,1.0,3.226,3.226
1786343762.880,S3,reserve,625,obs,0.98,1.9082,4.052,39.5,1.348,4.052,4.052
1786343762.880,S3,search,946,obs,0.9803,5.9996,11.279,38.1,4.019,11.279,11.279
1786343763.880,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786343763.880,S1,reserve,0,prior,0.0,,,,1.658,,1.658
