t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,0,2783,0,0.000000
1,0,0,2732,0,0.000000
2,0,0,2733,0,0.000000
3,0,0,2762,0,0.000000
4,0,0,2772,0,0.000000
5,0,0,2807,0,0.000000
6,0,0,2781,0,0.000000
7,0,0,2802,0,0.000000
8,0,0,2787,0,0.000000
9,0,0,2749,0,0.000000
10,0,0,2782,0,0.000000
11,0,0,2765,0,0.000000
12,0,0,2792,0,0.000000
13,0,0,2797,0,0.000000
14,0,0,2792,0,0.000000
15,0,0,2766,0,0.000000
16,0,0,2786,0,0.000000
17,0,0,2779,0,0.000000
18,0,0,2838,0,0.000000
19,0,0,2783,0,0.000000
20,0,0,2718,0,0.000000
21,0,0,2772,0,0.000000
22,0,0,2770,0,0.000000
23,0,0,2775,0,0.000000
24,0,0,2776,0,0.000000
25,0,0,2769,0,0.000000
26,0,0,2815,0,0.000000
27,0,0,2743,0,0.000000
28,0,0,2804,0,0.000000
29,0,0,2755,0,0.000000
30,0,0,2771,0,0.000000
31,0,0,2791,0,0.000000
32,0,0,2782,0,0.000000
33,0,0,2773,0,0.000000
34,0,0,2772,0,0.000000
35,0,0,2779,0,0.000000
36,0,0,2701,0,0.000000
37,0,0,2725,0,0.000000
38,0,0,2792,0,0.000000
39,0,0,2791,0,0.000000
40,0,0,2777,0,0.000000
41,0,0,2794,0,0.000000
42,0,0,2770,0,0.000000
43,0,0,2784,0,0.000000
44,0,0,2783,0,0.000000
45,0,0,2770,0,0.000000
46,0,0,2792,0,0.000000
47,0,0,2764,0,0.000000
48,0,0,2784,0,0.000000
49,0,0,2791,0,0.000000
50,0,0,2789,0,0.000000
51,0,0,2746,0,0.000000
52,0,0,2769,0,0.000000
53,0,0,2790,0,0.000000
54,0,0,2793,0,0.000000
55,0,0,2778,0,0.000000
56,0,0,2778,0,0.000000
57,0,0,2737,0,0.000000
58,0,0,2753,0,0.000000
59,0,0,2763,0,0.000000
60,0,0,2782,0,0.000000
61,0,0,2793,0,0.000000
62,0,0,2764,0,0.000000
63,0,0,2807,0,0.000000
64,0,0,2788,0,0.000000
65,0,0,2784,0,0.000000
66,0,0,2755,0,0.000000
67,0,0,2787,0,0.000000
68,0,0,2789,0,0.000000
69,0,0,2778,0,0.000000
70,0,0,2773,0,0.000000
71,0,0,2815,0,0.000000
72,0,0,2818,0,0.000000
73,0,0,2722,0,0.000000
74,0,0,2794,0,0.000000
75,0,0,2810,0,0.000000
76,0,0,2805,0,0.000000
77,0,0,2796,0,0.000000
78,0,0,2777,0,0.000000
79,0,0,2763,0,0.000000
80,0,0,2767,0,0.000000
81,0,0,2741,0,0.000000
82,0,0,2784,0,0.000000
83,0,0,2792,0,0.000000
84,0,0,2762,0,0.000000
85,0,0,2749,0,0.000000
86,0,0,2747,0,0.000000
87,0,0,2787,0,0.000000
88,0,0,2786,0,0.000000
89,0,0,2811,0,0.000000
90,0,0,2791,0,0.000000
91,0,0,2791,0,0.000000
92,0,0,2799,0,0.000000
93,0,0,2748,0,0.000000
94,0,0,2860,0,0.000000
95,0,0,2770,0,0.000000
96,0,0,2777,0,0.000000
97,0,0,2790,0,0.000000
98,0,0,2754,0,0.000000
