ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786366635.516,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366635.516,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366635.516,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366635.516,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786366635.516,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786366635.516,S2,search,0,prior,0.0,,,,4.287,,4.287
1786366635.516,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786366635.516,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786366635.516,S3,search,0,prior,0.0,,,,4.019,,4.019
1786366636.517,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366636.517,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366636.517,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366636.517,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786366636.517,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786366636.517,S2,search,0,prior,0.0,,,,4.287,,4.287
1786366636.517,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786366636.517,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786366636.517,S3,search,0,prior,0.0,,,,4.019,,4.019
1786366637.517,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366637.517,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366637.517,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366637.517,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786366637.517,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786366637.517,S2,search,0,prior,0.0,,,,4.287,,4.287
1786366637.517,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786366637.517,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786366637.517,S3,search,0,prior,0.0,,,,4.019,,4.019
1786366638.517,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366638.517,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366638.517,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366638.517,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786366638.517,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786366638.517,S2,search,0,prior,0.0,,,,4.287,,4.287
1786366638.517,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786366638.517,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786366638.517,S3,search,0,prior,0.0,,,,4.019,,4.019
1786366639.520,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366639.520,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366639.520,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366639.520,S2,recommend,67,prior,0.1757,1.0352,2.266,101.0,0.975,,0.975
1786366639.520,S2,reserve,41,prior,0.1756,4.3433,31.659,105.9,1.332,,1.332
1786366639.520,S2,search,56,prior,0.1704,4.4304,6.227,103.5,4.287,,4.287
1786366639.520,S3,recommend,58,prior,0.1629,0.521,0.733,115.9,1.0,,1.0
1786366639.520,S3,reserve,21,prior,0.1661,3.8594,32.108,117.8,1.348,,1.348
1786366639.520,S3,search,38,prior,0.1698,3.1338,3.736,115.3,4.019,,4.019
1786366640.527,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366640.527,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366640.527,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366640.527,S2,recommend,259,prior_fill,0.677,1.0549,2.359,97.9,0.975,,0.975
1786366640.527,S2,reserve,158,prior_fill,0.6781,2.1857,2.95,100.4,1.332,,1.332
1786366640.527,S2,search,209,prior_fill,0.6695,4.5852,7.202,104.7,4.287,,4.287
1786366640.527,S3,recommend,223,prior_fill,0.6632,0.5392,0.872,114.7,1.0,,1.0
1786366640.527,S3,reserve,80,prior,0.6632,1.6728,1.214,122.9,1.348,,1.348
