ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786366114.792,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366114.792,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366114.792,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366114.792,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786366114.792,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786366114.792,S2,search,0,prior,0.0,,,,4.287,,4.287
1786366114.792,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786366114.792,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786366114.792,S3,search,0,prior,0.0,,,,4.019,,4.019
1786366115.793,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366115.793,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366115.793,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366115.793,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786366115.793,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786366115.793,S2,search,0,prior,0.0,,,,4.287,,4.287
1786366115.793,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786366115.793,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786366115.793,S3,search,0,prior,0.0,,,,4.019,,4.019
1786366116.792,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366116.792,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366116.792,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366116.792,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786366116.792,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786366116.792,S2,search,0,prior,0.0,,,,4.287,,4.287
1786366116.792,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786366116.792,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786366116.792,S3,search,0,prior,0.0,,,,4.019,,4.019
1786366117.793,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366117.793,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366117.793,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366117.793,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786366117.793,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786366117.793,S2,search,0,prior,0.0,,,,4.287,,4.287
1786366117.793,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786366117.793,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786366117.793,S3,search,0,prior,0.0,,,,4.019,,4.019
1786366118.796,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366118.796,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366118.796,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366118.796,S2,recommend,86,prior,0.2104,0.9404,1.883,27.1,0.975,,0.975
1786366118.796,S2,reserve,52,prior,0.2094,5.7757,30.097,26.3,1.332,,1.332
1786366118.796,S2,search,63,prior,0.2096,5.0525,9.611,29.7,4.287,,4.287
1786366118.796,S3,recommend,63,prior,0.2054,0.539,1.049,36.3,1.0,,1.0
1786366118.796,S3,reserve,25,prior,0.2019,9.2739,57.513,48.7,1.348,,1.348
1786366118.796,S3,search,53,prior,0.2054,3.0817,3.756,39.5,4.019,,4.019
1786366119.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366119.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366119.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366119.800,S2,recommend,291,prior_fill,0.7128,1.0796,2.23,21.7,0.975,,0.975
1786366119.800,S2,reserve,158,prior_fill,0.712,2.7637,4.78,20.9,1.332,,1.332
1786366119.800,S2,search,216,prior_fill,0.7113,5.1279,9.18,26.0,4.287,,4.287
1786366119.800,S3,recommend,218,prior_fill,0.7041,0.5364,0.9,38.4,1.0,,1.0
1786366119.800,S3,reserve,96,prior,0.7043,3.0493,1.066,43.3,1.348,,1.348
1786366119.800,S3,search,165,prior_fill,0.707,3.1039,3.886,35.9,4.019,,4.019
1786366120.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366120.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366120.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366120.800,S2,recommend,405,obs,0.9875,1.0506,2.174,24.2,0.975,2.174,2.174
1786366120.800,S2,reserve,213,obs,0.9796,1.2324,2.574,36.8,1.332,2.574,2.574
1786366120.800,S2,search,302,obs,0.9812,4.89,7.623,30.9,4.287,7.623,7.623
1786366120.800,S3,recommend,301,obs,0.9795,0.5425,0.823,39.2,1.0,0.823,0.823
1786366120.800,S3,reserve,135,obs,0.9646,0.8313,0.916,59.3,1.348,0.916,0.916
1786366120.800,S3,search,223,obs,0.9741,3.0877,3.781,35.9,4.019,3.781,3.781
1786366121.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366121.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366121.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366121.800,S2,recommend,408,obs,0.99,1.0158,1.985,19.2,0.975,1.985,1.985
1786366121.800,S2,reserve,213,obs,0.9796,1.1157,2.425,31.7,1.332,2.425,2.425
1786366121.800,S2,search,304,obs,0.9804,4.5483,7.323,25.9,4.287,7.323,7.323
1786366121.800,S3,recommend,298,obs,0.9808,0.5314,0.832,34.2,1.0,0.832,0.832
1786366121.800,S3,reserve,135,obs,0.9554,0.808,0.905,33.4,1.348,0.905,0.905
1786366121.800,S3,search,224,obs,0.98,3.0717,3.728,38.4,4.019,3.728,3.728
1786366122.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366122.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366122.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366122.800,S2,recommend,401,obs,0.9887,1.0793,2.419,16.7,0.975,2.419,2.419
1786366122.800,S2,reserve,205,obs,0.9796,1.1152,2.112,26.7,1.332,2.112,2.112
1786366122.800,S2,search,312,obs,0.9863,4.6216,7.323,24.3,4.287,7.323,7.323
1786366122.800,S3,recommend,300,obs,0.9808,0.5071,0.759,29.3,1.0,0.759,0.759
1786366122.800,S3,reserve,148,obs,0.9854,0.8084,0.897,28.5,1.348,0.897,0.897
1786366122.800,S3,search,218,obs,0.9751,3.0478,3.538,46.6,4.019,3.538,3.538
1786366123.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366123.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366123.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366123.800,S2,recommend,411,obs,0.99,1.0757,2.606,18.4,0.975,2.606,2.606
1786366123.800,S2,reserve,200,obs,0.9871,1.1864,2.382,21.7,1.332,2.382,2.382
1786366123.800,S2,search,303,obs,0.9825,4.754,7.462,26.8,4.287,7.462,7.462
1786366123.800,S3,recommend,291,obs,0.9788,0.5102,0.767,25.9,1.0,0.767,0.767
1786366123.800,S3,reserve,156,obs,0.9816,0.7909,0.876,31.0,1.348,0.876,0.876
1786366123.800,S3,search,222,obs,0.9812,3.1007,3.682,36.7,4.019,3.682,3.682
1786366124.799,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366124.799,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366124.799,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366124.799,S2,recommend,396,obs,0.9413,1.0412,2.321,116.7,0.975,2.321,2.321
1786366124.799,S2,reserve,200,obs,0.9375,1.1311,2.25,123.5,1.332,2.25,2.25
1786366124.799,S2,search,277,obs,0.9375,4.6447,7.26,121.0,4.287,7.26,7.26
1786366124.799,S3,recommend,274,obs,0.9316,0.553,0.801,128.5,1.0,0.801,0.801
1786366124.799,S3,reserve,133,obs,0.9291,0.7832,0.882,138.4,1.348,0.882,0.882
1786366124.799,S3,search,224,obs,0.9316,3.1121,3.675,130.9,4.019,3.675,3.675
1786366125.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366125.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366125.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366125.800,S2,recommend,387,obs,0.9396,1.0636,2.469,119.3,0.975,2.469,2.469
1786366125.800,S2,reserve,206,obs,0.9375,1.1462,2.163,116.8,1.332,2.163,2.163
1786366125.800,S2,search,286,obs,0.9366,4.6621,8.102,126.0,4.287,8.102,8.102
1786366125.800,S3,recommend,284,obs,0.9338,0.5495,0.78,128.4,1.0,0.78,0.78
1786366125.800,S3,reserve,127,obs,0.9309,0.7987,0.885,131.7,1.348,0.885,0.885
1786366125.800,S3,search,214,obs,0.9242,3.0984,3.58,140.9,4.019,3.58,3.58
1786366126.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366126.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366126.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366126.800,S2,recommend,385,obs,0.9421,1.0616,2.561,114.7,0.975,2.561,2.561
1786366126.800,S2,reserve,207,obs,0.9367,1.1543,2.467,113.9,1.332,2.467,2.467
1786366126.800,S2,search,294,obs,0.9383,4.8779,8.379,119.7,4.287,8.379,8.379
1786366126.800,S3,recommend,282,obs,0.9366,0.5048,0.764,123.9,1.0,0.764,0.764
1786366126.800,S3,reserve,128,obs,0.9301,0.8046,0.887,128.8,1.348,0.887,0.887
1786366126.800,S3,search,210,obs,0.9329,3.0932,3.65,133.9,4.019,3.65,3.65
1786366127.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366127.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366127.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366127.800,S2,recommend,399,obs,0.94,1.0047,2.035,111.8,0.975,2.035,2.035
1786366127.800,S2,reserve,198,obs,0.9329,1.1376,2.509,131.0,1.332,2.509,2.509
1786366127.800,S2,search,286,obs,0.9366,4.8408,8.688,121.0,4.287,8.688,8.688
1786366127.800,S3,recommend,271,obs,0.9338,0.5429,0.831,131.7,1.0,0.831,0.831
1786366127.800,S3,reserve,140,obs,0.9384,0.9013,0.898,121.8,1.348,0.898,0.898
1786366127.800,S3,search,213,obs,0.93,3.1329,3.648,136.0,4.019,3.648,3.648
1786366128.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366128.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366128.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366128.800,S2,recommend,410,obs,0.9421,1.0349,2.211,111.9,0.975,2.211,2.211
1786366128.800,S2,reserve,183,obs,0.9412,1.1445,2.605,116.8,1.332,2.605,2.605
1786366128.800,S2,search,292,obs,0.9412,4.6863,7.465,114.4,4.287,7.465,7.465
1786366128.800,S3,recommend,261,obs,0.9312,0.5416,0.869,121.0,1.0,0.869,0.869
1786366128.800,S3,reserve,152,obs,0.9346,0.8976,1.03,124.4,1.348,1.03,1.03
1786366128.800,S3,search,212,obs,0.9375,3.1191,3.66,123.5,4.019,3.66,3.66
1786366129.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366129.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366129.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366129.800,S2,recommend,414,obs,0.9426,1.1589,2.465,114.2,0.975,2.465,2.465
1786366129.800,S2,reserve,187,obs,0.9366,1.2754,2.32,113.5,1.332,2.32,2.32
1786366129.800,S2,search,277,obs,0.9346,4.7687,7.413,116.7,4.287,7.413,7.413
1786366129.800,S3,recommend,259,obs,0.9267,0.5039,0.796,123.5,1.0,0.796,0.796
1786366129.800,S3,reserve,148,obs,0.9383,0.7994,1.021,119.3,1.348,1.021,1.021
1786366129.800,S3,search,224,obs,0.9308,3.0896,3.821,131.8,4.019,3.821,3.821
1786366130.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366130.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366130.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366130.800,S2,recommend,388,obs,0.945,1.2099,2.6,109.3,0.975,2.6,2.6
1786366130.800,S2,reserve,211,obs,0.9375,1.2675,2.338,116.0,1.332,2.338,2.338
1786366130.800,S2,search,285,obs,0.9375,4.793,7.413,121.8,4.287,7.413,7.413
1786366130.800,S3,recommend,285,obs,0.9367,0.5099,0.842,118.5,1.0,0.842,0.842
1786366130.800,S3,reserve,122,obs,0.93,0.8156,1.151,129.4,1.348,1.151,1.151
1786366130.800,S3,search,219,obs,0.9375,3.1107,3.821,123.5,4.019,3.821,3.821
1786366131.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366131.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366131.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366131.800,S2,recommend,384,obs,0.94,1.0329,2.344,114.4,0.975,2.344,2.344
1786366131.800,S2,reserve,207,obs,0.945,1.1801,2.338,109.4,1.332,2.338,2.338
1786366131.800,S2,search,300,obs,0.9399,4.6929,7.255,116.9,4.287,7.255,7.255
1786366131.800,S3,recommend,283,obs,0.9346,0.5095,0.845,126.9,1.0,0.845,0.845
1786366131.800,S3,reserve,132,obs,0.9308,0.802,0.96,124.4,1.348,0.96,0.96
1786366131.800,S3,search,203,obs,0.9308,3.0864,3.781,136.9,4.019,3.781,3.781
1786366132.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366132.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366132.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366132.800,S2,recommend,396,obs,0.945,1.0193,2.13,108.6,0.975,2.13,2.13
1786366132.800,S2,reserve,194,obs,0.9383,1.1758,2.34,119.4,1.332,2.34,2.34
1786366132.800,S2,search,300,obs,0.9437,4.6049,7.062,111.9,4.287,7.062,7.062
1786366132.800,S3,recommend,278,obs,0.9308,0.5016,0.807,129.4,1.0,0.807,0.807
1786366132.800,S3,reserve,142,obs,0.9233,0.8146,0.93,134.4,1.348,0.93,0.93
1786366132.800,S3,search,201,obs,0.9337,3.0542,3.751,124.4,4.019,3.751,3.751
1786366133.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366133.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366133.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366133.800,S2,recommend,385,obs,0.945,1.0554,2.409,109.4,0.975,2.409,2.409
1786366133.800,S2,reserve,211,obs,0.9412,1.1692,2.34,116.1,1.332,2.34,2.34
1786366133.800,S2,search,291,obs,0.9366,4.6397,7.94,108.6,4.287,7.94,7.94
1786366133.800,S3,recommend,287,obs,0.9329,0.5161,0.818,126.1,1.0,0.818,0.818
1786366133.800,S3,reserve,124,obs,0.9346,0.8191,0.924,121.9,1.348,0.924,0.924
1786366133.800,S3,search,213,obs,0.9383,3.0694,3.64,119.4,4.019,3.64,3.64
1786366134.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366134.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366134.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366134.800,S2,recommend,391,obs,0.9471,1.0549,2.37,104.4,0.975,2.37,2.37
1786366134.800,S2,reserve,206,obs,0.9421,1.1742,2.342,109.4,1.332,2.342,2.342
1786366134.800,S2,search,296,obs,0.9425,4.7154,8.3,114.4,4.287,8.3,8.3
1786366134.800,S3,recommend,284,obs,0.9375,0.5212,0.828,121.9,1.0,0.828,0.828
1786366134.800,S3,reserve,129,obs,0.9292,0.7964,0.884,133.6,1.348,0.884,0.884
1786366134.800,S3,search,206,obs,0.9308,3.068,3.64,129.4,4.019,3.64,3.64
1786366135.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366135.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366135.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366135.800,S2,recommend,396,obs,0.9458,1.0414,2.388,106.9,0.975,2.388,2.388
1786366135.800,S2,reserve,193,obs,0.9412,1.1362,2.375,106.1,1.332,2.375,2.375
1786366135.800,S2,search,296,obs,0.945,4.7422,7.861,109.4,4.287,7.861,7.861
1786366135.800,S3,recommend,276,obs,0.9412,0.5175,0.848,114.4,1.0,0.848,0.848
1786366135.800,S3,reserve,144,obs,0.9262,0.7911,0.903,126.9,1.348,0.903,0.903
1786366135.800,S3,search,210,obs,0.9375,3.0568,3.532,121.0,4.019,3.532,3.532
1786366136.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366136.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366136.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366136.800,S2,recommend,380,obs,0.9479,1.0343,2.355,103.7,0.975,2.355,2.355
1786366136.800,S2,reserve,210,obs,0.945,1.0885,1.997,106.9,1.332,1.997,1.997
1786366136.800,S2,search,287,obs,0.94,4.6413,7.199,114.4,4.287,7.199,7.199
1786366136.800,S3,recommend,294,obs,0.9351,0.5163,0.912,116.8,1.0,0.912,0.912
1786366136.800,S3,reserve,130,obs,0.9375,0.7859,0.877,123.6,1.348,0.877,0.877
1786366136.800,S3,search,215,obs,0.94,3.0693,3.662,116.1,4.019,3.662,3.662
1786366137.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366137.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366137.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366137.800,S2,recommend,380,obs,0.9441,1.0876,2.433,106.1,0.975,2.433,2.433
1786366137.800,S2,reserve,195,obs,0.945,1.1199,2.017,101.9,1.332,2.017,2.017
1786366137.800,S2,search,304,obs,0.9437,4.6539,6.903,109.5,4.287,6.903,6.903
1786366137.800,S3,recommend,294,obs,0.9421,0.5081,0.821,112.0,1.0,0.821,0.821
1786366137.800,S3,reserve,141,obs,0.9413,0.863,0.918,116.8,1.348,0.918,0.918
1786366137.800,S3,search,202,obs,0.9382,3.124,3.745,121.9,4.019,3.745,3.745
1786366138.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366138.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366138.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366138.800,S2,recommend,396,obs,0.9492,1.0699,2.283,101.1,0.975,2.283,2.283
1786366138.800,S2,reserve,183,obs,0.9421,1.1209,2.088,111.9,1.332,2.088,2.088
1786366138.800,S2,search,304,obs,0.9412,4.6275,7.303,109.4,4.287,7.303,7.303
1786366138.800,S3,recommend,281,obs,0.9375,0.5244,0.774,123.6,1.0,0.774,0.774
1786366138.800,S3,reserve,153,obs,0.9403,0.8602,1.096,113.6,1.348,1.096,1.096
1786366138.800,S3,search,199,obs,0.9384,3.1316,3.784,116.9,4.019,3.784,3.784
1786366139.800,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786366139.800,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786366139.800,S1,search,0,prior,0.0,,,,6.899,,6.899
1786366139.800,S2,recommend,386,obs,0.9487,1.1905,2.587,102.3,0.975,2.587,2.587
