ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786367156.198,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786367156.198,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786367156.198,S1,search,0,prior,0.0,,,,6.899,,6.899
1786367156.198,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786367156.198,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786367156.198,S2,search,0,prior,0.0,,,,4.287,,4.287
1786367156.198,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786367156.198,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786367156.198,S3,search,0,prior,0.0,,,,4.019,,4.019
1786367157.199,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786367157.199,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786367157.199,S1,search,0,prior,0.0,,,,6.899,,6.899
1786367157.199,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786367157.199,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786367157.199,S2,search,0,prior,0.0,,,,4.287,,4.287
1786367157.199,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786367157.199,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786367157.199,S3,search,0,prior,0.0,,,,4.019,,4.019
1786367158.199,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786367158.199,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786367158.199,S1,search,0,prior,0.0,,,,6.899,,6.899
1786367158.199,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786367158.199,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786367158.199,S2,search,0,prior,0.0,,,,4.287,,4.287
1786367158.199,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786367158.199,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786367158.199,S3,search,0,prior,0.0,,,,4.019,,4.019
1786367159.199,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786367159.199,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786367159.199,S1,search,0,prior,0.0,,,,6.899,,6.899
1786367159.199,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786367159.199,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786367159.199,S2,search,0,prior,0.0,,,,4.287,,4.287
1786367159.199,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786367159.199,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786367159.199,S3,search,0,prior,0.0,,,,4.019,,4.019
1786367160.202,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786367160.202,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786367160.202,S1,search,0,prior,0.0,,,,6.899,,6.899
1786367160.202,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786367160.202,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786367160.202,S2,search,0,prior,0.0,,,,4.287,,4.287
1786367160.202,S3,recommend,130,prior_fill,0.1961,0.7308,1.455,58.3,1.0,,1.0
1786367160.202,S3,reserve,65,prior,0.1887,26.286,185.362,77.8,1.348,,1.348
1786367160.202,S3,search,103,prior_fill,0.1955,3.8315,6.354,62.0,4.019,,4.019
1786367161.207,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786367161.207,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786367161.207,S1,search,0,prior,0.0,,,,6.899,,6.899
1786367161.207,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786367161.207,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786367161.207,S2,search,0,prior,0.0,,,,4.287,,4.287
1786367161.207,S3,recommend,499,prior_fill,0.697,0.6508,1.151,56.6,1.0,,1.0
1786367161.207,S3,reserve,248,prior_fill,0.6985,7.6165,2.237,58.3,1.348,,1.348
1786367161.207,S3,search,373,prior_fill,0.697,3.4845,5.229,59.1,4.019,,4.019
1786367162.207,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786367162.207,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786367162.207,S1,search,0,prior,0.0,,,,6.899,,6.899
1786367162.207,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786367162.207,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786367162.207,S2,search,0,prior,0.0,,,,4.287,,4.287
1786367162.207,S3,recommend,697,obs,0.9721,0.6463,1.101,54.0,1.0,1.101,1.101
1786367162.207,S3,reserve,346,obs,0.9691,0.9797,1.37,60.8,1.348,1.37,1.37
1786367162.207,S3,search,527,obs,0.9691,3.2869,4.543,58.3,4.019,4.543,4.543
1786367163.207,S1,recommend,0,prior,0.0,,,,1.24,,1.24
