t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,577,0,0,0,1.000000
1,563,0,0,0,1.000000
2,573,0,0,0,1.000000
3,560,0,0,0,1.000000
4,581,0,0,0,1.000000
5,567,0,0,0,1.000000
6,584,0,0,0,1.000000
7,563,0,0,0,1.000000
8,577,0,0,0,1.000000
9,563,0,0,0,1.000000
10,573,0,0,0,1.000000
11,569,0,0,0,1.000000
12,570,0,0,0,1.000000
13,556,0,0,0,1.000000
14,581,0,0,0,1.000000
15,572,0,0,0,1.000000
16,571,0,0,0,1.000000
17,575,0,0,0,1.000000
18,569,0,0,0,1.000000
19,564,0,0,0,1.000000
20,573,0,0,0,1.000000
21,571,0,0,0,1.000000
22,545,0,0,0,1.000000
23,586,0,0,0,1.000000
24,572,0,0,0,1.000000
25,578,0,0,0,1.000000
26,567,0,0,0,1.000000
27,567,0,0,0,1.000000
28,569,0,0,0,1.000000
29,568,0,0,0,1.000000
30,569,0,0,0,1.000000
31,574,0,0,0,1.000000
32,573,0,0,0,1.000000
33,557,0,0,0,1.000000
34,581,0,0,0,1.000000
35,569,0,0,0,1.000000
36,568,0,0,0,1.000000
37,571,0,0,0,1.000000
38,574,0,0,0,1.000000
39,561,0,0,0,1.000000
40,573,0,0,0,1.000000
41,571,0,0,0,1.000000
42,568,0,0,0,1.000000
43,570,0,0,0,1.000000
44,568,0,0,0,1.000000
45,573,0,0,0,1.000000
46,562,0,0,0,1.000000
47,577,0,0,0,1.000000
48,575,0,0,0,1.000000
49,564,0,0,0,1.000000
50,570,0,0,0,1.000000
51,575,0,0,0,1.000000
52,573,0,0,0,1.000000
53,567,0,0,0,1.000000
54,574,0,0,0,1.000000
55,569,0,0,0,1.000000
56,565,0,0,0,1.000000
57,569,0,0,0,1.000000
58,573,0,0,0,1.000000
59,573,0,0,0,1.000000
60,570,0,0,0,1.000000
61,573,0,0,0,1.000000
62,569,0,0,0,1.000000
63,567,0,0,0,1.000000
64,574,0,0,0,1.000000
65,570,0,0,0,1.000000
66,567,0,0,0,1.000000
67,575,0,0,0,1.000000
68,568,0,0,0,1.000000
69,566,0,0,0,1.000000
70,568,0,0,0,1.000000
71,573,0,0,0,1.000000
72,569,0,0,0,1.000000
73,565,0,0,0,1.000000
74,575,0,0,0,1.000000
75,560,0,0,0,1.000000
76,583,0,0,0,1.000000
77,563,0,0,0,1.000000
78,574,0,0,0,1.000000
79,567,0,0,0,1.000000
80,567,0,0,0,1.000000
81,572,0,0,0,1.000000
82,575,0,0,0,1.000000
83,545,0,0,0,1.000000
84,589,0,0,0,1.000000
85,576,0,0,0,1.000000
86,567,0,0,0,1.000000
87,556,0,0,0,1.000000
88,584,0,0,0,1.000000
89,567,0,0,0,1.000000
90,566,0,0,0,1.000000
91,575,0,0,0,1.000000
92,559,0,0,0,1.000000
93,562,0,0,0,1.000000
94,580,0,0,0,1.000000
95,570,0,0,0,1.000000
96,573,0,0,0,1.000000
97,575,0,0,0,1.000000
98,570,0,0,0,1.000000
99,567,0,0,0,1.000000
100,576,0,0,0,1.000000
101,568,0,0,0,1.000000
102,572,0,0,0,1.000000
103,556,0,0,0,1.000000
104,586,0,0,0,1.000000
105,570,0,0,0,1.000000
106,570,0,0,0,1.000000
107,575,0,0,0,1.000000
108,570,0,0,0,1.000000
109,564,0,0,0,1.000000
110,572,0,0,0,1.000000
111,572,0,0,0,1.000000
112,569,0,0,0,1.000000
113,564,0,0,0,1.000000
114,580,0,0,0,1.000000
115,566,0,0,0,1.000000
116,572,0,0,0,1.000000
117,567,0,0,0,1.000000
118,572,0,0,0,1.000000
119,565,0,0,0,1.000000
120,577,0,0,0,1.000000
121,570,0,0,0,1.000000
122,560,0,0,0,1.000000
123,557,0,0,0,1.000000
124,593,0,0,0,1.000000
125,562,0,0,0,1.000000
126,570,0,0,0,1.000000
127,573,0,0,0,1.000000
128,567,0,0,0,1.000000
129,572,0,0,0,1.000000
130,568,0,0,0,1.000000
131,572,0,0,0,1.000000
132,570,0,0,0,1.000000
133,553,0,0,0,1.000000
134,576,0,0,0,1.000000
135,582,0,0,0,1.000000
136,569,0,0,0,1.000000
137,572,0,0,0,1.000000
138,566,0,0,0,1.000000
139,569,0,0,0,1.000000
140,564,0,0,0,1.000000
141,578,0,0,0,1.000000
142,569,0,0,0,1.000000
143,562,0,0,0,1.000000
144,577,0,0,0,1.000000
145,570,0,0,0,1.000000
146,565,0,0,0,1.000000
147,571,0,0,0,1.000000
148,570,0,0,0,1.000000
149,573,0,0,0,1.000000
150,571,0,0,0,1.000000
151,567,0,0,0,1.000000
152,575,0,0,0,1.000000
153,564,0,0,0,1.000000
154,574,0,0,0,1.000000
155,575,0,0,0,1.000000
156,568,0,0,0,1.000000
157,574,0,0,0,1.000000
158,569,0,0,0,1.000000
159,569,0,0,0,1.000000
160,570,0,0,0,1.000000
161,572,0,0,0,1.000000
162,567,0,0,0,1.000000
163,562,0,0,0,1.000000
164,572,0,0,0,1.000000
165,579,0,0,0,1.000000
166,571,0,0,0,1.000000
167,568,0,0,0,1.000000
168,571,0,0,0,1.000000
169,563,0,0,0,1.000000
170,574,0,0,0,1.000000
171,565,0,0,0,1.000000
172,568,0,0,0,1.000000
173,560,0,0,0,1.000000
174,588,0,0,0,1.000000
175,564,0,0,0,1.000000
176,575,0,0,0,1.000000
177,567,0,0,0,1.000000
178,570,0,0,0,1.000000
179,571,0,0,0,1.000000
180,20,0,0,0,1.000000
