t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,479,0,0,0,1.000000
1,459,0,0,0,1.000000
2,479,0,0,0,1.000000
3,470,0,0,0,1.000000
4,452,0,0,0,1.000000
5,487,0,0,0,1.000000
6,471,0,0,0,1.000000
7,469,0,0,0,1.000000
8,471,0,0,0,1.000000
9,468,0,0,0,1.000000
10,471,0,0,0,1.000000
11,467,0,0,0,1.000000
12,467,0,0,0,1.000000
13,478,0,0,0,1.000000
14,449,0,0,0,1.000000
15,492,0,0,0,1.000000
16,467,0,0,0,1.000000
17,470,0,0,0,1.000000
18,471,0,0,0,1.000000
19,472,0,0,0,1.000000
20,463,0,0,0,1.000000
21,477,0,0,0,1.000000
22,469,0,0,0,1.000000
23,467,0,0,0,1.000000
24,456,0,0,0,1.000000
25,487,0,0,0,1.000000
26,464,0,0,0,1.000000
27,473,0,0,0,1.000000
28,469,0,0,0,1.000000
29,473,0,0,0,1.000000
30,470,0,0,0,1.000000
31,466,0,0,0,1.000000
32,475,0,0,0,1.000000
33,469,0,0,0,1.000000
34,451,0,0,0,1.000000
35,487,0,0,0,1.000000
36,470,0,0,0,1.000000
37,465,0,0,0,1.000000
38,476,0,0,0,1.000000
39,464,0,0,0,1.000000
40,478,0,0,0,1.000000
41,469,0,0,0,1.000000
42,466,0,0,0,1.000000
43,473,0,0,0,1.000000
44,454,0,0,0,1.000000
45,485,0,0,0,1.000000
46,471,0,0,0,1.000000
47,469,0,0,0,1.000000
48,471,0,0,0,1.000000
49,470,0,0,0,1.000000
50,465,0,0,0,1.000000
51,478,0,0,0,1.000000
52,469,0,0,0,1.000000
53,466,0,0,0,1.000000
54,457,0,0,0,1.000000
55,486,0,0,0,1.000000
56,469,0,0,0,1.000000
57,469,0,0,0,1.000000
58,464,0,0,0,1.000000
59,478,0,0,0,1.000000
60,468,0,0,0,1.000000
61,466,0,0,0,1.000000
62,474,0,0,0,1.000000
63,471,0,0,0,1.000000
64,452,0,0,0,1.000000
65,488,0,0,0,1.000000
66,468,0,0,0,1.000000
67,473,0,0,0,1.000000
68,468,0,0,0,1.000000
69,468,0,0,0,1.000000
70,474,0,0,0,1.000000
71,468,0,0,0,1.000000
72,471,0,0,0,1.000000
73,472,0,0,0,1.000000
74,447,0,0,0,1.000000
75,492,0,0,0,1.000000
76,468,0,0,0,1.000000
77,470,0,0,0,1.000000
78,474,0,0,0,1.000000
79,469,0,0,0,1.000000
80,463,0,0,0,1.000000
81,477,0,0,0,1.000000
82,470,0,0,0,1.000000
83,467,0,0,0,1.000000
84,460,0,0,0,1.000000
85,483,0,0,0,1.000000
86,470,0,0,0,1.000000
87,467,0,0,0,1.000000
88,468,0,0,0,1.000000
89,475,0,0,0,1.000000
90,467,0,0,0,1.000000
91,472,0,0,0,1.000000
92,469,0,0,0,1.000000
93,468,0,0,0,1.000000
94,449,0,0,0,1.000000
95,494,0,0,0,1.000000
96,466,0,0,0,1.000000
97,475,0,0,0,1.000000
98,469,0,0,0,1.000000
99,466,0,0,0,1.000000
100,477,0,0,0,1.000000
101,466,0,0,0,1.000000
102,470,0,0,0,1.000000
103,468,0,0,0,1.000000
104,445,0,0,0,1.000000
105,497,0,0,0,1.000000
106,470,0,0,0,1.000000
107,467,0,0,0,1.000000
108,475,0,0,0,1.000000
109,469,0,0,0,1.000000
110,469,0,0,0,1.000000
111,470,0,0,0,1.000000
112,466,0,0,0,1.000000
113,475,0,0,0,1.000000
114,448,0,0,0,1.000000
115,486,0,0,0,1.000000
116,478,0,0,0,1.000000
117,467,0,0,0,1.000000
118,461,0,0,0,1.000000
119,483,0,0,0,1.000000
120,465,0,0,0,1.000000
121,469,0,0,0,1.000000
122,472,0,0,0,1.000000
123,469,0,0,0,1.000000
124,456,0,0,0,1.000000
125,484,0,0,0,1.000000
126,465,0,0,0,1.000000
127,478,0,0,0,1.000000
128,469,0,0,0,1.000000
129,469,0,0,0,1.000000
130,467,0,0,0,1.000000
131,472,0,0,0,1.000000
132,469,0,0,0,1.000000
133,469,0,0,0,1.000000
134,446,0,0,0,1.000000
135,497,0,0,0,1.000000
136,469,0,0,0,1.000000
137,467,0,0,0,1.000000
138,477,0,0,0,1.000000
139,465,0,0,0,1.000000
140,469,0,0,0,1.000000
141,475,0,0,0,1.000000
142,468,0,0,0,1.000000
143,470,0,0,0,1.000000
144,444,0,0,0,1.000000
145,493,0,0,0,1.000000
146,477,0,0,0,1.000000
147,467,0,0,0,1.000000
148,463,0,0,0,1.000000
149,477,0,0,0,1.000000
150,469,0,0,0,1.000000
151,469,0,0,0,1.000000
152,471,0,0,0,1.000000
153,462,0,0,0,1.000000
154,456,0,0,0,1.000000
155,493,0,0,0,1.000000
156,465,0,0,0,1.000000
157,475,0,0,0,1.000000
158,469,0,0,0,1.000000
159,468,0,0,0,1.000000
160,473,0,0,0,1.000000
161,467,0,0,0,1.000000
162,473,0,0,0,1.000000
163,471,0,0,0,1.000000
164,448,0,0,0,1.000000
165,493,0,0,0,1.000000
166,470,0,0,0,1.000000
167,465,0,0,0,1.000000
168,471,0,0,0,1.000000
169,472,0,0,0,1.000000
170,470,0,0,0,1.000000
171,472,0,0,0,1.000000
172,465,0,0,0,1.000000
173,459,0,0,0,1.000000
174,480,0,0,0,1.000000
175,468,0,0,0,1.000000
176,477,0,0,0,1.000000
177,468,0,0,0,1.000000
178,468,0,0,0,1.000000
179,472,0,0,0,1.000000
180,3,0,0,0,1.000000
