t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,456,344,0,0.000000
1,0,468,331,0,0.000000
2,0,463,338,0,0.000000
3,0,468,331,0,0.000000
4,0,459,341,0,0.000000
5,0,464,334,0,0.000000
6,0,472,331,0,0.000000
7,0,468,332,0,0.000000
8,0,465,332,0,0.000000
9,0,464,337,0,0.000000
10,0,467,333,0,0.000000
11,0,467,335,0,0.000000
12,0,464,335,0,0.000000
13,0,471,330,0,0.000000
14,0,464,334,0,0.000000
15,0,464,337,0,0.000000
16,0,464,336,0,0.000000
17,0,464,337,0,0.000000
18,0,470,331,0,0.000000
19,0,467,331,0,0.000000
20,0,466,334,0,0.000000
21,0,466,334,0,0.000000
22,0,460,340,0,0.000000
23,0,469,331,0,0.000000
24,0,464,338,0,0.000000
25,0,466,331,0,0.000000
26,0,466,335,0,0.000000
27,0,470,329,0,0.000000
28,0,468,332,0,0.000000
29,0,466,336,0,0.000000
30,0,460,338,0,0.000000
31,0,472,328,0,0.000000
32,0,462,340,0,0.000000
33,0,470,329,0,0.000000
34,0,463,337,0,0.000000
35,0,473,325,0,0.000000
36,0,469,332,0,0.000000
37,0,465,336,0,0.000000
38,0,472,328,0,0.000000
39,0,463,338,0,0.000000
40,0,465,334,0,0.000000
41,0,466,334,0,0.000000
42,0,466,336,0,0.000000
43,0,464,333,0,0.000000
44,0,470,331,0,0.000000
45,0,467,333,0,0.000000
46,0,468,331,0,0.000000
47,0,465,335,0,0.000000
48,0,473,328,0,0.000000
49,0,468,331,0,0.000000
50,0,465,336,0,0.000000
51,0,453,348,0,0.000000
52,0,463,336,0,0.000000
53,0,465,335,0,0.000000
54,0,465,337,0,0.000000
55,0,456,341,0,0.000000
56,0,468,333,0,0.000000
57,0,458,341,0,0.000000
58,0,467,334,0,0.000000
59,0,464,337,0,0.000000
60,0,472,326,0,0.000000
61,0,458,345,0,0.000000
62,0,462,334,0,0.000000
63,0,473,329,0,0.000000
64,0,465,335,0,0.000000
65,0,464,336,0,0.000000
66,0,470,330,0,0.000000
67,0,470,329,0,0.000000
68,0,471,332,0,0.000000
69,0,468,331,0,0.000000
70,0,468,332,0,0.000000
71,0,463,336,0,0.000000
72,0,464,337,0,0.000000
73,0,473,327,0,0.000000
74,0,468,330,0,0.000000
75,0,460,340,0,0.000000
76,0,465,336,0,0.000000
77,0,462,340,0,0.000000
78,0,464,334,0,0.000000
79,0,464,336,0,0.000000
80,0,467,331,0,0.000000
81,0,459,341,0,0.000000
82,0,465,335,0,0.000000
83,0,472,329,0,0.000000
84,0,469,332,0,0.000000
85,0,464,335,0,0.000000
86,0,467,335,0,0.000000
87,0,466,332,0,0.000000
88,0,462,338,0,0.000000
89,0,458,344,0,0.000000
90,0,473,325,0,0.000000
91,0,464,336,0,0.000000
92,0,462,340,0,0.000000
93,0,466,333,0,0.000000
94,0,467,333,0,0.000000
95,0,474,327,0,0.000000
96,0,458,342,0,0.000000
97,0,470,328,0,0.000000
98,0,471,330,0,0.000000
99,0,462,339,0,0.000000
100,0,466,333,0,0.000000
101,0,464,335,0,0.000000
102,0,462,340,0,0.000000
103,0,472,328,0,0.000000
104,0,466,331,0,0.000000
105,0,463,338,0,0.000000
106,0,472,328,0,0.000000
107,0,460,341,0,0.000000
108,0,467,332,0,0.000000
109,0,471,330,0,0.000000
110,0,469,330,0,0.000000
111,0,458,342,0,0.000000
112,0,467,336,0,0.000000
113,0,468,330,0,0.000000
114,0,468,333,0,0.000000
115,0,464,335,0,0.000000
116,0,474,324,0,0.000000
117,0,462,341,0,0.000000
118,0,464,333,0,0.000000
119,0,462,338,0,0.000000
120,65,428,306,0,0.081352
121,134,390,279,0,0.166874
122,133,385,279,0,0.166876
123,132,392,275,0,0.165207
124,134,392,276,0,0.167082
125,134,382,284,0,0.167500
126,134,394,273,0,0.167291
127,133,393,274,0,0.166250
128,132,384,285,0,0.164794
129,134,392,272,0,0.167920
130,134,393,275,0,0.167082
131,133,385,280,0,0.166667
132,132,386,282,0,0.165000
133,134,394,273,0,0.167291
134,134,386,280,0,0.167500
135,134,391,276,0,0.167291
136,133,390,276,0,0.166458
137,132,386,281,0,0.165207
138,134,389,276,0,0.167710
139,134,389,281,0,0.166667
140,133,386,279,0,0.166667
141,132,388,280,0,0.165000
142,134,397,268,0,0.167710
143,134,383,282,0,0.167710
144,134,385,283,0,0.167082
145,133,388,279,0,0.166250
146,132,393,275,0,0.165000
147,134,385,277,0,0.168342
148,134,393,277,0,0.166667
149,133,392,274,0,0.166458
150,132,392,276,0,0.165000
151,134,388,278,0,0.167500
152,134,390,275,0,0.167710
153,134,383,284,0,0.167291
154,133,391,278,0,0.165835
155,132,389,280,0,0.164794
156,134,387,274,0,0.168553
157,134,391,280,0,0.166460
158,133,382,280,0,0.167296
159,132,394,276,0,0.164589
