ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786377953.150,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377953.150,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377953.150,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377953.150,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377953.150,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377953.150,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377953.150,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786377953.150,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786377953.150,S3,search,0,prior,0.0,,,,4.019,,4.019
1786377954.151,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377954.151,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377954.151,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377954.151,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377954.151,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377954.151,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377954.151,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786377954.151,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786377954.151,S3,search,0,prior,0.0,,,,4.019,,4.019
1786377955.151,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377955.151,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377955.151,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377955.151,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377955.151,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377955.151,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377955.151,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786377955.151,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786377955.151,S3,search,0,prior,0.0,,,,4.019,,4.019
1786377956.151,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377956.151,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377956.151,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377956.151,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377956.151,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377956.151,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377956.151,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786377956.151,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786377956.151,S3,search,0,prior,0.0,,,,4.019,,4.019
1786377957.153,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377957.153,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377957.153,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377957.153,S2,recommend,77,prior,0.172,0.8611,1.574,104.8,0.975,,0.975
1786377957.153,S2,reserve,35,prior,0.172,3.4489,7.107,106.0,1.332,,1.332
1786377957.153,S2,search,51,prior,0.1664,5.128,13.296,118.6,4.287,,4.287
1786377957.153,S3,recommend,47,prior,0.1589,0.6208,1.358,127.3,1.0,,1.0
1786377957.153,S3,reserve,26,prior,0.1625,10.1492,70.855,128.5,1.348,,1.348
1786377957.153,S3,search,40,prior,0.1636,3.1375,3.871,117.3,4.019,,4.019
1786377958.158,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377958.158,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377958.158,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377958.158,S2,recommend,273,prior_fill,0.6726,0.9273,1.746,103.5,0.975,,0.975
1786377958.158,S2,reserve,133,prior_fill,0.6726,1.9561,4.181,104.7,1.332,,1.332
1786377958.158,S2,search,224,prior_fill,0.6714,4.4999,7.493,108.5,4.287,,4.287
1786377958.158,S3,recommend,208,prior_fill,0.6632,0.5401,0.821,118.6,1.0,,1.0
1786377958.158,S3,reserve,104,prior_fill,0.6687,3.1788,1.72,116.1,1.348,,1.348
1786377958.158,S3,search,137,prior_fill,0.6636,3.0781,3.572,117.3,4.019,,4.019
1786377959.158,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377959.158,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377959.158,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377959.158,S2,recommend,373,obs,0.9475,0.9818,2.023,104.8,0.975,2.023,2.023
1786377959.158,S2,reserve,190,obs,0.9412,1.6086,3.214,111.0,1.332,3.214,3.214
1786377959.158,S2,search,322,obs,0.9437,4.5534,7.717,107.4,4.287,7.717,7.717
1786377959.158,S3,recommend,302,obs,0.9394,0.5185,0.769,117.3,1.0,0.769,0.769
1786377959.158,S3,reserve,146,obs,0.9413,0.8608,1.176,114.8,1.348,1.176,1.176
1786377959.158,S3,search,183,obs,0.9337,3.066,3.531,116.1,4.019,3.531,3.531
1786377960.159,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377960.159,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377960.159,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377960.159,S2,recommend,364,obs,0.9488,1.0187,2.091,101.6,0.975,2.091,2.091
1786377960.159,S2,reserve,193,obs,0.9393,1.6442,3.214,110.4,1.332,3.214,3.214
1786377960.159,S2,search,324,obs,0.9444,4.8515,8.515,107.9,4.287,8.515,8.515
1786377960.159,S3,recommend,309,obs,0.9425,0.5216,0.798,112.9,1.0,0.798,0.798
1786377960.159,S3,reserve,142,obs,0.9319,0.8632,1.245,129.1,1.348,1.245,1.245
1786377960.159,S3,search,182,obs,0.9262,3.0989,3.6,121.6,4.019,3.6,3.6
1786377961.158,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377961.158,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377961.158,S1,search,0,prior,0.0,,,,6.899,,6.899
