ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786377432.428,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377432.428,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377432.428,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377432.428,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377432.428,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377432.428,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377432.428,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786377432.428,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786377432.428,S3,search,0,prior,0.0,,,,4.019,,4.019
1786377433.429,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377433.429,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377433.429,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377433.429,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377433.429,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377433.429,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377433.429,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786377433.429,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786377433.429,S3,search,0,prior,0.0,,,,4.019,,4.019
1786377434.428,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377434.428,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377434.428,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377434.428,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377434.428,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377434.428,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377434.428,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786377434.428,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786377434.428,S3,search,0,prior,0.0,,,,4.019,,4.019
1786377435.429,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377435.429,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377435.429,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377435.429,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377435.429,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377435.429,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377435.429,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786377435.429,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786377435.429,S3,search,0,prior,0.0,,,,4.019,,4.019
1786377436.432,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377436.432,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377436.432,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377436.432,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377436.432,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377436.432,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377436.432,S3,recommend,151,prior_fill,0.2132,0.7557,1.365,33.3,1.0,,1.0
1786377436.432,S3,reserve,78,prior,0.215,4.1856,2.655,34.4,1.348,,1.348
1786377436.432,S3,search,117,prior_fill,0.2132,3.7448,5.903,35.9,4.019,,4.019
1786377437.438,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377437.438,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377437.438,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377437.438,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377437.438,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377437.438,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377437.438,S3,recommend,510,prior_fill,0.714,0.68,1.242,31.9,1.0,,1.0
1786377437.438,S3,reserve,255,prior_fill,0.7156,2.0085,2.216,33.2,1.348,,1.348
1786377437.438,S3,search,382,prior_fill,0.7139,3.5073,4.718,34.4,4.019,,4.019
1786377438.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377438.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377438.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377438.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377438.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377438.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377438.436,S3,recommend,704,obs,0.9843,0.6596,1.167,30.8,1.0,1.167,1.167
1786377438.436,S3,reserve,347,obs,0.9825,1.0529,1.686,31.9,1.348,1.686,1.686
1786377438.436,S3,search,525,obs,0.9825,3.3676,4.257,33.3,4.019,4.257,4.257
1786377439.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377439.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377439.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377439.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377439.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377439.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377439.436,S3,recommend,702,obs,0.9845,0.6613,1.195,29.3,1.0,1.195,1.195
1786377439.436,S3,reserve,348,obs,0.9843,1.0229,1.479,30.8,1.348,1.479,1.479
1786377439.436,S3,search,527,obs,0.9812,3.3282,4.27,34.3,4.019,4.27,4.27
1786377440.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377440.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377440.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377440.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377440.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377440.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377440.436,S3,recommend,698,obs,0.9856,0.6436,1.094,28.3,1.0,1.094,1.094
1786377440.436,S3,reserve,352,obs,0.9807,0.9875,1.386,36.9,1.348,1.386,1.386
1786377440.436,S3,search,527,obs,0.9812,3.2997,4.071,33.3,4.019,4.071,4.071
1786377441.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377441.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377441.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377441.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377441.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377441.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377441.436,S3,recommend,700,obs,0.9843,0.6273,1.007,30.8,1.0,1.007,1.007
1786377441.436,S3,reserve,354,obs,0.9807,0.9894,1.426,31.9,1.348,1.426,1.426
1786377441.436,S3,search,522,obs,0.9818,3.2873,4.079,33.3,4.019,4.079,4.079
1786377442.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377442.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377442.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377442.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377442.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377442.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377442.436,S3,recommend,704,obs,0.9844,0.6192,1.023,29.4,1.0,1.023,1.023
1786377442.436,S3,reserve,351,obs,0.9862,1.0093,1.464,26.9,1.348,1.464,1.464
1786377442.436,S3,search,523,obs,0.9825,3.2841,3.994,31.9,4.019,3.994,3.994
1786377443.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377443.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377443.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377443.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377443.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377443.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377443.436,S3,recommend,668,obs,0.9356,0.631,1.095,125.7,1.0,1.095,1.095
1786377443.436,S3,reserve,332,obs,0.9357,1.0143,1.517,126.9,1.348,1.517,1.517
1786377443.436,S3,search,499,obs,0.9325,3.3226,4.265,134.4,4.019,4.265,4.265
1786377444.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377444.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377444.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377444.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377444.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377444.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377444.436,S3,recommend,664,obs,0.9362,0.6236,1.043,126.9,1.0,1.043,1.043
1786377444.436,S3,reserve,334,obs,0.9355,0.9942,1.461,125.8,1.348,1.461,1.461
1786377444.436,S3,search,502,obs,0.9344,3.3241,4.245,129.4,4.019,4.245,4.245
1786377445.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377445.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377445.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377445.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377445.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377445.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377445.436,S3,recommend,666,obs,0.9363,0.6219,1.019,125.8,1.0,1.019,1.019
1786377445.436,S3,reserve,336,obs,0.932,0.9817,1.419,131.9,1.348,1.419,1.419
1786377445.436,S3,search,498,obs,0.9355,3.2757,3.958,128.2,4.019,3.958,3.958
1786377446.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377446.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377446.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377446.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377446.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377446.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377446.436,S3,recommend,668,obs,0.9355,0.6249,1.01,125.4,1.0,1.01,1.01
1786377446.436,S3,reserve,332,obs,0.9319,0.983,1.419,126.4,1.348,1.419,1.419
1786377446.436,S3,search,500,obs,0.9355,3.2602,3.897,127.8,4.019,3.897,3.897
1786377447.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377447.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377447.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377447.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377447.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377447.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377447.436,S3,recommend,670,obs,0.9393,0.6367,0.994,120.8,1.0,0.994,0.994
1786377447.436,S3,reserve,333,obs,0.9375,1.0374,1.392,121.9,1.348,1.392,1.392
1786377447.436,S3,search,501,obs,0.9375,3.3362,4.086,123.3,4.019,4.086,4.086
1786377448.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377448.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377448.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377448.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377448.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377448.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377448.436,S3,recommend,667,obs,0.9375,0.6462,1.071,123.3,1.0,1.071,1.071
1786377448.436,S3,reserve,334,obs,0.9393,1.0429,1.416,120.7,1.348,1.416,1.416
1786377448.436,S3,search,502,obs,0.9355,3.3439,4.136,125.8,4.019,4.136,4.136
1786377449.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377449.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377449.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377449.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377449.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377449.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377449.436,S3,recommend,666,obs,0.9388,0.6283,1.101,121.8,1.0,1.101,1.101
1786377449.436,S3,reserve,338,obs,0.9395,0.9892,1.505,119.3,1.348,1.505,1.505
1786377449.436,S3,search,500,obs,0.9345,3.2724,4.11,126.9,4.019,4.11,4.11
1786377450.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377450.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377450.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377450.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377450.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377450.436,S2,search,0,prior,0.0,,,,4.287,,4.287
1786377450.436,S3,recommend,672,obs,0.94,0.6321,1.12,119.3,1.0,1.12,1.12
1786377450.436,S3,reserve,335,obs,0.9375,0.9872,1.476,118.2,1.348,1.476,1.476
1786377450.436,S3,search,499,obs,0.9375,3.2749,4.138,121.8,4.019,4.138,4.138
1786377451.436,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786377451.436,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786377451.436,S1,search,0,prior,0.0,,,,6.899,,6.899
1786377451.436,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786377451.436,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786377451.436,S2,search,0,prior,0.0,,,,4.287,,4.287
