ts,site,class,n,src,fill_ratio,mean_ms,p95_ms,stale_ms,prior_ms,last_obs_ms,value_ms
1786297852.906,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297852.906,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297852.906,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297852.906,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297852.906,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297852.906,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297852.906,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786297852.906,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786297852.906,S3,search,0,prior,0.0,,,,4.019,,4.019
1786297853.907,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297853.907,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297853.907,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297853.907,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297853.907,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297853.907,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297853.907,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786297853.907,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786297853.907,S3,search,0,prior,0.0,,,,4.019,,4.019
1786297854.906,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297854.906,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297854.906,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297854.906,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297854.906,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297854.906,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297854.906,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786297854.906,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786297854.906,S3,search,0,prior,0.0,,,,4.019,,4.019
1786297855.907,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297855.907,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297855.907,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297855.907,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297855.907,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297855.907,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297855.907,S3,recommend,0,prior,0.0,,,,1.0,,1.0
1786297855.907,S3,reserve,0,prior,0.0,,,,1.348,,1.348
1786297855.907,S3,search,0,prior,0.0,,,,4.019,,4.019
1786297856.909,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297856.909,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297856.909,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297856.909,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297856.909,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297856.909,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297856.909,S3,recommend,78,prior,0.1171,0.9184,1.723,119.6,1.0,,1.0
1786297856.909,S3,reserve,39,prior,0.1156,11.0428,87.643,127.2,1.348,,1.348
1786297856.909,S3,search,62,prior,0.1157,3.9964,5.569,124.7,4.019,,4.019
1786297857.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297857.912,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297857.912,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297857.912,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297857.912,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297857.912,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297857.912,S3,recommend,443,prior_fill,0.622,0.8924,1.597,109.7,1.0,,1.0
1786297857.912,S3,reserve,219,prior_fill,0.6181,2.8784,1.95,122.1,1.348,,1.348
1786297857.912,S3,search,334,prior_fill,0.6207,3.7006,4.951,114.7,4.019,,4.019
1786297858.911,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297858.911,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297858.911,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297858.911,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297858.911,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297858.911,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297858.911,S3,recommend,675,obs,0.9487,0.8732,1.564,96.6,1.0,1.564,1.564
1786297858.911,S3,reserve,339,obs,0.9486,1.0465,1.468,101.6,1.348,1.468,1.468
1786297858.911,S3,search,510,obs,0.9486,3.5998,4.359,99.1,4.019,4.359,4.359
1786297859.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297859.912,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297859.912,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297859.912,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297859.912,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297859.912,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297859.912,S3,recommend,679,obs,0.9562,0.8345,1.434,87.3,1.0,1.434,1.434
1786297859.912,S3,reserve,344,obs,0.9525,0.9888,1.256,89.8,1.348,1.256,1.256
1786297859.912,S3,search,508,obs,0.9512,3.5502,4.287,89.8,4.019,4.287,4.287
1786297860.913,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297860.913,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297860.913,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297860.913,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297860.913,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297860.913,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297860.913,S3,recommend,687,obs,0.9599,0.812,1.391,79.2,1.0,1.391,1.391
1786297860.913,S3,reserve,343,obs,0.9562,0.9588,1.187,76.7,1.348,1.187,1.187
1786297860.913,S3,search,510,obs,0.9574,3.5532,4.348,81.8,4.019,4.348,4.348
1786297861.911,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297861.911,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297861.911,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297861.911,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297861.911,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297861.911,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297861.911,S3,recommend,690,obs,0.9637,0.8469,1.451,66.7,1.0,1.451,1.451
1786297861.911,S3,reserve,343,obs,0.9674,0.9613,1.16,64.4,1.348,1.16,1.16
1786297861.911,S3,search,516,obs,0.9637,3.5909,4.411,69.3,4.019,4.411,4.411
1786297862.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297862.912,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297862.912,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297862.912,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297862.912,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297862.912,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297862.912,S3,recommend,694,obs,0.9711,0.8621,1.501,55.0,1.0,1.501,1.501
1786297862.912,S3,reserve,344,obs,0.9712,0.9714,1.195,52.4,1.348,1.195,1.195
1786297862.912,S3,search,520,obs,0.9712,3.594,4.425,57.6,4.019,4.425,4.425
1786297863.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297863.912,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297863.912,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297863.912,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297863.912,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297863.912,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297863.912,S3,recommend,695,obs,0.9787,0.8454,1.433,42.2,1.0,1.433,1.433
1786297863.912,S3,reserve,349,obs,0.975,0.9921,1.266,47.2,1.348,1.266,1.266
1786297863.912,S3,search,524,obs,0.9749,3.5571,4.372,44.8,4.019,4.372,4.372
1786297864.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297864.912,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297864.912,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297864.912,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297864.912,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297864.912,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297864.912,S3,recommend,697,obs,0.98,0.8384,1.439,37.2,1.0,1.439,1.439
1786297864.912,S3,reserve,354,obs,0.9787,0.9976,1.287,34.7,1.348,1.287,1.287
1786297864.912,S3,search,523,obs,0.98,3.5503,4.394,39.8,4.019,4.394,4.394
1786297865.911,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297865.911,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297865.911,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297865.911,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297865.911,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297865.911,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297865.911,S3,recommend,668,obs,0.9336,0.8337,1.386,129.2,1.0,1.386,1.386
1786297865.911,S3,reserve,332,obs,0.9299,0.9772,1.222,126.8,1.348,1.222,1.222
1786297865.911,S3,search,500,obs,0.9337,3.5713,4.413,131.7,4.019,4.413,4.413
1786297866.911,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297866.911,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297866.911,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297866.911,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297866.911,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297866.911,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297866.911,S3,recommend,674,obs,0.9437,0.8161,1.291,111.8,1.0,1.291,1.291
1786297866.911,S3,reserve,334,obs,0.9375,0.9812,1.183,121.8,1.348,1.183,1.183
1786297866.911,S3,search,504,obs,0.9399,3.5553,4.461,114.3,4.019,4.461,4.461
1786297867.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297867.912,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297867.912,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297867.912,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297867.912,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297867.912,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297867.912,S3,recommend,673,obs,0.945,0.8313,1.392,105.2,1.0,1.392,1.392
1786297867.912,S3,reserve,337,obs,0.945,1.0366,1.183,102.7,1.348,1.183,1.183
1786297867.912,S3,search,508,obs,0.9437,3.6405,4.599,110.2,4.019,4.599,4.599
1786297868.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297868.912,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297868.912,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297868.912,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297868.912,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297868.912,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297868.912,S3,recommend,676,obs,0.9525,0.8597,1.582,92.7,1.0,1.582,1.582
1786297868.912,S3,reserve,343,obs,0.9487,1.0587,1.395,97.8,1.348,1.395,1.395
1786297868.912,S3,search,507,obs,0.9487,3.693,4.757,95.3,4.019,4.757,4.757
1786297869.913,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297869.913,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297869.913,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297869.913,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297869.913,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297869.913,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297869.913,S3,recommend,685,obs,0.9575,0.8245,1.395,80.3,1.0,1.395,1.395
1786297869.913,S3,reserve,341,obs,0.9524,0.9964,1.318,85.3,1.348,1.318,1.318
1786297869.913,S3,search,510,obs,0.9574,3.5601,4.542,82.9,4.019,4.542,4.542
1786297870.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
1786297870.912,S1,reserve,0,prior,0.0,,,,1.658,,1.658
1786297870.912,S1,search,0,prior,0.0,,,,6.899,,6.899
1786297870.912,S2,recommend,0,prior,0.0,,,,0.975,,0.975
1786297870.912,S2,reserve,0,prior,0.0,,,,1.332,,1.332
1786297870.912,S2,search,0,prior,0.0,,,,4.287,,4.287
1786297870.912,S3,recommend,688,obs,0.9599,0.8284,1.363,75.4,1.0,1.363,1.363
1786297870.912,S3,reserve,340,obs,0.9562,0.9876,1.305,72.8,1.348,1.305,1.305
1786297870.912,S3,search,514,obs,0.9587,3.5746,4.505,80.3,4.019,4.505,4.505
1786297871.912,S1,recommend,0,prior,0.0,,,,1.24,,1.24
