t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,0,808,0,0.000000
1,0,0,799,0,0.000000
2,0,0,799,0,0.000000
3,0,0,802,0,0.000000
4,0,0,799,0,0.000000
5,0,0,800,0,0.000000
6,0,0,801,0,0.000000
7,0,0,800,0,0.000000
8,0,0,799,0,0.000000
9,0,0,801,0,0.000000
10,0,0,798,0,0.000000
11,0,0,800,0,0.000000
12,0,0,802,0,0.000000
13,0,0,799,0,0.000000
14,0,0,800,0,0.000000
15,0,0,801,0,0.000000
16,0,0,800,0,0.000000
17,0,0,799,0,0.000000
18,0,0,801,0,0.000000
19,0,0,799,0,0.000000
20,0,0,799,0,0.000000
21,0,0,802,0,0.000000
22,0,0,798,0,0.000000
23,0,0,801,0,0.000000
24,0,0,801,0,0.000000
25,0,0,800,0,0.000000
26,0,0,799,0,0.000000
27,0,0,801,0,0.000000
28,0,0,799,0,0.000000
29,0,0,799,0,0.000000
30,0,0,802,0,0.000000
31,0,0,799,0,0.000000
32,0,0,800,0,0.000000
33,0,0,801,0,0.000000
34,0,0,800,0,0.000000
35,0,0,799,0,0.000000
36,0,0,801,0,0.000000
37,0,0,799,0,0.000000
38,0,0,799,0,0.000000
39,0,0,802,0,0.000000
40,0,0,799,0,0.000000
41,0,0,800,0,0.000000
42,0,0,801,0,0.000000
43,0,0,800,0,0.000000
44,0,0,799,0,0.000000
45,0,0,801,0,0.000000
46,0,0,799,0,0.000000
47,0,0,799,0,0.000000
48,0,0,802,0,0.000000
49,0,0,799,0,0.000000
50,0,0,800,0,0.000000
51,0,0,801,0,0.000000
52,0,0,800,0,0.000000
53,0,0,799,0,0.000000
54,0,0,801,0,0.000000
55,0,0,799,0,0.000000
56,0,0,799,0,0.000000
57,0,0,802,0,0.000000
58,0,0,799,0,0.000000
59,0,0,800,0,0.000000
60,0,0,799,0,0.000000
61,0,0,802,0,0.000000
62,0,0,799,0,0.000000
63,0,0,801,0,0.000000
64,0,0,799,0,0.000000
65,0,0,799,0,0.000000
66,0,0,802,0,0.000000
67,0,0,799,0,0.000000
68,0,0,800,0,0.000000
69,0,0,801,0,0.000000
70,0,0,800,0,0.000000
71,0,0,799,0,0.000000
72,0,0,801,0,0.000000
73,0,0,799,0,0.000000
74,0,0,799,0,0.000000
75,0,0,802,0,0.000000
76,0,0,799,0,0.000000
77,0,0,800,0,0.000000
78,0,0,801,0,0.000000
79,0,0,800,0,0.000000
80,0,0,799,0,0.000000
81,0,0,801,0,0.000000
82,0,0,799,0,0.000000
83,0,0,799,0,0.000000
84,0,0,802,0,0.000000
85,0,0,799,0,0.000000
86,0,0,800,0,0.000000
87,0,0,800,0,0.000000
88,0,0,801,0,0.000000
89,0,0,799,0,0.000000
90,0,0,801,0,0.000000
91,0,0,799,0,0.000000
92,0,0,799,0,0.000000
93,0,0,802,0,0.000000
94,0,0,799,0,0.000000
95,0,0,800,0,0.000000
96,0,0,801,0,0.000000
97,0,0,800,0,0.000000
98,0,0,799,0,0.000000
99,0,0,801,0,0.000000
100,0,0,799,0,0.000000
101,0,0,799,0,0.000000
102,0,0,802,0,0.000000
103,0,0,799,0,0.000000
104,0,0,800,0,0.000000
105,0,0,801,0,0.000000
106,0,0,800,0,0.000000
107,0,0,799,0,0.000000
108,0,0,801,0,0.000000
109,0,0,799,0,0.000000
110,0,0,799,0,0.000000
111,0,0,802,0,0.000000
112,0,0,799,0,0.000000
113,0,0,800,0,0.000000
114,0,0,801,0,0.000000
115,0,0,800,0,0.000000
116,0,0,799,0,0.000000
117,0,0,801,0,0.000000
118,0,0,799,0,0.000000
119,0,0,799,0,0.000000
120,0,0,796,0,0.000000
121,82,0,722,0,0.101990
122,133,0,666,0,0.166458
123,132,0,669,0,0.164794
124,134,0,667,0,0.167291
125,134,0,666,0,0.167500
126,134,0,666,0,0.167500
127,133,0,667,0,0.166250
128,132,0,667,0,0.165207
129,134,0,666,0,0.167500
130,134,0,666,0,0.167500
131,133,0,666,0,0.166458
132,132,0,669,0,0.164794
133,134,0,667,0,0.167291
134,134,0,666,0,0.167500
135,134,0,666,0,0.167500
136,133,0,667,0,0.166250
137,132,0,667,0,0.165207
138,134,0,666,0,0.167500
139,134,0,666,0,0.167500
140,133,0,666,0,0.166458
141,132,0,669,0,0.164794
142,134,0,667,0,0.167291
143,134,0,666,0,0.167500
144,134,0,666,0,0.167500
145,133,0,667,0,0.166250
146,132,0,667,0,0.165207
147,134,0,666,0,0.167500
148,134,0,666,0,0.167500
149,133,0,666,0,0.166458
150,132,0,669,0,0.164794
151,134,0,667,0,0.167291
152,134,0,666,0,0.167500
153,134,0,666,0,0.167500
154,133,0,667,0,0.166250
155,132,0,667,0,0.165207
156,134,0,666,0,0.167500
157,134,0,666,0,0.167500
158,133,0,666,0,0.166458
159,132,0,669,0,0.164794
160,134,0,667,0,0.167291
161,134,0,666,0,0.167500
162,134,0,666,0,0.167500
163,132,0,667,0,0.165207
164,133,0,667,0,0.166250
165,134,0,666,0,0.167500
166,134,0,666,0,0.167500
167,133,0,666,0,0.166458
168,132,0,669,0,0.164794
169,134,0,667,0,0.167291
170,134,0,666,0,0.167500
171,134,0,666,0,0.167500
172,133,0,667,0,0.166250
173,132,0,667,0,0.165207
174,134,0,666,0,0.167500
175,134,0,666,0,0.167500
176,133,0,666,0,0.166458
177,132,0,669,0,0.164794
178,134,0,667,0,0.167291
179,134,0,666,0,0.167500
180,133,0,665,0,0.166667
181,206,0,583,0,0.261090
182,257,0,510,0,0.335072
183,266,0,533,0,0.332916
184,269,0,541,0,0.332099
185,259,0,519,0,0.332905
186,272,0,542,0,0.334152
187,269,0,535,0,0.334577
188,264,0,530,0,0.332494
189,265,0,535,0,0.331250
190,271,0,535,0,0.336228
191,271,0,540,0,0.334155
192,261,0,519,0,0.334615
193,265,0,535,0,0.331250
194,269,0,542,0,0.331689
195,269,0,534,0,0.334994
196,262,0,524,0,0.333333
197,266,0,529,0,0.334591
198,270,0,544,0,0.331695
199,263,0,535,0,0.329574
200,270,0,534,0,0.335821
201,269,0,525,0,0.338791
202,258,0,520,0,0.331620
203,259,0,530,0,0.328264
204,269,0,537,0,0.333747
205,273,0,536,0,0.337454
206,265,0,536,0,0.330836
207,268,0,534,0,0.334165
208,270,0,535,0,0.335404
209,265,0,538,0,0.330012
210,268,0,533,0,0.334582
211,267,0,525,0,0.337121
212,256,0,519,0,0.330323
213,263,0,539,0,0.327930
214,273,0,529,0,0.340399
215,259,0,518,0,0.333333
216,268,0,547,0,0.328834
217,265,0,536,0,0.330836
218,272,0,535,0,0.337051
219,268,0,530,0,0.335840
220,266,0,534,0,0.332500
221,260,0,531,0,0.328698
222,262,0,515,0,0.337194
223,266,0,529,0,0.334591
224,268,0,536,0,0.333333
225,266,0,532,0,0.333333
226,265,0,534,0,0.331665
227,266,0,532,0,0.333333
228,270,0,540,0,0.333333
229,270,0,532,0,0.336658
230,266,0,539,0,0.330435
231,269,0,534,0,0.334994
232,256,0,513,0,0.332900
233,268,0,536,0,0.333333
234,263,0,531,0,0.331234
235,270,0,538,0,0.334158
236,266,0,528,0,0.335013
237,271,0,535,0,0.336228
238,261,0,542,0,0.325031
239,271,0,537,0,0.335396
240,279,0,557,0,0.333732
241,118,0,761,0,0.134243
242,0,0,799,0,0.000000
243,0,0,801,0,0.000000
244,0,0,799,0,0.000000
245,0,0,799,0,0.000000
246,0,0,802,0,0.000000
247,0,0,799,0,0.000000
248,0,0,800,0,0.000000
249,0,0,801,0,0.000000
250,0,0,800,0,0.000000
251,0,0,799,0,0.000000
252,0,0,801,0,0.000000
253,0,0,799,0,0.000000
254,0,0,799,0,0.000000
255,0,0,802,0,0.000000
256,0,0,799,0,0.000000
257,0,0,799,0,0.000000
258,0,0,802,0,0.000000
259,0,0,800,0,0.000000
260,0,0,799,0,0.000000
261,0,0,801,0,0.000000
262,0,0,799,0,0.000000
263,0,0,799,0,0.000000
264,0,0,802,0,0.000000
265,0,0,799,0,0.000000
266,0,0,800,0,0.000000
267,0,0,801,0,0.000000
268,0,0,800,0,0.000000
269,0,0,799,0,0.000000
270,0,0,801,0,0.000000
271,0,0,799,0,0.000000
272,0,0,799,0,0.000000
273,0,0,802,0,0.000000
274,0,0,799,0,0.000000
275,0,0,800,0,0.000000
276,0,0,801,0,0.000000
277,0,0,800,0,0.000000
278,0,0,799,0,0.000000
279,0,0,801,0,0.000000
280,0,0,799,0,0.000000
281,0,0,799,0,0.000000
282,0,0,802,0,0.000000
283,0,0,799,0,0.000000
284,0,0,800,0,0.000000
285,0,0,801,0,0.000000
286,0,0,800,0,0.000000
287,0,0,799,0,0.000000
288,0,0,801,0,0.000000
289,0,0,799,0,0.000000
290,0,0,799,0,0.000000
291,0,0,802,0,0.000000
292,0,0,799,0,0.000000
293,0,0,800,0,0.000000
294,0,0,801,0,0.000000
295,0,0,800,0,0.000000
296,0,0,799,0,0.000000
297,0,0,801,0,0.000000
298,0,0,799,0,0.000000
299,0,0,799,0,0.000000
300,0,0,802,0,0.000000
301,0,0,799,0,0.000000
302,0,0,800,0,0.000000
303,0,0,801,0,0.000000
304,0,0,800,0,0.000000
305,0,0,799,0,0.000000
306,0,0,801,0,0.000000
307,0,0,799,0,0.000000
308,0,0,799,0,0.000000
309,0,0,802,0,0.000000
310,0,0,799,0,0.000000
311,0,0,800,0,0.000000
312,0,0,801,0,0.000000
313,0,0,800,0,0.000000
314,0,0,799,0,0.000000
315,0,0,801,0,0.000000
316,0,0,799,0,0.000000
317,0,0,799,0,0.000000
318,0,0,802,0,0.000000
319,0,0,799,0,0.000000
320,0,0,800,0,0.000000
321,0,0,801,0,0.000000
322,0,0,800,0,0.000000
323,0,0,799,0,0.000000
324,0,0,801,0,0.000000
325,0,0,799,0,0.000000
326,0,0,799,0,0.000000
327,0,0,802,0,0.000000
328,0,0,799,0,0.000000
329,0,0,800,0,0.000000
330,0,0,801,0,0.000000
331,0,0,800,0,0.000000
332,0,0,799,0,0.000000
333,0,0,801,0,0.000000
334,0,0,799,0,0.000000
335,0,0,799,0,0.000000
336,0,0,802,0,0.000000
337,0,0,799,0,0.000000
338,0,0,800,0,0.000000
339,0,0,801,0,0.000000
340,0,0,800,0,0.000000
341,0,0,799,0,0.000000
342,0,0,801,0,0.000000
343,0,0,799,0,0.000000
344,0,0,799,0,0.000000
345,0,0,802,0,0.000000
346,0,0,799,0,0.000000
347,0,0,800,0,0.000000
348,0,0,801,0,0.000000
349,0,0,800,0,0.000000
350,0,0,799,0,0.000000
351,0,0,801,0,0.000000
352,0,0,799,0,0.000000
353,0,0,799,0,0.000000
354,0,0,802,0,0.000000
355,0,0,799,0,0.000000
356,0,0,800,0,0.000000
357,0,0,801,0,0.000000
358,0,0,800,0,0.000000
359,0,0,799,0,0.000000
360,0,0,15,0,0.000000
